Time,EcoName,ActiveCount,AvgLiveB,AvgAG_NPP,AvgLitterB,AvgWoodLitterB,AvgDefoliation,
1, eco2, 51531, 8833.9, 323.4, 471.2, 1546.1, 0, 
1, eco3, 43338, 8690.9, 385.4, 488.3, 1545.2, 0, 
1, eco1, 93059, 7344.5, 281.9, 477.3, 1208.7, 0, 
2, eco2, 51531, 8746.1, 321.6, 518.1, 1678.2, 0, 
2, eco3, 43338, 8667.5, 385.6, 535.7, 1654.1, 0, 
2, eco1, 93059, 7279, 280.2, 517.7, 1333.5, 0, 
3, eco2, 51531, 8642.6, 319.4, 554.9, 1811.8, 0, 
3, eco3, 43338, 8639.3, 385.6, 574.1, 1757.1, 0, 
3, eco1, 93059, 7212.8, 277.7, 551, 1444.9, 0, 
4, eco2, 51531, 8542.5, 317.3, 581.4, 1934.5, 0, 
4, eco3, 43338, 8603.7, 384.9, 603.4, 1857.8, 0, 
4, eco1, 93059, 7140.4, 274.9, 577.5, 1554.6, 0, 
5, eco2, 51531, 8438, 315.3, 605.3, 2048.6, 0, 
5, eco3, 43338, 8566.7, 384.3, 627.8, 1950.7, 0, 
5, eco1, 93059, 7067.7, 272.3, 600.4, 1652.6, 0, 
6, eco2, 51531, 8328.8, 312.7, 619.4, 2161.2, 0, 
6, eco3, 43338, 8520.1, 383.2, 643.4, 2043.9, 0, 
6, eco1, 93059, 6981.4, 269.3, 620.2, 1752.1, 0, 
