Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,525,24759820,10640.2320584443,525,187928,520671,0,0,40339,27767,2170,186018,0,0,38450,57963,167964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,525,24759820,10640.2320584443,525,187928,520671,520671,0,40339,27767,2170,186018,0,0,38450,57963,167964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1,610,24885622.5,10694.2941555651,610,187928,591488,72,6,49179,33832,2180,211105,0,0,47883,72903,174478,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
2,1,610,24885622.5,10694.2941555651,610,187928,591488,591632,6,49179,33832,2180,211105,0,0,47883,72903,174478,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,0
3,-1,677,25532102.5,10972.1110872368,677,187791,656017,126,10,58698,35572,4168,224901,0,0,60074,85496,187234,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,0
3,1,677,25532102.5,10972.1110872368,677,187791,656017,656269,10,58698,35572,4168,224901,0,0,60074,85496,187234,0,0,0,0,0,2,0,0,0,0,0,7,0,1,0,0,0,0,0
4,-1,767,25907902.5,11133.6065749893,767,187745,777006,48,4,71689,39465,7180,256971,0,0,84731,108207,208811,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
4,1,767,25907902.5,11133.6065749893,767,187745,777006,777102,4,71689,39465,7180,256971,0,0,84731,108207,208811,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
5,-1,834,26080915,11207.9565964761,834,187691,798968,73,5,78310,39006,9234,258284,0,0,102613,109072,202522,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
5,1,834,26080915,11207.9565964761,834,187691,798968,799114,5,78310,39006,9234,258284,0,0,102613,109072,202522,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0
6,-1,936,26230675,11272.3141383756,936,187682,892463,16,1,92400,41374,12088,270229,0,0,131877,127155,217356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,1,936,26230675,11272.3141383756,936,187682,892463,892495,1,92400,41374,12088,270229,0,0,131877,127155,217356,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,-1,1029,26185795,11253.027503223,1029,187664,1002469,33,2,107555,40623,15418,292862,0,0,168390,155725,221929,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
7,1,1029,26185795,11253.027503223,1029,187664,1002469,1002535,2,107555,40623,15418,292862,0,0,168390,155725,221929,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8,-1,1191,26198472.5,11258.475504942,1191,187664,1163067,39,3,140996,42734,21889,324767,0,0,212433,177942,242345,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,1191,26198472.5,11258.475504942,1191,187664,1163067,1163145,3,140996,42734,21889,324767,0,0,212433,177942,242345,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
9,-1,1433,25891660,11126.6265577997,1433,187660,1375948,825,20,190367,45317,31128,375861,0,0,259064,207105,267931,0,0,0,0,0,2,0,1,9,0,0,1,0,7,0,0,0,0,0
9,1,1433,25891660,11126.6265577997,1433,187660,1375948,1377598,20,190367,45317,31128,375861,0,0,259064,207105,267931,0,0,0,0,0,2,0,1,9,0,0,1,0,7,0,0,0,0,0
10,-1,1560,25273307.5,10860.8970777826,1560,186395,1468685,2093,62,227667,42471,38194,393347,0,0,292726,218581,257792,0,0,0,0,0,1,0,0,40,0,0,5,0,16,0,0,0,0,0
10,1,1560,25273307.5,10860.8970777826,1560,186395,1468685,1472871,62,227667,42471,38194,393347,0,0,292726,218581,257792,0,0,0,0,0,1,0,0,40,0,0,5,0,16,0,0,0,0,0
11,-1,1712,24780460,10649.1018478728,1712,186396,1613762,7440,239,287889,38712,46794,419726,0,0,337074,221082,269925,0,0,0,0,0,6,0,0,97,0,0,17,0,119,0,0,0,0,0
11,1,1712,24780460,10649.1018478728,1712,186396,1613762,1628642,239,287889,38712,46794,419726,0,0,337074,221082,269925,0,0,0,0,0,6,0,0,97,0,0,17,0,119,0,0,0,0,0
12,-1,1938,24236372.5,10415.2868500215,1938,187308,1824407,17054,496,365431,40939,62646,464594,0,0,393592,239347,274912,0,0,0,0,0,38,1,2,120,0,0,65,0,270,0,0,0,0,0
