Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 445, 1142, 14, 4, 2, 3, 
10, 464, 1047, 47, 0, 0, 0, 
10, 515, 1132, 48, 48, 11, 3, 
10, 532, 1204, 9, 0, 0, 0, 
10, 552, 840, 342, 2, 10, 4, 
10, 556, 1024, 242, 0, 0, 0, 
10, 611, 859, 402, 76, 1, 2, 
10, 628, 836, 13, 13, 142, 5, 
10, 644, 874, 182, 182, 41, 3, 
10, 646, 876, 245, 0, 0, 0, 
10, 670, 1021, 542, 534, 106, 3, 
10, 727, 723, 304, 303, 111, 3, 
10, 742, 583, 63, 62, 16, 3, 
10, 763, 456, 224, 223, 128, 3, 
10, 794, 560, 99, 58, 1, 1, 
10, 823, 522, 1287, 1284, 648, 3, 
10, 829, 546, 739, 738, 65, 2, 
10, 837, 342, 571, 568, 344, 3, 
10, 841, 530, 80, 66, 40, 3, 
10, 879, 405, 257, 244, 15, 1.98, 
10, 896, 472, 640, 0, 0, 0, 
10, 907, 525, 843, 843, 168, 3, 
10, 913, 321, 905, 0, 0, 0, 
10, 921, 357, 214, 214, 2422, 5, 
10, 923, 553, 77, 0, 0, 0, 
10, 927, 421, 1042, 1042, 12500, 5, 
10, 968, 321, 338, 332, 56, 2, 
10, 973, 454, 316, 304, 124, 3, 
20, 273, 1468, 326, 321, 157, 3, 
20, 345, 1319, 31, 9, 1, 2, 
20, 350, 1265, 48, 0, 0, 0, 
20, 452, 1024, 410, 410, 210, 3, 
20, 531, 1227, 15, 12, 7, 3, 
20, 534, 1167, 433, 0, 0, 0, 
20, 578, 1185, 253, 0, 0, 0, 
20, 599, 1139, 47, 46, 1, 2, 
20, 614, 1102, 326, 324, 143, 3, 
20, 654, 837, 160, 160, 1073, 5, 
20, 676, 799, 457, 454, 176, 3, 
20, 688, 761, 1287, 1285, 603, 3, 
20, 725, 585, 904, 0, 0, 0, 
20, 727, 624, 33, 33, 237, 5, 
20, 731, 774, 61, 0, 0, 0, 
20, 767, 482, 654, 653, 431, 3, 
20, 771, 718, 48, 47, 20, 3, 
20, 819, 626, 220, 220, 192, 2.75, 
20, 827, 533, 229, 216, 92, 3, 
20, 830, 333, 505, 480, 48, 2, 
20, 833, 648, 307, 301, 26, 2, 
20, 869, 530, 5, 5, 4, 3, 
20, 869, 533, 218, 0, 0, 0, 
20, 878, 766, 95, 0, 0, 0, 
20, 925, 410, 47, 0, 0, 0, 
20, 994, 454, 1038, 1037, 745, 3, 
