LandisData "Dynamic Input Data"			
>>>gfdl)alfi Climate. Isle Royale			
>>YEAR	ECOREGION	SPECIES	PEST/10	ANPP	MAXBIO
0	eco1	BA	0.057	468	14936
0	eco1	BF	0.076	700	8885
0	eco1	BS	0.073	771	14570
0	eco1	EWP	0.026	599	26900
0	eco1	JP	0.072	259	4145
0	eco1	NWC	0.06	459	25309
0	eco1	PB	0.08	500	12255
0	eco1	QA	0.058	610	11954
0	eco1	RM	0.005	252	8935
0	eco1	RO	0.033	560	15558
0	eco1	S	0.047	401	6095
0	eco1	SM	0.016	295	12541
0	eco1	WS	0.073	817	15443
0	eco1	YB	0.038	494	11324
20	eco1	BA	0.037	421	13430
20	eco1	BF	0.075	583	7404
20	eco1	BS	0.084	641	12115
20	eco1	EWP	0.009	481	21597
20	eco1	JP	0.06	296	4736
20	eco1	NWC	0.039	419	23129
20	eco1	PB	0.084	440	10780
20	eco1	QA	0.053	529	10368
20	eco1	RM	0.001	254	9017
20	eco1	RO	0.02	478	13288
20	eco1	S	0.035	347	4753
20	eco1	SM	0.001	298	12665
20	eco1	WS	0.085	686	12965
20	eco1	YB	0.013	436	9984
40	eco1	BA	0.073	434	13845
40	eco1	BF	0.079	587	7455
40	eco1	BS	0.061	640	12096
40	eco1	EWP	0.043	552	24785
40	eco1	JP	0.081	355	5680
40	eco1	NWC	0.08	394	21749
40	eco1	PB	0.07	463	11344
40	eco1	QA	0.063	511	10016
40	eco1	RM	0.013	254	9017
40	eco1	RO	0.045	509	14150
40	eco1	S	0.058	357	5024
40	eco1	SM	0.039	291	12368
40	eco1	WS	0.062	667	12606
40	eco1	YB	0.059	455	10420
60	eco1	BA	0.071	298	9506
60	eco1	BF	0.068	444	5639
60	eco1	BS	0.011	486	9185
60	eco1	EWP	0.073	438	19666
60	eco1	JP	0.062	312	4992
60	eco1	NWC	0.067	299	16505
60	eco1	PB	0.033	303	7424
60	eco1	QA	0.076	320	6272
60	eco1	RM	0.033	222	7881
60	eco1	RO	0.071	315	8757
60	eco1	S	0.067	210	1210
60	eco1	SM	0.074	246	10455
60	eco1	WS	0.011	506	9563
60	eco1	YB	0.079	299	6847
80	eco1	BA	0.035	293	9347
80	eco1	BF	0.041	416	5283
80	eco1	BS	0.001	453	8562
80	eco1	EWP	0.074	403	18095
80	eco1	JP	0.025	273	4368
80	eco1	NWC	0.023	268	14794
80	eco1	PB	0.001	305	7473
80	eco1	QA	0.062	361	7076
80	eco1	RM	0.043	207	7349
80	eco1	RO	0.069	326	9063
80	eco1	S	0.052	216	1271
80	eco1	SM	0.081	230	9775
80	eco1	WS	0.001	475	8978
80	eco1	YB	0.061	301	6893
100	eco1	BA	0.001	292	9315
100	eco1	BF	0.001	366	4648
100	eco1	BS	0.001	391	7390
100	eco1	EWP	0.06	350	15715
100	eco1	JP	0.001	243	3888
100	eco1	NWC	0.001	235	12972
100	eco1	PB	0.001	315	7718
100	eco1	QA	0.038	389	7624
100	eco1	RM	0.055	206	7313
100	eco1	RO	0.06	337	9369
100	eco1	S	0.03	225	1468
100	eco1	SM	0.071	224	9520
100	eco1	WS	0.001	409	7730
100	eco1	YB	0.007	317	7259
120	eco1	BA	0.001	319	10176
120	eco1	BF	0.001	376	4775
120	eco1	BS	0.001	412	7787
120	eco1	EWP	0.052	411	18454
120	eco1	JP	0.001	286	4576
120	eco1	NWC	0.001	153	8446
120	eco1	PB	0.001	333	8159
120	eco1	QA	0.035	376	7370
120	eco1	RM	0.057	164	5822
120	eco1	RO	0.061	352	9786
120	eco1	S	0.027	233	1641
120	eco1	SM	0.065	207	8798
120	eco1	WS	0.001	435	8222
120	eco1	YB	0.001	330	7557
140	eco1	BA	0.001	210	6699
140	eco1	BF	0.001	189	2400
140	eco1	BS	0.001	217	4101
140	eco1	EWP	0.028	326	14637
140	eco1	JP	0.001	222	3552
140	eco1	NWC	0.001	60	3312
140	eco1	PB	0.001	214	5243
140	eco1	QA	0.001	255	4998
140	eco1	RM	0.066	128	4544
140	eco1	RO	0.052	225	6255
140	eco1	S	0.014	128	50
140	eco1	SM	0.025	166	7055
140	eco1	WS	0.001	241	4555
140	eco1	YB	0.001	222	5084
0	eco2	BA	0.058	490	15615
0	eco2	BF	0.077	753	9557
0	eco2	BS	0.074	871	16459
0	eco2	EWP	0.027	649	29155
0	eco2	JP	0.072	259	4145
0	eco2	NWC	0.06	473	26125
0	eco2	PB	0.082	538	13170
0	eco2	QA	0.062	733	14357
0	eco2	RM	0.005	252	8935
0	eco2	RO	0.035	635	17649
0	eco2	S	0.049	450	7237
0	eco2	SM	0.016	295	12541
0	eco2	WS	0.074	951	17974
0	eco2	YB	0.039	528	12090
20	eco2	BA	0.037	490	15631
20	eco2	BF	0.075	670	8509
20	eco2	BS	0.084	736	13910
20	eco2	EWP	0.009	560	25144
20	eco2	JP	0.06	309	4944
20	eco2	NWC	0.039	461	25447
20	eco2	PB	0.084	519	12716
20	eco2	QA	0.053	627	12289
20	eco2	RM	0.001	254	9017
20	eco2	RO	0.02	566	15735
20	eco2	S	0.035	415	6453
20	eco2	SM	0.001	298	12665
20	eco2	WS	0.085	814	15385
20	eco2	YB	0.013	510	11679
40	eco2	BA	0.079	479	15280
40	eco2	BF	0.082	685	8700
40	eco2	BS	0.063	779	14723
40	eco2	EWP	0.047	636	28556
40	eco2	JP	0.081	369	5904
40	eco2	NWC	0.08	437	24122
40	eco2	PB	0.078	520	12740
40	eco2	QA	0.069	630	12348
40	eco2	RM	0.013	254	9017
40	eco2	RO	0.049	592	16458
40	eco2	S	0.063	417	6475
40	eco2	SM	0.039	291	12368
40	eco2	WS	0.064	827	15630
40	eco2	YB	0.066	509	11656
60	eco2	BA	0.073	376	11994
60	eco2	BF	0.068	546	6934
60	eco2	BS	0.011	616	11642
60	eco2	EWP	0.075	564	25324
60	eco2	JP	0.063	399	6384
60	eco2	NWC	0.067	349	19265
60	eco2	PB	0.035	395	9678
60	eco2	QA	0.08	413	8095
60	eco2	RM	0.033	223	7917
60	eco2	RO	0.074	417	11593
60	eco2	S	0.07	288	3217
60	eco2	SM	0.074	258	10965
60	eco2	WS	0.011	650	12285
60	eco2	YB	0.083	392	8977
80	eco2	BA	0.036	385	12282
80	eco2	BF	0.042	526	6680
80	eco2	BS	0.001	587	11094
80	eco2	EWP	0.074	530	23797
