Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,824.9911776,24.89700083,92.75125458,1403.3913,2974.959209,6.174899795,2583.105256,398.1324644,48.98396716,15.88102172,715.035225,0.001386217,0.001128316,0.005458902, ,76772854,2316890,8631339,130598191,276846729,574630,240381192,37049809,4558399,1477872,66540463,129,105,508,,896.4256737,49.62422311,251.0930622,1108.720515,2832.595228,3.20807969,2259.383711,499.0840588,86.04432549,22.77583968,1597.826072,0.01909774,0.001037631,0.002703163
20, eco1,93059,676.8363834,16.02720855,78.29391031,1034.339419,3270.230391,6.097669221,2085.645107,266.0074899,30.96855758,16.05475021,808.7717362,0.014044853,0.001128316,0, ,62985717,1491476,7285953,96254592,304324370,567443,194088048,24754391,2881903,1494039,75263489,1307,105,0,,755.1684528,29.67535439,210.1392767,795.3981951,3145.251719,3.16983632,1772.242886,323.4729364,49.90843302,22.92246499,1746.419757,0.014308671,0.001042953,0
30, eco1,93059,570.0478514,11.68024587,60.8109264,798.9223611,3515.150378,6.096831043,1633.725228,159.0642603,10.70439184,16.45977283,874.7347597,0,0,0, ,53048083,1086952,5659004,74346916,327116379,567365,152032836,14802361,996140,1531730,81401942,0,0,0,,639.7255491,19.32635903,165.0129677,609.5698193,3409.584708,3.17230003,1373.899243,197.3932996,17.52705824,23.26430335,1839.091908,0,0,0
40, eco1,93059,486.2129294,9.546416789,56.64943745,617.7531244,3699.732449,6.036568199,1293.987427,73.09034054,5.938974199,17.545224,940.6280532,0,0,0, ,45246489,888380,5271740,57487488,344293402,561757,120417176,6801714,552675,1632741,87533906,0,0,0,,541.6376272,13.25740177,151.5327359,457.0491891,3612.979535,3.140894385,1099.93323,104.1186997,9.418229322,24.29998191,1888.808251,0,0,0
50, eco1,93059,378.8685887,9.098904996,60.63242674,530.4881634,3896.507527,5.476310728,762.7174373,41.74504347,2.944164455,21.63284583,1013.644473,0,0,0, ,35257132,846735,5642393,49366698,362605094,509620,70977722,3884752,273981,2013131,94328741,0,0,0,,441.7719978,12.12986356,162.8269656,393.1003682,3854.317388,2.855199864,659.3866747,61.04774169,6.580083862,29.07267145,1937.580659,0,0,0
60, eco1,93059,274.7393374,8.454700781,62.25708422,400.7623443,4066.262941,5.477127414,307.0691604,31.23774165,1.852330242,25.94454056,1104.129552,0,0,0, ,25566968,786786,5793582,37294543,378402363,509696,28575549,2906953,172376,2414373,102749192,0,0,0,,328.5592195,10.23378102,165.7579073,296.2275925,4028.968813,2.860361415,261.8223415,45.92642395,3.453194841,33.91704802,1910.89704,0,0,0
70, eco1,93059,176.2178618,7.84754833,55.28826873,199.0422205,3948.242867,5.259845904,120.0295297,18.64900762,0.562557087,27.05195629,1064.500768,0,0,0, ,16398658,730285,5145071,18522670,367419533,489476,11169828,1735458,52351,2517428,99061377,0,0,0,,222.0629975,9.133694819,150.3117896,150.3645119,3912.167729,2.755390362,104.2462965,29.63484952,1.738963858,36.67266719,1733.184209,0,0,0
80, eco1,93059,99.01976166,6.556765063,49.7734663,60.0210834,3714.432306,4.810292395,64.47372097,13.00738241,0.290836996,28.25409686,1036.174448,0,0,0, ,9214680,610166,4631869,5585502,345661356,447641,5999860,1210454,27065,2629298,96425358,0,0,0,,133.8549338,6.361021242,138.9467988,51.92399749,3696.432671,2.545762207,63.65191988,20.9202833,0.954365502,40.65419735,1598.284231,0,0,0
90, eco1,93059,49.07695118,5.447544031,45.00953159,10.62214294,3415.570584,4.340568886,23.67205751,5.175007253,0.177296124,27.59265627,995.1802835,0,0,0, ,4567052,506943,4188542,988486,317849583,403929,2202898,481581,16499,2567745,92610482,0,0,0,,70.4327402,4.641985228,127.5878794,12.32825337,3389.797539,2.314503427,28.16818143,8.88051275,0.520885658,41.67197012,1463.516198,0,0,0
100, eco1,93059,29.10751244,5.189782826,40.06147713,3.682384294,3144.384638,3.630320549,11.25055073,3.55172525,0.081185055,28.31774466,973.8391128,0,0,0, ,2708716,482956,3728081,342679,292613290,337834,1046965,330520,7555,2635221,90624494,0,0,0,,41.30984207,4.067674854,115.1426504,5.518251671,3126.674418,1.984345068,17.9167181,5.5962177,0.341790473,44.44785237,1358.429521,0,0,0
110, eco1,93059,5.457989018,4.274933107,32.98996336,1.363919664,2812.444557,2.958273783,8.398585843,0.680471529,0.037438614,26.7587552,965.3356688,0,0,0, ,507915,397821,3070013,126925,261723278,275294,781564,63324,3484,2490143,89833172,0,0,0,,8.845701545,3.260019795,89.21623175,2.498962369,2828.536509,1.650743902,14.31634988,1.237947512,0.167494998,41.40523498,1306.431782,0,0,0
120, eco1,93059,1.043402573,3.490269614,28.13969632,0.355000591,2519.063959,2.337946894,5.93040974,0.418884794,0.013206675,25.24482318,957.9041361,0,0,0, ,97098,324801,2618652,33036,234421573,217567,551878,38981,1229,2349258,89141601,0,0,0,,1.411593802,2.709388702,75.65410689,0.937502661,2578.802366,1.338374271,10.11283045,0.607402835,0.087123792,39.04716168,1273.881779,0,0,0
130, eco1,93059,0.354731944,2.252871834,23.39824198,0.172181089,2300.34577,1.842723434,4.211500231,0.24491989,0.011820458,24.2490678,937.8717695,0,0,0, ,33011,209650,2177417,16023,214067877,171482,391918,22792,1100,2256594,87277409,0,0,0,,0.403947256,1.782065472,61.00525733,0.503458771,2400.807362,1.090545315,7.784295049,0.369120089,0.058490486,37.97632072,1234.257327,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1103.40628,126.3363994,682.3090179,948.4910442,2915.148998,0.00304671,2088.282936,611.5321651,114.7706235,39.53049621,1493.449244,0.042013545,0.001668898,0, ,56859629,6510241,35160066,48876692,150220543,157,107611308,31512864,5914245,2037046,76958933,2165,86,0,,,,,,,,,,,,,,,
20, eco2,51531,953.4972153,74.07160738,569.7613475,655.6725078,3277.379985,0.00304671,1455.955619,380.9900642,70.17967825,39.65954474,1562.143137,0.010886651,0.001688304,0, ,49134665,3816984,29360372,33787460,168886668,157,75026849,19632799,3616429,2043696,80498798,561,87,0,,,,,,,,,,,,,,,
30, eco2,51531,813.3102598,46.8040791,451.2123382,508.8941996,3581.790611,0.00304671,1020.192311,248.7028391,27.25237236,39.93421436,1574.324465,0,0,0, ,41910691,2411861,23251423,26223827,184573252,157,52571530,12815906,1404342,2057850,81126514,0,0,0,,,,,,,,,,,,,,,
40, eco2,51531,664.2200035,29.58766568,411.7711863,357.0006792,3791.258854,0.00304671,793.7317925,140.261726,18.03190313,41.17927073,1558.778231,0,0,0, ,34227921,1524682,21218981,18396602,195367360,157,40901793,7227827,929202,2122009,80325401,0,0,0,,,,,,,,,,,,,,,
50, eco2,51531,541.9543382,25.92862549,438.9072597,308.8264152,4092.107954,0.00304671,474.3053696,92.16667637,14.56556248,49.39706196,1639.498612,0,0,0, ,27927449,1336128,22617330,15914134,210870415,157,24441430,4749441,750578,2545480,84485003,0,0,0,,,,,,,,,,,,,,,
60, eco2,51531,406.8794512,20.43895907,446.8070482,230.1288157,4249.668006,0.011604665,169.4794007,71.24138868,7.182938425,56.68174497,1681.598339,0,0,0, ,20966905,1053240,23024414,11858768,218989642,598,8733443,3671140,370144,2920867,86654444,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,275.6844812,17.56851216,402.8818187,114.5671538,4070.561507,0.01282723,54.51376841,47.78880674,3.871979973,60.81221013,1574.312162,0,0,0, ,14206297,905323,20760903,5903760,209760105,661,2809149,2462605,199527,3133714,81125880,0,0,0,,,,,,,,,,,,,,,
80, eco2,51531,165.0662708,10.34136733,373.5219383,40.00574412,3817.329161,0.029108692,36.29360967,33.68851759,2.27391279,67.22207991,1512.39126,0,0,0, ,8506030,532901,19247959,2061536,196710789,1500,1870246,1736003,117177,3464021,77935034,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,86.0529002,6.324426074,344.9094138,9.194504279,3444.977082,0.034949836,17.66311541,14.68570375,1.041140284,68.84911995,1438.42588,0,0,0, ,4434392,325904,17773527,473802,177523114,1801,910198,756769,53651,3547864,74123524,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,51.30399177,4.813976053,313.6030933,3.960742078,3166.520502,0.049310124,11.63944034,9.116570608,0.810308358,72.41363451,1403.460073,0,0,0, ,2643746,248069,16160281,204101,163173968,2541,599792,469786,41756,3731547,72321701,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,11.00974171,3.689875997,243.1883526,2.045875298,2897.580117,0.057732239,9.23446081,2.148531952,0.350138751,65.58970329,1405.496245,0,0,0, ,567343,190143,12531739,105426,149315201,2975,475861,110716,18043,3379903,72426627,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,1.481477169,3.156216646,207.9601793,0.823970037,2698.768838,0.067396325,6.720013196,0.979876191,0.210999204,60.63154218,1420.504667,0,0,0, ,76342,162643,10716396,42460,139070257,3473,346289,50494,10873,3124404,73200026,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,0.413246395,2.077914265,168.8761522,0.47625701,2565.308416,0.078244164,4.737323165,0.589877938,0.141604083,58.70107314,1421.530807,0,0,0, ,21295,107077,8702357,24542,132192908,4032,244119,30397,7297,3024925,73252904,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,803.7057778,11.50606858,78.36106881,666.4992847,2428.738844,0.648414786,1767.708754,582.1495224,131.4664728,17.65886751,3617.538004,0.029881397,9.23E-05,0, ,34831001,498650,3396012,28884746,105256684,28101,76608962,25229196,5697494,765300,156776862,1295,4,0,,,,,,,,,,,,,,,
20, eco3,43338,687.5470719,6.192486963,65.64052333,448.4641654,2719.780031,0.648414786,1475.360284,378.4769025,66.47422585,17.76819419,3978.930384,0.018944114,9.23E-05,0, ,29796915,268370,2844729,19435540,117869827,28101,63939164,16402432,2880860,770038,172438885,821,4,0,,,,,,,,,,,,,,,
30, eco3,43338,582.94266,3.072384512,48.45931977,322.6843417,2978.143984,0.660898057,1236.553856,218.6870875,20.61338779,18.05422493,4224.662144,0,0,0, ,25263569,133151,2100130,13984494,129066804,28642,53589771,9477461,893343,782434,183088408,0,0,0,,,,,,,,,,,,,,,
40, eco3,43338,514.8937653,1.808459089,45.83790207,230.9347455,3214.713554,0.654114172,1047.332203,127.7695787,6.647099543,18.7340671,4317.242374,0,0,0, ,22314466,78375,1986523,10008250,139319256,28348,45389283,5537278,288072,811897,187100650,0,0,0,,,,,,,,,,,,,,,
50, eco3,43338,457.7217915,2.23079053,53.99471595,198.2955836,3480.978564,0.61827957,657.576884,65.49418524,4.892311597,20.88139739,4275.968296,0,0,0, ,19836747,96678,2340023,8593734,150858649,26795,28498067,2838387,212023,904958,185311914,0,0,0,,,,,,,,,,,,,,,
60, eco3,43338,350.9992155,1.91951636,53.82241912,150.3564539,3686.465596,0.62873229,274.4648346,47.36646823,2.4558586,23.96794961,3915.903433,0,0,0, ,15211604,83188,2332556,6516148,159764046,27248,11894757,2052768,106432,1038723,169707423,0,0,0,,,,,,,,,,,,,,,
70, eco3,43338,256.7469657,1.866006738,54.03618072,88.40444875,3646.366214,0.638654299,129.4896165,31.63863122,1.728783054,28.62797083,3357.944183,0,0,0, ,11126900,80869,2341820,3831272,158026219,27678,5611821,1371155,74922,1240679,145526585,0,0,0,,,,,,,,,,,,,,,
80, eco3,43338,171.5441414,1.207877613,51.50597628,48.70863907,3514.030504,0.675596474,94.41764733,22.72947529,0.810143523,35.69022567,2907.424593,0,0,0, ,7434380,52347,2232166,2110935,152291054,29279,4091872,985050,35110,1546743,126001967,0,0,0,,,,,,,,,,,,,,,
90, eco3,43338,97.7165536,0.9117172,46.50113065,19.71793807,3268.844317,0.674465827,50.31367391,9.934630117,0.640061839,39.58929808,2499.000092,0,0,0, ,4234840,39512,2015266,854536,141665175,29230,2180494,430547,27739,1715721,108301666,0,0,0,,,,,,,,,,,,,,,
100, eco3,43338,55.6281785,0.770801606,40.3840971,11.31233559,3041.266602,0.750819143,39.69486363,5.800452259,0.344293691,45.83109511,2130.710877,0,0,0, ,2410814,33405,1750166,490254,131802412,32539,1720296,251380,14921,1986228,92340748,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,13.54693341,0.569592505,26.86962942,5.474964235,2780.994278,0.737274447,33.06608519,1.352277447,0.229590659,44.09887397,1921.069569,0,0,0, ,587097,24685,1164476,237274,120522730,31952,1433018,58605,9950,1911157,83255313,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,2.11911025,0.501315243,20.36266094,2.323295953,2564.4317,0.703262726,23.12790161,0.569315612,0.098550925,43.01982094,1778.033781,0,0,0, ,91838,21726,882477,100687,111137341,30478,1002317,24673,4271,1864393,77056428,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,0.498569385,0.419331764,13.49443906,1.247150307,2420.927154,0.679080714,19.07909917,0.373321335,0.059878167,42.8098897,1648.004015,0,0,0, ,21607,18173,584822,54049,104918141,29430,826850,16179,2595,1855295,71421198,0,0,0,,,,,,,,,,,,,,,
