Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10586.70, 1.0, 469.7, 0.0
0, eco3, 43338, 9794.79, 1.3, 455.6, 0.0
0, eco1, 93059, 9315.11, 0.5, 537.3, 0.0
1, eco2, 51531, 10686.97, 416.9, 471.4, 0.0
1, eco3, 43338, 9939.15, 454.0, 459.8, 0.0
1, eco1, 93059, 9411.26, 391.7, 540.4, 0.0
2, eco2, 51531, 10699.14, 415.1, 472.2, 0.0
2, eco3, 43338, 10021.84, 454.9, 463.2, 0.0
2, eco1, 93059, 9436.09, 390.5, 542.5, 0.0
3, eco2, 51531, 10689.71, 413.8, 472.6, 0.0
3, eco3, 43338, 10076.58, 456.0, 466.2, 0.0
3, eco1, 93059, 9443.17, 389.5, 544.0, 0.0
4, eco2, 51531, 10652.09, 413.1, 472.9, 0.0
4, eco3, 43338, 10111.73, 457.8, 469.0, 0.0
4, eco1, 93059, 9437.20, 388.4, 545.1, 0.0
5, eco2, 51531, 10616.37, 412.2, 473.1, 0.0
5, eco3, 43338, 10144.98, 459.4, 471.8, 0.0
5, eco1, 93059, 9420.55, 387.1, 545.8, 0.0
6, eco2, 51531, 10559.06, 410.9, 473.2, 0.0
6, eco3, 43338, 10158.96, 460.7, 474.5, 0.0
6, eco1, 93059, 9385.82, 385.5, 546.1, 0.0
7, eco2, 51531, 10501.41, 409.3, 473.2, 0.0
7, eco3, 43338, 10175.40, 461.8, 477.2, 0.0
7, eco1, 93059, 9352.30, 383.7, 546.1, 0.0
8, eco2, 51531, 10438.55, 407.9, 473.2, 0.0
8, eco3, 43338, 10186.73, 463.0, 479.8, 0.0
8, eco1, 93059, 9318.23, 382.0, 545.8, 0.0
9, eco2, 51531, 10368.96, 405.9, 473.0, 0.0
9, eco3, 43338, 10188.72, 463.5, 482.3, 0.0
9, eco1, 93059, 9271.54, 379.7, 545.2, 0.0
10, eco2, 51531, 10240.01, 402.0, 473.5, 0.0
10, eco3, 43338, 10181.23, 463.3, 484.6, 0.0
10, eco1, 93059, 9211.78, 376.7, 544.3, 0.0
11, eco2, 51531, 10173.93, 400.2, 472.4, 0.0
11, eco3, 43338, 10178.95, 463.7, 486.7, 0.0
11, eco1, 93059, 9157.57, 374.5, 543.0, 0.0
12, eco2, 51531, 10102.77, 398.3, 471.4, 0.0
12, eco3, 43338, 10172.79, 463.9, 488.7, 0.0
12, eco1, 93059, 9099.19, 372.3, 541.7, 0.0
13, eco2, 51531, 10032.77, 396.1, 470.4, 0.0
13, eco3, 43338, 10167.95, 464.2, 490.6, 0.0
13, eco1, 93059, 9043.27, 370.2, 540.4, 0.0
14, eco2, 51531, 9959.22, 393.8, 469.5, 0.0
14, eco3, 43338, 10160.41, 464.4, 492.6, 0.0
14, eco1, 93059, 8989.14, 367.9, 539.0, 0.0
15, eco2, 51531, 9883.99, 391.6, 468.7, 0.0
15, eco3, 43338, 10159.02, 464.4, 494.5, 0.0
15, eco1, 93059, 8937.41, 365.3, 537.4, 0.0
16, eco2, 51531, 9798.76, 388.6, 467.6, 0.0
16, eco3, 43338, 10155.31, 464.4, 496.2, 0.0
16, eco1, 93059, 8891.14, 362.7, 535.8, 0.0
17, eco2, 51531, 9688.76, 383.8, 466.1, 0.0
17, eco3, 43338, 10144.85, 464.2, 498.0, 0.0
17, eco1, 93059, 8839.50, 359.7, 533.9, 0.0
18, eco2, 51531, 9570.16, 378.6, 464.0, 0.0
18, eco3, 43338, 10123.49, 463.6, 499.5, 0.0
18, eco1, 93059, 8771.71, 357.7, 532.2, 0.0
19, eco2, 51531, 9448.46, 373.7, 461.7, 0.0
19, eco3, 43338, 10097.18, 462.9, 500.9, 0.0
19, eco1, 93059, 8702.81, 355.6, 530.5, 0.0
20, eco2, 51531, 9217.49, 354.1, 456.5, 0.0
20, eco3, 43338, 9978.58, 458.0, 503.0, 0.0
20, eco1, 93059, 8504.88, 332.9, 525.2, 0.0
21, eco2, 51531, 9079.49, 351.5, 450.8, 0.0
21, eco3, 43338, 9939.72, 457.9, 503.0, 0.0
21, eco1, 93059, 8398.92, 331.2, 518.5, 0.0
22, eco2, 51531, 8956.41, 349.1, 446.3, 0.0
22, eco3, 43338, 9909.73, 458.0, 503.4, 0.0
22, eco1, 93059, 8306.59, 329.5, 513.0, 0.0
23, eco2, 51531, 8843.82, 346.8, 442.7, 0.0
23, eco3, 43338, 9881.68, 458.1, 504.1, 0.0
23, eco1, 93059, 8224.67, 327.8, 508.5, 0.0
24, eco2, 51531, 8742.93, 344.5, 439.7, 0.0
24, eco3, 43338, 9858.73, 458.0, 505.0, 0.0
24, eco1, 93059, 8150.75, 326.1, 504.6, 0.0
25, eco2, 51531, 8655.49, 342.1, 437.2, 0.0
25, eco3, 43338, 9840.36, 457.7, 505.9, 0.0
25, eco1, 93059, 8083.84, 324.1, 501.3, 0.0
26, eco2, 51531, 8605.11, 340.5, 435.1, 0.0
26, eco3, 43338, 9837.82, 457.5, 506.8, 0.0
26, eco1, 93059, 8047.12, 322.3, 498.3, 0.0
27, eco2, 51531, 8559.13, 338.2, 433.1, 0.0
27, eco3, 43338, 9850.86, 456.3, 507.5, 0.0
27, eco1, 93059, 8002.80, 319.8, 495.4, 0.0
28, eco2, 51531, 8511.29, 336.0, 431.3, 0.0
28, eco3, 43338, 9843.70, 454.2, 507.6, 0.0
28, eco1, 93059, 7957.60, 317.7, 492.8, 0.0
29, eco2, 51531, 8470.90, 334.4, 429.6, 0.0
29, eco3, 43338, 9842.18, 453.1, 507.7, 0.0
29, eco1, 93059, 7919.52, 315.6, 490.2, 0.0
30, eco2, 51531, 8293.81, 326.7, 430.8, 0.0
30, eco3, 43338, 9740.33, 446.8, 510.0, 0.0
30, eco1, 93059, 7734.99, 307.1, 491.9, 0.0
31, eco2, 51531, 8263.76, 324.7, 427.0, 0.0
31, eco3, 43338, 9742.68, 445.9, 508.0, 0.0
31, eco1, 93059, 7704.01, 305.9, 487.1, 0.0
32, eco2, 51531, 8235.05, 322.4, 423.6, 0.0
32, eco3, 43338, 9765.13, 443.1, 506.0, 0.0
32, eco1, 93059, 7672.75, 302.2, 482.4, 0.0
33, eco2, 51531, 8204.22, 320.0, 420.5, 0.0
33, eco3, 43338, 9769.97, 440.2, 504.0, 0.0
33, eco1, 93059, 7640.69, 299.6, 478.1, 0.0
34, eco2, 51531, 8177.55, 317.4, 417.6, 0.0
34, eco3, 43338, 9765.82, 436.7, 501.8, 0.0
34, eco1, 93059, 7609.56, 296.1, 473.8, 0.0
35, eco2, 51531, 8151.93, 314.8, 414.9, 0.0
35, eco3, 43338, 9760.49, 434.1, 499.7, 0.0
