Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,483,8066265,3466.3794585303,483,185727,472083,76854,275,88682,954,15203,141539,0,0,200588,0,97500,0,0,0,0,4471,5,0,0,0,0,0,7,0,217,0,0,0,0,46
1,1,483,8066265,3466.3794585303,483,185727,472083,625791,275,88682,954,15203,141539,0,0,200588,0,97500,0,0,0,0,4471,5,0,0,0,0,0,7,0,217,0,0,0,0,46
2,-1,550,7981237.5,3429.83992264719,550,184481,530078,78523,249,91340,3109,16810,168109,0,0,229779,0,99451,0,0,0,0,3,10,0,0,1,0,0,6,0,232,0,0,0,0,0
2,1,550,7981237.5,3429.83992264719,550,184481,530078,687124,249,91340,3109,16810,168109,0,0,229779,0,99451,0,0,0,0,3,10,0,0,1,0,0,6,0,232,0,0,0,0,0
3,-1,648,7908057.5,3398.3917060593,648,187642,617526,77906,265,104328,3372,24543,190036,0,0,271560,32,101282,0,0,0,0,279,12,0,0,0,0,0,12,0,237,0,0,0,0,4
3,1,648,7908057.5,3398.3917060593,648,187642,617526,773338,265,104328,3372,24543,190036,0,0,271560,32,101282,0,0,0,0,279,12,0,0,0,0,0,12,0,237,0,0,0,0,4
4,-1,736,8258977.5,3549.19531585733,736,187718,692323,78293,283,111271,2689,35455,197843,0,0,319273,1643,102435,0,0,0,0,7,15,0,0,2,0,0,13,3,249,0,0,0,0,1
4,1,736,8258977.5,3549.19531585733,736,187718,692323,848909,283,111271,2689,35455,197843,0,0,319273,1643,102435,0,0,0,0,7,15,0,0,2,0,0,13,3,249,0,0,0,0,1
5,-1,808,8731625,3752.30984099699,808,187792,763370,74345,261,106236,1684,36300,285394,0,0,309661,7032,91366,0,0,0,0,42,15,0,0,11,0,0,4,17,213,0,0,0,0,1
5,1,808,8731625,3752.30984099699,808,187792,763370,912060,261,106236,1684,36300,285394,0,0,309661,7032,91366,0,0,0,0,42,15,0,0,11,0,0,4,17,213,0,0,0,0,1
