Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,
0, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
0, eco2, 51531, 1204.40882187421, 185.743416584192, 682.588344879781, 1130.3241543925, 2630.63715045313, 0.00304670974753061, 2383.80456424288, 727.334342434651, 232.318759581611, 39.5795734606353, 1445.7516058295, 0.0120121868389901, 0.00166889833304225, 0.0596534125089752, 
0, eco3, 43338, 874.309728183119, 16.2069315612165, 70.7097466426692, 811.657967603489, 2119.45163597766, 0.648414786099959, 1892.97381051271, 675.940860215054, 229.346854954082, 17.5975125755688, 3140.23561308782, 0.0031611980248281, 9.22977525497254E-05, 0.0215745996584983, 
0, eco1, 93059, 898.027230036858, 33.8476772800052, 89.2352915892069, 1554.16102687542, 2677.73916547567, 6.17489979475387, 2899.6004577741, 434.408901879453, 147.265745387335, 15.8860830225986, 622.443159715879, 0.00798418207803651, 0.00112831644440624, 0.070890510321409, 
10, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
10, eco2, 51531, 1124.90811356271, 128.430401117774, 696.244726475325, 976.822262327531, 2926.04614697949, 0.00304670974753061, 2148.4328268421, 608.606916225185, 112.685043954125, 39.5948458209621, 1478.09986221886, 0.13205643205061, 0.00166889833304225, 0, 
10, eco3, 43338, 829.4085790761, 11.6525912594028, 80.6962480963589, 685.495408186811, 2431.98502468965, 0.648414786099959, 1796.38091282477, 585.61954866399, 129.230836679127, 17.6921408463704, 3612.36443767594, 0.0529096866491301, 9.22977525497254E-05, 0, 
10, eco1, 93059, 851.593268786469, 25.4323063862711, 95.1369131411255, 1438.12479179875, 2979.83447060467, 6.17489979475387, 2633.65298359106, 406.269807326535, 46.069224900332, 15.9360513222794, 713.519283465329, 0.0357515124813291, 0.00112831644440624, 0.00181605218194909, 
20, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
20, eco2, 51531, 985.094040480487, 76.6148920067532, 614.451475810677, 690.42040713357, 3274.95765655625, 0.00304670974753061, 1530.40400923716, 388.414895887912, 65.0683472084765, 39.6264966719062, 1552.40038035357, 0.0368904154780618, 0.00166889833304225, 0, 
20, eco3, 43338, 713.006183949421, 6.42768471087729, 71.5489870321658, 482.017490424108, 2731.20252434353, 0.648414786099959, 1509.98973187503, 387.359545895057, 64.7083852508191, 17.835456181642, 3993.81819650192, 0.0203978033134893, 9.22977525497254E-05, 0, 
20, eco1, 93059, 706.831128638821, 16.1462190653242, 84.7105707132035, 1112.04920534285, 3306.56875745495, 6.17116023168098, 2142.6523388388, 275.882762548491, 28.4711097260878, 16.052192694957, 809.330478513631, 0.00812387839972491, 0.00112831644440624, 0, 
30, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
30, eco2, 51531, 828.865401408861, 49.0473501387514, 464.736333469174, 508.455628650715, 3533.15466418272, 0.00304670974753061, 1034.59119753158, 250.90879276552, 24.4402980730046, 39.3971783974695, 1560.20544914712, 0, 0, 0, 
30, eco3, 43338, 599.394388296645, 3.15462180995893, 50.5488024366607, 336.847708708293, 2979.51608288338, 0.649683880197517, 1273.26535603858, 221.527597028012, 20.0608011444921, 17.9637731321242, 4237.40260279662, 0, 0, 0, 
30, eco1, 93059, 577.136623002611, 11.7012325513921, 61.8120009886201, 827.21441236205, 3512.54105459977, 5.95252474236775, 1686.91691292621, 161.389559311834, 9.86726700265423, 16.0922747934106, 864.370324202925, 0, 0, 0, 
40, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
40, eco2, 51531, 671.015311171916, 32.8496827152588, 425.737982961712, 351.769090450409, 3732.36723525645, 0.00304670974753061, 791.909607808892, 147.357687605519, 16.8147716908269, 40.8601230327376, 1546.63307523627, 0, 0, 0, 
40, eco3, 43338, 512.555817065854, 1.92143153814205, 46.6017351977479, 240.608680603627, 3161.92835386958, 0.642323134431677, 1084.58382943375, 128.856592366976, 6.80635931515068, 18.1995708154506, 4264.95897364899, 0, 0, 0, 
40, eco1, 93059, 490.621809819577, 9.37165669091651, 56.6839639368573, 650.759206524893, 3735.46287838898, 5.90351282519692, 1371.66524462975, 75.6612579116475, 5.34042919008371, 16.9319141619833, 932.252753629418, 0, 0, 0, 
50, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
50, eco2, 51531, 545.105334652927, 28.301061496963, 449.484950806311, 304.675535114785, 4021.29017484621, 0.00304670974753061, 465.630125555491, 101.41611845297, 13.4908307620656, 47.366808328967, 1611.03069996701, 0, 0, 0, 
50, eco3, 43338, 454.270501638285, 2.36808343716831, 52.3320873136739, 208.463173196733, 3421.34842401588, 0.603142738474318, 691.115049148553, 66.5376574830403, 4.70007845308967, 19.1115879828326, 4185.13948497854, 0, 0, 0, 
50, eco1, 93059, 387.445996625797, 8.95201968643549, 59.8955071513771, 569.933289633458, 3946.46899278952, 5.632974779441, 827.393868406065, 43.832998420357, 2.56690916515329, 19.47257116453, 1015.69501069214, 0, 0, 0, 
60, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
60, eco2, 51531, 414.27005103724, 22.7140168054181, 456.240088490423, 231.912848576585, 4198.12662280957, 0.00304670974753061, 164.144922473851, 78.5490093341872, 6.93178863208554, 53.9345636607091, 1669.95627874483, 0, 0, 0, 
60, eco3, 43338, 353.629470672389, 2.16382851077576, 53.7426738658914, 159.747265679081, 3651.13060131986, 0.620656237020629, 288.315635239282, 48.9325995662006, 2.41448613226268, 21.3025751072961, 3966.36921408464, 0, 0, 0, 
60, eco1, 93059, 279.214971147337, 7.98546083667351, 61.049850095101, 422.343642205483, 4043.12417928411, 5.47059392428459, 321.036417756477, 33.8603788994079, 1.60543311232659, 22.7274954598695, 1093.82316594848, 0, 0, 0, 
70, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
70, eco2, 51531, 279.981622712542, 20.2482583299373, 414.712677805593, 117.525450699579, 4051.46690341736, 0.00304670974753061, 53.7216820942733, 51.9702315111292, 3.65618753759873, 57.5610409268208, 1558.46271176573, 0, 0, 0, 
70, eco3, 43338, 258.725991047118, 2.13330102911994, 53.295998892427, 91.0757995292815, 3587.12967834233, 0.636139185010845, 136.027527804698, 33.6301859799714, 1.71270017075084, 25.3367944990539, 3355.02062854769, 0, 0, 0, 
70, eco1, 93059, 179.829076177479, 7.45591506463641, 54.460643247832, 209.817793013035, 3898.93939328813, 5.31190964871748, 123.283648008253, 20.1217077338033, 0.514415585811152, 23.5773863892799, 1049.30451648954, 0, 0, 0, 
80, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
80, eco2, 51531, 172.486289806136, 13.4291785527158, 388.958413382236, 42.154256661039, 3818.42945023384, 0.00968349149055908, 36.4005355999301, 37.5814170111195, 2.09293435019697, 63.7165201529177, 1496.12712736023, 0, 0, 0, 
80, eco3, 43338, 181.504038026674, 1.31868106511606, 51.0374728875352, 49.1229175319581, 3478.02909686649, 0.708731367391204, 102.343739904933, 23.9255157136924, 0.856546218099589, 32.4971849185472, 2914.78919193318, 0, 0, 0, 
80, eco1, 93059, 106.237698664288, 6.36852964248488, 49.8404238171483, 65.0680965838876, 3722.12122416961, 4.98980216851675, 68.7118817094531, 13.6414532715804, 0.279715019503756, 25.2719672465855, 1027.04824896034, 0, 0, 0, 
90, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
90, eco2, 51531, 91.2151326386059, 8.75934874153422, 354.044691544895, 9.33802953561934, 3458.68818769285, 0.0102462595330966, 19.8256389357862, 16.8862626380237, 1.10399565310202, 64.6555665521725, 1421.22700898488, 0, 0, 0, 
90, eco3, 43338, 106.564008491393, 0.927361668743366, 46.3122202224376, 18.8130047533343, 3243.47558724445, 0.7269140246435, 56.6634593197656, 10.4158475241128, 0.686303013521621, 36.4592966911256, 2464.56548525543, 0, 0, 0, 
90, eco1, 93059, 52.2787371452519, 5.40896635467822, 44.450735554863, 11.4187236054546, 3442.31223202484, 4.54200023640916, 25.5814590743507, 5.72723755896797, 0.14403765353163, 24.5009725013164, 987.41699352024, 0, 0, 0, 
100, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
100, eco2, 51531, 54.5537443480623, 6.81552851681512, 314.971260018241, 4.05810094894335, 3120.59451592245, 0.010653781219072, 13.0122450563738, 10.4154586559547, 0.894510100716074, 67.8904154780618, 1368.24579379403, 0, 0, 0, 
100, eco3, 43338, 59.1288245881213, 0.856961557986063, 40.9483594074484, 11.0203285799991, 2981.39457289215, 0.806290091836264, 46.0650237666713, 6.2224145092067, 0.380912824772717, 42.75991047118, 2084.72063777747, 0, 0, 0, 
100, eco1, 93059, 31.0067161693119, 4.86432263402788, 38.9696321688391, 3.9145058511267, 3122.84632330027, 4.0312597384455, 11.952599963464, 3.76198970545568, 0.0701382993584715, 24.7690389967655, 955.665695956329, 0, 0, 0, 
110, eco0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, 
110, eco2, 51531, 11.8640624090353, 5.12006365100619, 243.232636665308, 1.9288777629, 2865.95133026722, 0.0110418971104772, 10.5506200151365, 2.55461760881799, 0.429411422250684, 61.0388698065242, 1371.16772428247, 0, 0, 0, 
110, eco3, 43338, 14.0839217315058, 0.770455489408833, 26.5543633762518, 5.20317042780008, 2721.41097881767, 0.776062577876229, 36.9152245142831, 1.579583737136, 0.208939037334441, 41.1740043379944, 1865.98599381605, 0, 0, 0, 
