Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10586.10, 1.0, 469.7, 0.0
0, eco3, 43338, 9794.78, 1.3, 455.6, 0.0
0, eco1, 93059, 9314.75, 0.5, 537.3, 0.0
1, eco2, 51531, 10685.66, 416.9, 471.4, 0.0
1, eco3, 43338, 9938.93, 454.0, 459.8, 0.0
1, eco1, 93059, 9411.13, 391.7, 540.4, 0.0
2, eco2, 51531, 10703.69, 415.3, 472.3, 0.0
2, eco3, 43338, 10023.48, 455.0, 463.2, 0.0
2, eco1, 93059, 9437.27, 390.5, 542.5, 0.0
3, eco2, 51531, 10715.53, 413.5, 472.6, 0.0
3, eco3, 43338, 10095.58, 455.8, 466.1, 0.0
3, eco1, 93059, 9456.50, 389.3, 544.0, 0.0
4, eco2, 51531, 10710.16, 412.0, 472.5, 0.0
4, eco3, 43338, 10150.39, 457.1, 468.7, 0.0
4, eco1, 93059, 9464.00, 388.2, 545.0, 0.0
5, eco2, 51531, 10689.44, 411.0, 472.4, 0.0
5, eco3, 43338, 10196.69, 458.8, 471.4, 0.0
5, eco1, 93059, 9465.26, 387.3, 545.7, 0.0
6, eco2, 51531, 10658.86, 409.9, 472.2, 0.0
6, eco3, 43338, 10236.42, 460.3, 474.0, 0.0
6, eco1, 93059, 9456.78, 386.1, 546.2, 0.0
7, eco2, 51531, 10621.79, 408.8, 472.1, 0.0
7, eco3, 43338, 10263.94, 461.8, 476.7, 0.0
7, eco1, 93059, 9436.83, 384.9, 546.4, 0.0
8, eco2, 51531, 10586.53, 407.7, 472.0, 0.0
8, eco3, 43338, 10278.92, 463.4, 479.4, 0.0
8, eco1, 93059, 9406.45, 383.7, 546.5, 0.0
9, eco2, 51531, 10542.29, 406.5, 472.0, 0.0
9, eco3, 43338, 10302.29, 464.6, 482.0, 0.0
9, eco1, 93059, 9385.19, 382.2, 546.3, 0.0
10, eco2, 51531, 10472.28, 404.7, 472.2, 0.0
10, eco3, 43338, 10315.29, 465.4, 484.7, 0.0
10, eco1, 93059, 9360.49, 380.4, 546.0, 0.0
11, eco2, 51531, 10415.08, 403.3, 472.0, 0.0
11, eco3, 43338, 10326.02, 466.3, 487.2, 0.0
11, eco1, 93059, 9331.21, 378.7, 545.5, 0.0
12, eco2, 51531, 10348.89, 400.6, 471.3, 0.0
12, eco3, 43338, 10328.65, 465.9, 489.3, 0.0
12, eco1, 93059, 9289.95, 376.2, 544.6, 0.0
13, eco2, 51531, 10280.31, 399.0, 470.8, 0.0
13, eco3, 43338, 10325.14, 466.5, 491.4, 0.0
13, eco1, 93059, 9243.11, 374.2, 543.7, 0.0
14, eco2, 51531, 10202.51, 396.7, 470.1, 0.0
14, eco3, 43338, 10314.79, 466.4, 493.3, 0.0
14, eco1, 93059, 9191.98, 371.6, 542.4, 0.0
15, eco2, 51531, 10127.78, 394.7, 469.5, 0.0
15, eco3, 43338, 10313.21, 466.4, 495.1, 0.0
15, eco1, 93059, 9146.28, 369.1, 541.0, 0.0
16, eco2, 51531, 10057.83, 393.0, 468.9, 0.0
16, eco3, 43338, 10312.87, 466.8, 497.0, 0.0
16, eco1, 93059, 9107.34, 366.4, 539.5, 0.0
17, eco2, 51531, 9989.31, 390.1, 468.1, 0.0
17, eco3, 43338, 10306.20, 466.9, 498.8, 0.0
17, eco1, 93059, 9057.46, 363.6, 537.7, 0.0
18, eco2, 51531, 9887.79, 386.2, 466.8, 0.0
18, eco3, 43338, 10292.81, 466.8, 500.6, 0.0
18, eco1, 93059, 9003.95, 361.8, 536.1, 0.0
19, eco2, 51531, 9777.58, 382.5, 465.3, 0.0
19, eco3, 43338, 10272.59, 466.4, 502.2, 0.0
19, eco1, 93059, 8945.77, 360.3, 534.6, 0.0
20, eco2, 51531, 9527.78, 361.5, 460.8, 0.0
20, eco3, 43338, 10139.26, 459.9, 505.0, 0.0
20, eco1, 93059, 8758.60, 336.1, 529.2, 0.0
21, eco2, 51531, 9373.61, 357.9, 454.6, 0.0
21, eco3, 43338, 10095.67, 459.0, 504.1, 0.0
21, eco1, 93059, 8642.35, 334.2, 522.1, 0.0
22, eco2, 51531, 9236.34, 355.0, 449.5, 0.0
22, eco3, 43338, 10055.28, 458.7, 503.8, 0.0
22, eco1, 93059, 8530.65, 332.5, 516.3, 0.0
23, eco2, 51531, 9095.62, 352.0, 445.3, 0.0
23, eco3, 43338, 10010.93, 458.2, 503.8, 0.0
23, eco1, 93059, 8423.17, 330.6, 511.4, 0.0
24, eco2, 51531, 8968.66, 349.1, 441.8, 0.0
24, eco3, 43338, 9966.08, 457.5, 504.0, 0.0
24, eco1, 93059, 8309.03, 328.3, 507.1, 0.0
25, eco2, 51531, 8851.49, 346.2, 438.7, 0.0
25, eco3, 43338, 9925.05, 456.9, 504.3, 0.0
25, eco1, 93059, 8210.82, 325.8, 503.3, 0.0
26, eco2, 51531, 8772.78, 343.8, 436.0, 0.0
26, eco3, 43338, 9896.72, 456.1, 504.7, 0.0
26, eco1, 93059, 8134.64, 323.6, 499.9, 0.0
27, eco2, 51531, 8704.06, 340.9, 433.5, 0.0
27, eco3, 43338, 9879.45, 455.2, 505.1, 0.0
27, eco1, 93059, 8077.68, 320.9, 496.6, 0.0
28, eco2, 51531, 8643.85, 338.2, 431.2, 0.0
28, eco3, 43338, 9878.47, 453.6, 505.3, 0.0
28, eco1, 93059, 8017.39, 318.0, 493.4, 0.0
29, eco2, 51531, 8583.12, 335.7, 429.0, 0.0
29, eco3, 43338, 9861.23, 451.2, 505.0, 0.0
29, eco1, 93059, 7961.03, 315.5, 490.4, 0.0
30, eco2, 51531, 8394.69, 329.4, 429.5, 0.0
30, eco3, 43338, 9688.14, 442.4, 507.4, 0.0
30, eco1, 93059, 7730.84, 306.4, 491.9, 0.0
31, eco2, 51531, 8364.70, 327.3, 425.9, 0.0
31, eco3, 43338, 9684.25, 441.0, 504.3, 0.0
31, eco1, 93059, 7690.86, 304.6, 486.4, 0.0
32, eco2, 51531, 8328.62, 324.6, 422.5, 0.0
32, eco3, 43338, 9678.71, 438.9, 501.8, 0.0
32, eco1, 93059, 7655.50, 301.3, 481.3, 0.0
33, eco2, 51531, 8300.74, 322.0, 419.5, 0.0
33, eco3, 43338, 9703.92, 436.3, 499.5, 0.0
33, eco1, 93059, 7618.62, 298.6, 476.7, 0.0
34, eco2, 51531, 8270.58, 319.1, 416.6, 0.0
