Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10587.33, 1.0, 469.7, 0.0
0, eco3, 43338, 9796.11, 1.3, 455.6, 0.0
0, eco1, 93059, 9315.73, 0.5, 537.3, 0.0
1, eco2, 51531, 10687.63, 417.0, 471.4, 0.0
1, eco3, 43338, 9939.38, 454.0, 459.9, 0.0
1, eco1, 93059, 9411.75, 391.8, 540.4, 0.0
2, eco2, 51531, 10710.26, 415.3, 472.3, 0.0
2, eco3, 43338, 10028.44, 455.0, 463.2, 0.0
2, eco1, 93059, 9442.70, 390.7, 542.6, 0.0
3, eco2, 51531, 10730.12, 413.8, 472.6, 0.0
3, eco3, 43338, 10108.25, 456.0, 466.1, 0.0
3, eco1, 93059, 9470.24, 389.6, 544.2, 0.0
4, eco2, 51531, 10727.34, 412.3, 472.6, 0.0
4, eco3, 43338, 10163.94, 457.1, 468.7, 0.0
4, eco1, 93059, 9479.17, 388.5, 545.2, 0.0
5, eco2, 51531, 10705.11, 411.4, 472.5, 0.0
5, eco3, 43338, 10202.42, 458.9, 471.3, 0.0
5, eco1, 93059, 9473.95, 387.7, 546.0, 0.0
6, eco2, 51531, 10685.09, 410.6, 472.5, 0.0
6, eco3, 43338, 10247.57, 460.5, 474.0, 0.0
6, eco1, 93059, 9472.59, 386.7, 546.5, 0.0
7, eco2, 51531, 10647.14, 409.4, 472.4, 0.0
7, eco3, 43338, 10278.29, 462.1, 476.6, 0.0
7, eco1, 93059, 9456.46, 385.3, 546.7, 0.0
8, eco2, 51531, 10604.17, 408.3, 472.3, 0.0
8, eco3, 43338, 10304.82, 463.4, 479.3, 0.0
8, eco1, 93059, 9437.45, 384.0, 546.8, 0.0
9, eco2, 51531, 10561.34, 406.9, 472.2, 0.0
9, eco3, 43338, 10327.27, 464.6, 481.9, 0.0
9, eco1, 93059, 9414.80, 382.3, 546.6, 0.0
10, eco2, 51531, 10448.32, 403.4, 473.5, 0.0
10, eco3, 43338, 10265.82, 462.8, 486.3, 0.0
10, eco1, 93059, 9350.45, 379.7, 546.8, 0.0
11, eco2, 51531, 10391.02, 402.8, 472.7, 0.0
11, eco3, 43338, 10276.51, 464.5, 487.8, 0.0
11, eco1, 93059, 9317.64, 378.2, 545.9, 0.0
12, eco2, 51531, 10326.97, 400.7, 471.8, 0.0
12, eco3, 43338, 10278.25, 464.8, 489.3, 0.0
12, eco1, 93059, 9276.28, 376.4, 545.0, 0.0
13, eco2, 51531, 10258.04, 398.4, 470.9, 0.0
13, eco3, 43338, 10276.22, 464.6, 490.7, 0.0
13, eco1, 93059, 9231.80, 374.0, 543.8, 0.0
14, eco2, 51531, 10187.40, 396.7, 470.1, 0.0
14, eco3, 43338, 10272.15, 465.1, 492.4, 0.0
14, eco1, 93059, 9187.39, 372.0, 542.6, 0.0
15, eco2, 51531, 10116.97, 394.8, 469.4, 0.0
15, eco3, 43338, 10275.20, 465.4, 494.0, 0.0
15, eco1, 93059, 9147.61, 369.4, 541.2, 0.0
16, eco2, 51531, 10043.32, 392.8, 468.7, 0.0
16, eco3, 43338, 10272.63, 465.6, 495.7, 0.0
16, eco1, 93059, 9107.50, 366.7, 539.6, 0.0
17, eco2, 51531, 9973.96, 390.3, 467.8, 0.0
17, eco3, 43338, 10265.91, 465.8, 497.4, 0.0
17, eco1, 93059, 9060.29, 363.9, 537.8, 0.0
18, eco2, 51531, 9901.16, 387.8, 466.9, 0.0
18, eco3, 43338, 10253.77, 465.9, 499.1, 0.0
18, eco1, 93059, 9008.86, 362.3, 536.2, 0.0
19, eco2, 51531, 9801.35, 384.9, 465.8, 0.0
19, eco3, 43338, 10240.14, 466.0, 500.7, 0.0
19, eco1, 93059, 8957.72, 361.2, 534.9, 0.0
20, eco2, 51531, 9538.34, 363.2, 462.2, 0.0
20, eco3, 43338, 10188.73, 463.7, 502.1, 0.0
20, eco1, 93059, 8802.32, 338.0, 528.9, 0.0
21, eco2, 51531, 9395.01, 360.0, 455.9, 0.0
21, eco3, 43338, 10150.75, 462.7, 502.8, 0.0
21, eco1, 93059, 8695.09, 336.6, 522.5, 0.0
22, eco2, 51531, 9264.15, 357.4, 450.8, 0.0
22, eco3, 43338, 10114.55, 462.5, 503.6, 0.0
