Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,889.5550242,27.61885471,95.99223074,1481.585145,2970.141158,6.174899795,2679.977391,427.9673003,44.14258696,15.9522346,711.2724401,0.038018891,0.001128316,0.035665546, ,82781101,2570183,8932941,137874832,276398366,574630,249396016,39826209,4107865,1484499,66190302,3538,105,3319,,963.9440956,55.06682879,259.613006,1182.675945,2826.667421,3.20807969,2341.744407,537.3338725,82.84012494,22.82602912,1586.590785,0.057016517,0.003762079,0.018464518
20, eco1,93059,776.1055674,17.11801115,94.66279457,1231.906382,3277.967633,6.176210791,2266.666706,292.1633802,23.23112219,16.06358332,800.2533876,0.00215992,0.001128316,1.07E-05, ,72223608,1592985,8809225,114639976,305044390,574752,210933737,27188432,2161865,1494861,74470780,201,105,1,,841.6187689,32.38731855,250.0068005,950.9895332,3128.795634,3.208728875,1972.088731,354.0522541,40.25005853,22.90312779,1727.545629,0.009035375,0.003650334,5.32119E-06
30, eco1,93059,595.6792358,12.564083,72.3156922,917.6159963,3510.810271,6.177908639,1759.163531,172.7286023,7.670069526,16.08625711,856.8311716,0.003804038,0.016322978,0, ,55433314,1169201,6729626,85392427,326712493,574910,163705999,16073951,713769,1496971,79735852,354,1519,0,,664.4407805,21.66113086,189.0024371,693.1138894,3358.328589,3.209569622,1481.112272,207.8502512,13.07506598,22.76753863,1794.687327,0.001952876,0.022082925,0
40, eco1,93059,487.5601393,10.60612085,59.97272698,681.535413,3694.196402,6.073630707,1416.478105,84.723498,4.39435197,16.31731482,912.5435691,0.015753447,0.000591023,0, ,45371859,986995,5581002,63423004,343778223,565206,131816036,7884284,408934,1518473,84920392,1466,55,0,,546.832952,16.77304606,161.7168064,505.2669852,3582.899589,3.154521945,1202.644311,119.3826785,7.675519348,23.31596675,1851.540478,0.007806181,0.005794772,0
50, eco1,93059,387.4306515,10.0994208,62.67983752,604.8954749,3910.703113,6.005050559,862.111929,47.10983355,2.539528686,18.57122901,1001.824294,0.017182648,0.004717437,0, ,36053909,939842,5832923,56290968,363926121,558824,80227274,4383994,236326,1728220,93228767,1599,439,0,,452.5267815,15.171289,172.3703599,447.1048167,3836.576497,3.121519944,737.5931953,69.43426738,5.964550253,26.38546145,1915.245663,0.010988251,0.004895492,0
60, eco1,93059,284.303904,9.130444127,62.6672756,464.3423957,4057.261791,5.873026789,339.617318,35.27094639,1.501821425,21.59655702,1086.649233,1.07E-05,7.52E-05,0, ,26457037,849670,5831754,43211239,377564725,546538,31604448,3282279,139758,2009754,101122491,1,7,0,,344.3171427,12.94315908,174.449172,344.3082723,4024.614139,3.057490103,287.9622355,51.93259653,3.031325827,30.00304372,1923.71877,5.32119E-06,3.72483E-05,0
70, eco1,93059,177.6340386,8.254784599,53.20808304,227.7739284,3931.396856,5.661881172,127.31566,21.05344996,0.521819491,22.04683051,1040.723455,0,0.002976606,0, ,16530446,768182,4951491,21196414,365851860,526889,11847868,1959213,48560,2051656,96848684,0,277,0,,224.9406794,11.56450875,149.703115,172.1239092,3872.745264,2.965124941,109.4573933,32.9039579,1.647827892,31.42639202,1707.07961,0,0.00147929,0
80, eco1,93059,104.5034978,6.777119892,47.59768534,69.54212919,3718.832708,5.200550189,67.80899214,14.6469874,0.256321259,23.16865644,1010.232627,0,4.30E-05,0, ,9724991,630672,4429393,6471521,346070853,483958,6310237,1363034,23853,2156052,94011238,0,4,0,,140.9723032,9.038046486,142.8119918,60.7224735,3652.510547,2.745971862,67.52638777,23.42507237,0.9482621,34.67981887,1555.915845,0,2.12847E-05,0
90, eco1,93059,50.73999291,5.761688821,42.25293631,11.81747064,3393.543451,3.680718684,22.92521948,6.098002343,0.143736769,22.13065904,950.1466596,0,0.005942467,0, ,4721813,536177,3932016,1099722,315799760,342524,2133398,567474,13376,2059457,88419698,0,553,0,,72.64226725,7.162562258,129.5347261,13.95098655,3336.765607,1.971281555,29.93494317,10.26145119,0.548327019,35.3829605,1402.534029,0,0.002942616,0
