Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 457, 1040, 531, 493, 3, 2, 
10, 457, 1051, 1444, 0, 0, 0, 
10, 475, 1047, 143, 143, 27, 3, 
10, 480, 1013, 155, 0, 0, 0, 
10, 547, 1130, 399, 393, 65, 3, 
10, 591, 893, 559, 462, 5, 2, 
10, 592, 881, 49, 47, 16, 3, 
10, 644, 828, 259, 202, 2, 2, 
10, 647, 659, 827, 763, 7, 2, 
10, 663, 719, 212, 204, 124, 3, 
10, 687, 781, 258, 0, 0, 0, 
10, 692, 818, 1438, 0, 0, 0, 
10, 726, 747, 525, 522, 258, 3, 
10, 761, 517, 506, 504, 15, 2, 
10, 780, 383, 31, 24, 7, 3, 
10, 790, 417, 673, 663, 67, 2, 
10, 793, 503, 496, 496, 2376, 4, 
10, 872, 396, 10, 0, 0, 0, 
10, 890, 424, 444, 444, 216, 3, 
10, 893, 460, 375, 0, 0, 0, 
10, 899, 535, 160, 153, 36, 3, 
10, 902, 360, 655, 648, 15, 2, 
10, 934, 430, 937, 937, 10946, 5, 
10, 969, 446, 36, 35, 15, 3, 
20, 331, 1312, 89, 64, 4, 2, 
20, 439, 1227, 362, 326, 8, 2, 
20, 469, 1036, 97, 0, 0, 0, 
20, 568, 1113, 79, 42, 3, 2, 
20, 614, 721, 69, 67, 8, 2, 
20, 639, 826, 109, 108, 126, 3, 
20, 744, 762, 595, 595, 2450, 4, 
20, 786, 622, 40, 40, 41, 3, 
20, 798, 598, 533, 533, 568, 3, 
20, 798, 703, 24, 24, 30, 3, 
20, 817, 425, 73, 73, 123, 3, 
20, 854, 595, 336, 336, 284, 3, 
20, 855, 333, 946, 946, 1400, 3, 
20, 879, 544, 46, 45, 8, 2, 
20, 919, 408, 265, 0, 0, 0, 
20, 984, 344, 34, 30, 3, 2, 
30, 431, 1241, 214, 15, 5, 3, 
30, 460, 1013, 281, 277, 25, 2, 
30, 485, 1132, 276, 271, 27, 2, 
30, 486, 1139, 102, 1, 2, 3, 
30, 512, 1108, 203, 0, 0, 0, 
30, 531, 1013, 20, 20, 129, 4.95, 
30, 581, 1052, 366, 366, 606, 3, 
30, 607, 772, 501, 496, 763, 3, 
30, 641, 859, 628, 625, 85, 2, 
30, 672, 608, 483, 482, 880, 3, 
30, 714, 763, 725, 725, 1375, 3, 
30, 734, 737, 426, 426, 923, 3, 
30, 752, 495, 122, 120, 39, 2, 
30, 768, 630, 299, 299, 524, 3, 
30, 830, 600, 133, 133, 362, 3, 
30, 893, 571, 33, 32, 31, 3, 
30, 918, 692, 473, 473, 737, 3, 
30, 971, 288, 472, 472, 44, 2, 
30, 978, 397, 1318, 1318, 12637, 5, 
30, 991, 345, 268, 267, 549, 3, 
30, 997, 423, 924, 924, 2078, 3, 
40, 320, 1435, 215, 214, 25, 1, 
40, 353, 1255, 207, 206, 322, 3, 
40, 384, 1185, 52, 52, 12, 1.62, 
40, 407, 1121, 362, 361, 67, 1.93, 
40, 447, 1215, 94, 94, 105, 3, 
40, 449, 1140, 40, 40, 8, 1.3, 
40, 455, 1070, 41, 39, 11, 1.51, 
40, 476, 1169, 974, 974, 1467, 3, 
40, 592, 798, 624, 624, 750, 3, 
40, 634, 873, 30, 30, 44, 3, 
40, 697, 830, 4, 3, 2, 3, 
40, 725, 582, 823, 822, 1313, 3, 
40, 732, 754, 287, 216, 66, 1.65, 
40, 750, 544, 384, 382, 120, 2, 
40, 802, 538, 10, 10, 26, 3, 
40, 876, 578, 516, 510, 55, 2, 
40, 879, 372, 75, 72, 5, 2, 
40, 888, 440, 1012, 1011, 1679, 3, 
40, 916, 553, 320, 319, 404, 3, 
40, 948, 465, 201, 183, 11, 1.57, 
40, 975, 466, 1140, 1140, 199, 1, 
40, 987, 477, 62, 0, 0, 0, 
50, 348, 1264, 64, 57, 22, 2, 
50, 390, 1187, 276, 273, 169, 2, 
50, 398, 1189, 339, 321, 17, 1, 
50, 411, 1258, 259, 259, 140, 2, 
50, 436, 1083, 154, 153, 118, 2, 
50, 473, 1200, 350, 350, 582, 3, 
50, 487, 1086, 434, 432, 318, 2, 
50, 508, 1146, 340, 334, 18, 1, 
50, 523, 1203, 1025, 1025, 2070, 3, 
50, 533, 1054, 4, 4, 5, 3, 
50, 560, 1208, 533, 0, 0, 0, 
50, 598, 1101, 492, 483, 31, 1, 
50, 607, 917, 685, 685, 665, 2, 
50, 639, 861, 537, 537, 405, 2, 
50, 659, 663, 388, 0, 0, 0, 
50, 679, 842, 71, 71, 149, 3, 
50, 681, 789, 536, 535, 946, 3, 
50, 693, 753, 19, 19, 134, 5, 
50, 719, 827, 129, 129, 228, 3, 
50, 726, 675, 145, 145, 358, 2.99, 
50, 777, 581, 1861, 1861, 3615, 3, 
50, 790, 643, 246, 238, 33, 1, 
50, 807, 707, 198, 2, 2, 2, 
50, 834, 437, 743, 743, 1583, 3, 
50, 853, 322, 39, 0, 0, 0, 
50, 853, 534, 28, 25, 9, 1, 
50, 905, 448, 447, 291, 3, 1, 
50, 909, 505, 69, 69, 125, 3, 
50, 944, 624, 6, 1, 1, 1, 
50, 949, 604, 393, 393, 680, 3, 
50, 991, 485, 1014, 1014, 2221, 3, 
60, 270, 1479, 129, 1, 6, 3, 
60, 421, 1256, 940, 317, 463, 3, 
60, 509, 1255, 75, 74, 126, 3, 
60, 514, 1120, 782, 782, 1636, 3, 
60, 517, 962, 455, 455, 1251, 3, 
60, 519, 1084, 104, 104, 315, 3, 
60, 520, 962, 171, 0, 0, 0, 
60, 590, 810, 744, 683, 368, 2, 
60, 611, 1150, 389, 389, 254, 2, 
60, 621, 821, 65, 65, 108, 3, 
60, 623, 1140, 350, 1, 1, 3, 
60, 648, 659, 349, 349, 1529, 4, 
60, 664, 716, 121, 121, 490, 4, 
60, 666, 624, 144, 120, 21, 2, 
60, 667, 987, 1521, 1520, 978, 2, 
60, 689, 575, 112, 112, 100, 2, 
60, 699, 586, 166, 166, 130, 2, 
60, 739, 613, 602, 602, 1235, 3, 
60, 748, 712, 795, 0, 0, 0, 
60, 767, 723, 63, 63, 63, 2, 
60, 786, 444, 1133, 1133, 11083, 5, 
60, 848, 610, 189, 189, 304, 3, 
60, 861, 566, 118, 118, 127, 2, 
60, 876, 414, 484, 484, 1123, 3, 
60, 884, 388, 4, 4, 21, 4, 
60, 899, 595, 25, 25, 42, 2.92, 
60, 900, 610, 56, 19, 4, 1, 
60, 947, 618, 451, 450, 654, 3, 
70, 398, 1179, 75, 75, 185, 3, 
70, 410, 1333, 861, 142, 760, 4, 
70, 441, 1177, 533, 533, 596, 2, 
70, 490, 1100, 166, 165, 117, 1, 
70, 638, 732, 308, 306, 220, 1, 
70, 647, 790, 140, 140, 207, 2, 
70, 651, 843, 150, 150, 378, 2.99, 
70, 652, 813, 147, 147, 150, 1, 
70, 653, 1068, 460, 460, 462, 2, 
70, 659, 783, 136, 136, 168, 2, 
70, 688, 842, 1651, 1651, 7993, 4, 
70, 717, 783, 733, 733, 1263, 3, 
70, 721, 813, 734, 734, 802, 2, 
70, 722, 674, 226, 193, 78, 1, 
70, 733, 486, 41, 41, 382, 5, 
70, 739, 456, 16, 16, 17, 1.88, 
70, 757, 720, 234, 233, 334, 2, 
70, 760, 791, 78, 75, 83, 2, 
70, 774, 631, 405, 341, 71, 1, 
70, 786, 402, 339, 339, 991, 3, 
70, 790, 552, 153, 153, 123, 2, 
70, 793, 501, 27, 25, 33, 2.84, 
70, 811, 674, 2143, 2143, 5578, 3, 
70, 829, 531, 445, 445, 4529, 5, 
70, 841, 450, 549, 0, 0, 0, 
70, 853, 439, 158, 158, 286, 3, 
70, 885, 613, 249, 248, 279, 2, 
70, 904, 472, 90, 87, 107, 2, 
70, 916, 349, 96, 96, 513, 4, 
70, 928, 431, 418, 418, 1053, 3, 
70, 950, 330, 79, 79, 187, 3, 
70, 967, 407, 89, 87, 11, 1, 
80, 335, 1386, 61, 61, 173, 3, 
80, 372, 1277, 308, 308, 838, 3, 
80, 502, 1110, 44, 44, 28, 1.98, 
80, 520, 1005, 417, 417, 1191, 3, 
80, 530, 932, 16, 16, 47, 3, 
