Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,456,8066265,3466.3794585303,456,185727,444621,79632,286,87568,918,12766,129059,0,0,192144,0,97458,0,0,0,0,4340,11,0,0,0,0,0,7,0,217,0,0,0,0,51
1,1,456,8066265,3466.3794585303,456,185727,444621,603885,286,87568,918,12766,129059,0,0,192144,0,97458,0,0,0,0,4340,11,0,0,0,0,0,7,0,217,0,0,0,0,51
2,-1,483,8016452.5,3444.97314138376,483,184493,469062,76620,242,82265,2272,14292,146371,0,0,201363,0,99116,0,0,0,0,3,5,0,0,0,0,0,4,0,233,0,0,0,0,0
2,1,483,8016452.5,3444.97314138376,483,184493,469062,622302,242,82265,2272,14292,146371,0,0,201363,0,99116,0,0,0,0,3,5,0,0,0,0,0,4,0,233,0,0,0,0,0
3,-1,507,7942050,3412.99957026214,507,184580,486450,73656,244,85159,1873,20273,152633,0,0,206496,0,93457,0,0,0,0,215,12,0,0,1,0,0,5,0,221,0,0,0,0,5
3,1,507,7942050,3412.99957026214,507,184580,486450,633762,244,85159,1873,20273,152633,0,0,206496,0,93457,0,0,0,0,215,12,0,0,1,0,0,5,0,221,0,0,0,0,5
4,-1,468,8188625,3518.96218306833,468,184657,453317,61564,210,77197,695,20798,135798,0,0,202677,372,77343,0,0,0,0,1,11,0,0,2,0,0,15,1,181,0,0,0,0,0
4,1,468,8188625,3518.96218306833,468,184657,453317,576445,210,77197,695,20798,135798,0,0,202677,372,77343,0,0,0,0,1,11,0,0,2,0,0,15,1,181,0,0,0,0,0
5,-1,447,8138785,3497.54404813064,447,184712,433593,55582,188,75816,247,23983,119864,0,0,197460,527,71259,0,0,0,0,19,15,0,0,0,0,0,7,1,165,0,0,0,0,0
5,1,447,8138785,3497.54404813064,447,184712,433593,544757,188,75816,247,23983,119864,0,0,197460,527,71259,0,0,0,0,19,15,0,0,0,0,0,7,1,165,0,0,0,0,0
6,-1,467,8101417.5,3481.48581865062,467,185011,446609,52026,187,71948,184,26018,143849,0,0,187793,523,68318,0,0,0,0,2,14,0,0,0,0,0,4,1,168,0,0,0,0,0
6,1,467,8101417.5,3481.48581865062,467,185011,446609,550661,187,71948,184,26018,143849,0,0,187793,523,68318,0,0,0,0,2,14,0,0,0,0,0,4,1,168,0,0,0,0,0
7,-1,461,8519125,3660.99054576708,461,186078,458423,43377,157,69633,108,25618,171339,0,0,177128,871,57100,0,0,0,0,3,17,0,0,0,0,0,4,2,134,0,0,0,0,0
7,1,461,8519125,3660.99054576708,461,186078,458423,545177,157,69633,108,25618,171339,0,0,177128,871,57100,0,0,0,0,3,17,0,0,0,0,0,4,2,134,0,0,0,0,0
8,-1,488,8047860,3458.47013321874,488,186414,473473,50651,201,82139,85,28373,149216,0,0,200353,1512,62441,0,0,0,0,5,17,0,0,2,0,0,13,4,165,0,0,0,0,0
8,1,488,8047860,3458.47013321874,488,186414,473473,574775,201,82139,85,28373,149216,0,0,200353,1512,62441,0,0,0,0,5,17,0,0,2,0,0,13,4,165,0,0,0,0,0
9,-1,482,8026527.5,3449.3027503223,482,186336,459600,53386,227,80067,127,22053,157538,0,0,184365,1382,67452,0,0,0,0,2,20,0,0,5,0,0,5,3,194,0,0,0,0,0
9,1,482,8026527.5,3449.3027503223,482,186336,459600,566372,227,80067,127,22053,157538,0,0,184365,1382,67452,0,0,0,0,2,20,0,0,5,0,0,5,3,194,0,0,0,0,0
10,-1,510,8460932.5,3635.98302535453,510,186398,491148,57858,272,106977,139,16997,172546,0,0,178767,3045,70534,0,0,0,0,1,22,0,0,6,0,0,12,10,222,0,0,0,0,0
10,1,510,8460932.5,3635.98302535453,510,186398,491148,606864,272,106977,139,16997,172546,0,0,178767,3045,70534,0,0,0,0,1,22,0,0,6,0,0,12,10,222,0,0,0,0,0
11,-1,531,8289250,3562.20455522131,531,186269,504279,55000,280,105401,70,20497,176559,0,0,186609,2787,67354,0,0,0,0,2,15,0,0,19,0,0,13,9,224,0,0,0,0,0
11,1,531,8289250,3562.20455522131,531,186269,504279,614279,280,105401,70,20497,176559,0,0,186609,2787,67354,0,0,0,0,2,15,0,0,19,0,0,13,9,224,0,0,0,0,0
12,-1,530,8155915,3504.90545767082,530,186100,503699,56387,319,106680,37,21627,179553,0,0,182601,3375,66211,0,0,0,0,2,12,0,0,37,0,0,32,11,227,0,0,0,0,0
12,1,530,8155915,3504.90545767082,530,186100,503699,616473,319,106680,37,21627,179553,0,0,182601,3375,66211,0,0,0,0,2,12,0,0,37,0,0,32,11,227,0,0,0,0,0
13,-1,501,8072297.5,3468.97185217018,501,185615,471910,53268,338,107533,17,19731,163314,0,0,173002,2975,58601,0,0,0,0,5,10,0,0,37,0,0,60,10,221,0,0,0,0,0
13,1,501,8072297.5,3468.97185217018,501,185615,471910,578446,338,107533,17,19731,163314,0,0,173002,2975,58601,0,0,0,0,5,10,0,0,37,0,0,60,10,221,0,0,0,0,0
14,-1,515,8132727.5,3494.94091104426,515,185633,490899,59239,397,115622,755,22620,167435,0,0,181237,2985,59476,0,0,0,0,8,15,0,0,44,0,0,96,10,232,0,0,0,0,0
14,1,515,8132727.5,3494.94091104426,515,185633,490899,609377,397,115622,755,22620,167435,0,0,181237,2985,59476,0,0,0,0,8,15,0,0,44,0,0,96,10,232,0,0,0,0,0
15,-1,484,8310877.5,3571.49871078642,484,185511,461913,54717,399,105829,794,20918,162517,0,0,170573,2565,53431,0,0,0,0,3,13,0,0,36,0,0,120,8,222,0,0,0,0,0
15,1,484,8310877.5,3571.49871078642,484,185511,461913,571347,399,105829,794,20918,162517,0,0,170573,2565,53431,0,0,0,0,3,13,0,0,36,0,0,120,8,222,0,0,0,0,0
16,-1,504,8258817.5,3549.12655779974,504,185208,481361,57955,458,110221,1528,23197,178836,0,0,169118,3438,52974,0,0,0,0,4,12,0,0,37,0,0,159,13,237,0,0,0,0,0
16,1,504,8258817.5,3549.12655779974,504,185208,481361,597271,458,110221,1528,23197,178836,0,0,169118,3438,52974,0,0,0,0,4,12,0,0,37,0,0,159,13,237,0,0,0,0,0
17,-1,524,8291870,3563.33046841427,524,184992,490705,61937,498,118666,1075,24310,190966,0,0,163038,3042,51541,0,0,0,0,4,11,0,0,60,0,0,186,11,230,0,0,0,0,0
17,1,524,8291870,3563.33046841427,524,184992,490705,614579,498,118666,1075,24310,190966,0,0,163038,3042,51541,0,0,0,0,4,11,0,0,60,0,0,186,11,230,0,0,0,0,0
18,-1,539,8311622.5,3571.81886549205,539,185046,509627,61276,523,128917,1974,27195,199128,0,0,160258,3342,50088,0,0,0,0,1,10,0,0,78,0,0,190,13,232,0,0,0,0,0
18,1,539,8311622.5,3571.81886549205,539,185046,509627,632179,523,128917,1974,27195,199128,0,0,160258,3342,50088,0,0,0,0,1,10,0,0,78,0,0,190,13,232,0,0,0,0,0
19,-1,540,8191142.5,3520.04404813064,540,184748,507974,58364,554,138585,2089,27594,193812,0,0,156201,4429,43623,0,0,0,0,5,14,0,0,102,0,0,213,18,207,0,0,0,0,0
