Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 420, 1139, 54, 0, 0, 0, 
10, 423, 1178, 218, 0, 0, 0, 
10, 469, 1157, 560, 274, 1, 2, 
10, 482, 1251, 588, 561, 181, 3, 
10, 545, 854, 217, 15, 4, 3, 
10, 587, 964, 58, 58, 549, 5, 
10, 599, 1143, 983, 0, 0, 0, 
10, 621, 744, 55, 30, 1, 2, 
10, 641, 852, 59, 55, 10, 3, 
10, 683, 701, 631, 0, 0, 0, 
10, 711, 693, 348, 326, 5, 2, 
10, 723, 842, 224, 224, 821, 4, 
10, 767, 537, 403, 392, 27, 2, 
10, 779, 587, 66, 63, 21, 3, 
10, 810, 675, 957, 956, 201, 3, 
10, 837, 334, 2392, 2392, 13765, 4, 
10, 862, 383, 404, 401, 237, 3, 
10, 913, 533, 93, 0, 0, 0, 
10, 917, 382, 87, 87, 42, 3, 
10, 918, 331, 383, 379, 240, 3, 
20, 392, 1193, 146, 0, 0, 0, 
20, 457, 1055, 944, 940, 87, 2, 
20, 479, 1204, 10, 10, 47, 4, 
20, 486, 996, 654, 654, 790, 3, 
20, 509, 1235, 310, 310, 303, 3, 
20, 596, 896, 1275, 1275, 1439, 3, 
20, 612, 832, 223, 223, 205, 3, 
20, 703, 758, 294, 294, 359, 3, 
20, 711, 516, 173, 171, 145, 3, 
20, 728, 601, 103, 103, 433, 4, 
20, 728, 800, 248, 246, 220, 3, 
20, 733, 482, 4, 2, 1, 1, 
20, 733, 660, 278, 278, 160, 2, 
20, 757, 719, 106, 88, 3, 1, 
20, 769, 637, 814, 802, 136, 2, 
20, 833, 429, 412, 412, 470, 3, 
20, 1022, 399, 1222, 1222, 1587, 3, 
30, 374, 1205, 58, 53, 7, 2, 
30, 427, 1137, 278, 273, 41, 2, 
30, 493, 1260, 295, 295, 222, 3, 
30, 500, 1030, 399, 399, 746, 3, 
30, 505, 1248, 131, 0, 0, 0, 
30, 508, 1039, 110, 0, 0, 0, 
30, 530, 945, 29, 18, 3, 2, 
30, 534, 946, 371, 371, 616, 3, 
30, 554, 1199, 539, 534, 70, 2, 
30, 554, 1223, 110, 103, 11, 2, 
30, 560, 1139, 64, 64, 99, 3, 
30, 568, 853, 186, 186, 1589, 5, 
30, 579, 1068, 20, 0, 0, 0, 
30, 617, 1019, 308, 0, 0, 0, 
30, 710, 513, 301, 301, 3046, 5, 
30, 727, 663, 610, 595, 208, 2, 
30, 734, 725, 430, 430, 2112, 4, 
30, 742, 698, 539, 494, 65, 2, 
30, 761, 722, 301, 301, 158, 2, 
30, 805, 607, 83, 83, 120, 2.98, 
30, 849, 584, 633, 633, 127, 2, 
30, 854, 491, 159, 159, 314, 2.99, 
30, 857, 423, 61, 51, 5, 2, 
30, 865, 314, 274, 274, 579, 3, 
30, 869, 411, 188, 188, 19, 2, 
30, 896, 259, 89, 0, 0, 0, 
30, 941, 432, 639, 639, 1583, 3, 
30, 962, 541, 22, 20, 189, 5, 
40, 276, 1464, 28, 23, 4, 2, 
40, 345, 1406, 184, 145, 26, 2, 
40, 388, 1265, 827, 823, 161, 1.97, 
40, 489, 1013, 131, 131, 163, 3, 
40, 542, 1204, 1212, 1211, 1799, 3, 
40, 586, 1051, 276, 276, 475, 3, 
40, 613, 720, 214, 0, 0, 0, 
40, 625, 792, 324, 324, 476, 3, 
40, 672, 657, 83, 0, 0, 0, 
40, 686, 899, 466, 465, 821, 3, 
40, 689, 594, 247, 247, 477, 3, 
40, 736, 633, 110, 110, 296, 3, 
40, 740, 507, 722, 716, 95, 1, 
40, 747, 561, 77, 77, 132, 3, 
40, 753, 729, 332, 328, 552, 3, 
40, 753, 739, 94, 88, 130, 3, 
40, 770, 745, 154, 154, 258, 3, 
40, 783, 663, 321, 319, 104, 1, 
40, 806, 338, 503, 502, 117, 3, 
40, 812, 652, 1306, 1306, 2679, 3, 
40, 815, 339, 235, 0, 0, 0, 
40, 834, 538, 297, 276, 65, 1, 
40, 921, 237, 189, 26, 7, 1.81, 
40, 924, 558, 463, 463, 86, 2, 
40, 926, 416, 21, 0, 0, 0, 
40, 973, 310, 1454, 1454, 3040, 3, 
40, 985, 362, 1023, 1022, 423, 2, 
40, 1023, 409, 540, 360, 29, 2, 
50, 312, 1400, 27, 24, 16, 2, 
50, 335, 1312, 347, 340, 173, 2, 
50, 402, 1271, 169, 169, 1036, 5, 
50, 461, 1093, 63, 63, 71, 2, 
50, 507, 1106, 3190, 3189, 6405, 3, 
50, 529, 1143, 96, 0, 0, 0, 
50, 555, 1069, 157, 146, 650, 4, 
50, 605, 847, 558, 558, 1138, 3, 
50, 611, 747, 245, 230, 18, 1, 
50, 622, 894, 232, 0, 0, 0, 
50, 635, 1025, 567, 567, 1182, 3, 
50, 691, 553, 1369, 1367, 950, 2, 
50, 697, 860, 58, 55, 52, 2, 
50, 701, 574, 471, 1, 1, 3, 
50, 703, 542, 111, 1, 6, 4, 
50, 716, 597, 577, 576, 412, 2, 
50, 729, 728, 1464, 1464, 1253, 2, 
50, 777, 741, 244, 242, 108, 2, 
50, 816, 471, 12, 12, 12, 2, 
50, 837, 599, 57, 57, 168, 3, 
50, 844, 600, 229, 229, 544, 3, 
50, 915, 587, 317, 316, 219, 2, 
50, 943, 486, 660, 660, 1328, 3, 
50, 964, 483, 256, 254, 55, 1, 
50, 990, 360, 88, 88, 209, 3, 
60, 409, 1217, 28, 28, 26, 2, 
60, 448, 1051, 314, 312, 21, 1, 
60, 476, 1259, 336, 0, 0, 0, 
60, 508, 1242, 205, 204, 409, 3, 
60, 553, 1094, 159, 9, 6, 2, 
60, 585, 1027, 252, 244, 10, 1, 
60, 614, 1033, 169, 169, 390, 3, 
60, 663, 848, 8, 0, 0, 0, 
60, 677, 818, 304, 293, 26, 1, 
60, 677, 964, 370, 370, 1733, 4, 
60, 699, 829, 810, 810, 2516, 3, 
60, 717, 739, 261, 261, 643, 3, 
60, 750, 748, 24, 24, 24, 2, 
60, 777, 521, 630, 630, 1585, 3, 
60, 778, 740, 590, 590, 1168, 3, 
60, 820, 624, 36, 35, 36, 2, 
60, 895, 708, 64, 64, 61, 2, 
60, 896, 700, 320, 320, 870, 3, 
60, 967, 443, 56, 56, 265, 4, 
60, 1002, 401, 174, 103, 7, 1, 
70, 397, 1274, 640, 0, 0, 0, 
70, 402, 1148, 104, 104, 663, 5, 
70, 447, 1059, 228, 228, 1709, 4.99, 
70, 522, 1241, 457, 457, 1129, 3, 
70, 554, 1043, 547, 547, 804, 2, 
70, 576, 920, 337, 337, 537, 2, 
70, 586, 938, 402, 399, 561, 2, 
70, 639, 687, 74, 71, 40, 1, 
70, 657, 868, 373, 372, 258, 1, 
70, 694, 624, 610, 0, 0, 0, 
70, 708, 522, 725, 725, 5289, 5, 
70, 741, 575, 510, 510, 569, 2, 
70, 764, 409, 43, 13, 98, 5, 
70, 793, 482, 48, 48, 31, 1, 
70, 812, 449, 170, 170, 113, 1, 
70, 848, 401, 944, 943, 1359, 2, 
70, 849, 437, 78, 78, 82, 2, 
70, 887, 731, 109, 109, 282, 3, 
70, 959, 458, 232, 232, 558, 3, 
80, 374, 1237, 568, 567, 341, 1, 
80, 428, 1201, 567, 567, 1590, 3, 
80, 466, 1090, 252, 252, 391, 2, 
80, 527, 1237, 920, 914, 1607, 3, 
80, 555, 888, 469, 469, 1353, 3, 
80, 668, 633, 904, 904, 1608, 2, 
80, 688, 908, 127, 127, 898, 5, 
80, 689, 617, 289, 289, 513, 2, 
80, 713, 602, 2052, 2010, 620, 1, 
80, 738, 461, 67, 67, 186, 3, 
80, 745, 721, 554, 501, 608, 3, 
80, 746, 600, 621, 621, 1699, 3, 
80, 771, 400, 194, 194, 333, 2, 
80, 772, 393, 1023, 0, 0, 0, 
80, 795, 613, 64, 0, 0, 0, 
80, 828, 633, 561, 556, 212, 2, 
80, 832, 501, 465, 465, 4982, 5, 
80, 846, 565, 270, 270, 486, 2, 
80, 848, 348, 261, 241, 29, 1, 
80, 896, 426, 304, 304, 459, 2, 
80, 993, 440, 646, 646, 1344, 2, 
80, 1015, 447, 162, 162, 430, 3, 
90, 328, 1307, 937, 525, 375, 1, 
90, 353, 1354, 1434, 1434, 1026, 1, 
90, 387, 1245, 1838, 1838, 2444, 2, 
90, 402, 1322, 662, 662, 2077, 3, 
90, 424, 1252, 116, 116, 56, 2, 
90, 485, 1228, 184, 184, 316, 2, 
90, 491, 1223, 559, 0, 0, 0, 
90, 499, 1219, 1100, 1100, 833, 2, 
90, 557, 1107, 1301, 1301, 1930, 2, 
90, 570, 917, 498, 497, 525, 2, 
90, 575, 938, 159, 159, 334, 3, 
90, 616, 846, 573, 573, 650, 2, 
90, 665, 679, 814, 811, 596, 1, 
90, 675, 692, 100, 0, 0, 0, 
90, 688, 920, 125, 122, 71, 2, 
90, 725, 755, 310, 308, 234, 1, 
90, 771, 486, 52, 52, 122, 3, 
90, 782, 542, 284, 284, 303, 2, 
90, 808, 395, 132, 131, 256, 2, 
90, 821, 419, 530, 530, 342, 1, 
90, 837, 502, 148, 89, 82, 3, 
90, 841, 479, 394, 394, 1009, 3, 
90, 864, 608, 256, 256, 1292, 4, 
90, 885, 360, 539, 539, 952, 2, 
90, 885, 372, 123, 0, 0, 0, 
90, 885, 381, 248, 248, 755, 3, 
90, 898, 742, 94, 94, 145, 2, 
90, 904, 365, 224, 224, 736, 2.99, 
90, 920, 443, 915, 912, 606, 1, 
90, 988, 428, 791, 791, 2574, 3, 
100, 373, 1208, 196, 196, 290, 1.99, 
100, 416, 1133, 861, 861, 2162, 3, 
100, 513, 1000, 593, 593, 1833, 3, 
100, 542, 955, 111, 109, 55, 1.83, 
100, 554, 1043, 63, 63, 31, 2, 
100, 560, 1018, 480, 480, 756, 2, 
100, 563, 1052, 303, 303, 332, 2, 
100, 575, 887, 110, 110, 141, 2, 
100, 579, 958, 351, 351, 922, 3, 
100, 583, 1007, 100, 100, 162, 2, 
100, 620, 1130, 67, 66, 36, 1, 
100, 688, 933, 7, 7, 23, 3, 
100, 693, 803, 425, 425, 1954, 4, 
100, 765, 670, 1538, 1538, 4692, 3, 
100, 771, 561, 355, 354, 922, 3, 
100, 798, 593, 168, 168, 494, 3, 
100, 827, 598, 433, 433, 444, 1.97, 
100, 840, 342, 179, 179, 252, 3, 
100, 841, 397, 285, 285, 1579, 4, 
100, 896, 374, 404, 404, 263, 2, 
100, 1024, 361, 291, 291, 468, 2, 
110, 396, 1288, 198, 179, 243, 3, 
110, 481, 1036, 376, 376, 807, 2, 
110, 493, 1211, 215, 215, 537, 3, 
110, 518, 1008, 414, 360, 198, 1, 
110, 521, 975, 234, 234, 1012, 3, 
110, 539, 897, 76, 76, 385, 4, 
110, 558, 897, 346, 300, 121, 2, 
110, 579, 1104, 455, 455, 689, 2, 
110, 593, 962, 290, 290, 195, 1, 
110, 598, 780, 541, 541, 1192, 2, 
110, 715, 603, 181, 181, 544, 2.99, 
110, 731, 654, 210, 210, 472, 2, 
110, 736, 876, 15, 2, 7, 2, 
110, 745, 612, 671, 671, 1298, 3, 
110, 774, 399, 110, 110, 152, 2, 
110, 788, 639, 720, 720, 1825, 3, 
110, 830, 624, 10, 10, 10, 2, 
110, 831, 610, 463, 463, 853, 2.98, 
110, 854, 469, 386, 386, 2196, 5, 
110, 881, 379, 132, 132, 249, 3, 
110, 895, 382, 566, 566, 1098, 3, 
110, 926, 558, 268, 268, 986, 3, 
110, 930, 520, 986, 986, 3532, 3, 
110, 985, 391, 90, 90, 383, 3, 
120, 370, 1287, 670, 669, 887, 2, 
120, 468, 1108, 628, 628, 1713, 3, 
120, 572, 902, 217, 217, 1188, 4, 
120, 618, 714, 478, 478, 799, 2, 
120, 633, 905, 1358, 1358, 3585, 3, 
120, 649, 662, 286, 286, 998, 3, 
120, 671, 621, 1428, 1427, 1358, 2, 
120, 729, 703, 219, 219, 707, 3, 
120, 731, 798, 125, 0, 0, 0, 
120, 766, 552, 660, 659, 3181, 4, 
120, 773, 512, 45, 45, 271, 4.93, 
120, 796, 637, 416, 415, 47, 1, 
120, 797, 611, 1398, 1396, 1604, 2, 
120, 827, 640, 171, 170, 221, 2, 
120, 849, 329, 363, 363, 1219, 3, 
120, 884, 758, 159, 159, 314, 2, 
120, 885, 518, 176, 176, 960, 4, 
120, 922, 432, 351, 0, 0, 0, 
120, 927, 621, 97, 0, 0, 0, 
120, 933, 431, 665, 664, 1189, 2, 
120, 963, 534, 53, 53, 28, 1, 
130, 277, 1445, 787, 787, 1390, 2, 
130, 442, 1183, 551, 551, 2473, 5, 
130, 510, 1201, 174, 174, 877, 4.95, 
130, 542, 1147, 1720, 1720, 5844, 3, 
130, 554, 891, 51, 51, 98, 3, 
130, 570, 835, 1401, 1318, 1539, 2, 
130, 644, 712, 379, 379, 520, 1.99, 
130, 738, 635, 57, 57, 319, 4, 
130, 755, 426, 235, 234, 372, 2, 
130, 813, 486, 309, 0, 0, 0, 
130, 818, 611, 250, 250, 134, 2, 
130, 831, 323, 399, 396, 313, 1.99, 
130, 845, 609, 872, 826, 2075, 3, 
130, 887, 585, 281, 281, 428, 2, 
130, 897, 547, 469, 469, 1708, 3, 
130, 919, 339, 179, 179, 326, 2, 
