Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10588.33, 1.0, 469.7, 0.0
0, eco3, 43338, 9796.99, 1.3, 455.6, 0.0
0, eco1, 93059, 9317.28, 0.5, 537.3, 0.0
1, eco2, 51531, 10688.52, 416.9, 471.4, 0.0
1, eco3, 43338, 9939.50, 454.0, 459.9, 0.0
1, eco1, 93059, 9413.42, 391.8, 540.4, 0.0
2, eco2, 51531, 10711.50, 415.2, 472.2, 0.0
2, eco3, 43338, 10029.90, 455.1, 463.3, 0.0
2, eco1, 93059, 9445.50, 390.7, 542.6, 0.0
3, eco2, 51531, 10733.87, 413.7, 472.6, 0.0
3, eco3, 43338, 10111.18, 456.0, 466.1, 0.0
3, eco1, 93059, 9475.38, 389.7, 544.2, 0.0
4, eco2, 51531, 10713.86, 413.3, 472.9, 0.0
4, eco3, 43338, 10151.34, 458.6, 469.1, 0.0
4, eco1, 93059, 9480.01, 389.6, 545.5, 0.0
5, eco2, 51531, 10700.26, 411.9, 472.9, 0.0
5, eco3, 43338, 10204.65, 459.8, 471.9, 0.0
5, eco1, 93059, 9486.74, 388.5, 546.5, 0.0
6, eco2, 51531, 10687.62, 411.1, 472.9, 0.0
6, eco3, 43338, 10257.75, 461.7, 474.7, 0.0
6, eco1, 93059, 9495.18, 387.6, 547.1, 0.0
7, eco2, 51531, 10671.45, 409.9, 472.8, 0.0
7, eco3, 43338, 10305.88, 463.0, 477.3, 0.0
7, eco1, 93059, 9498.19, 386.5, 547.6, 0.0
8, eco2, 51531, 10647.78, 408.6, 472.7, 0.0
8, eco3, 43338, 10346.79, 464.5, 480.0, 0.0
8, eco1, 93059, 9493.41, 385.3, 547.8, 0.0
9, eco2, 51531, 10621.29, 407.5, 472.6, 0.0
9, eco3, 43338, 10378.45, 466.0, 482.7, 0.0
9, eco1, 93059, 9478.24, 384.2, 547.8, 0.0
10, eco2, 51531, 10272.15, 393.5, 481.7, 0.0
10, eco3, 43338, 10336.96, 463.7, 487.1, 0.0
10, eco1, 93059, 9425.83, 380.9, 548.8, 0.0
11, eco2, 51531, 10238.70, 393.3, 476.2, 0.0
11, eco3, 43338, 10363.98, 465.0, 488.3, 0.0
11, eco1, 93059, 9414.03, 379.6, 547.8, 0.0
12, eco2, 51531, 10181.12, 392.9, 472.1, 0.0
12, eco3, 43338, 10379.51, 466.3, 490.0, 0.0
12, eco1, 93059, 9393.99, 378.0, 546.9, 0.0
13, eco2, 51531, 10143.35, 390.8, 468.8, 0.0
13, eco3, 43338, 10397.29, 466.4, 491.6, 0.0
13, eco1, 93059, 9373.81, 376.3, 545.9, 0.0
14, eco2, 51531, 10098.24, 389.2, 466.0, 0.0
14, eco3, 43338, 10409.36, 466.9, 493.2, 0.0
14, eco1, 93059, 9352.76, 374.4, 544.9, 0.0
15, eco2, 51531, 10068.46, 387.4, 463.8, 0.0
15, eco3, 43338, 10436.24, 467.2, 494.9, 0.0
15, eco1, 93059, 9338.89, 373.0, 543.9, 0.0
16, eco2, 51531, 10030.96, 385.5, 461.8, 0.0
16, eco3, 43338, 10454.08, 467.4, 496.6, 0.0
16, eco1, 93059, 9322.10, 370.9, 542.9, 0.0
17, eco2, 51531, 9994.96, 384.3, 460.4, 0.0
17, eco3, 43338, 10467.42, 467.9, 498.3, 0.0
17, eco1, 93059, 9301.11, 368.7, 541.7, 0.0
18, eco2, 51531, 9948.48, 382.5, 459.0, 0.0
18, eco3, 43338, 10477.13, 468.4, 500.0, 0.0
18, eco1, 93059, 9274.25, 367.6, 540.7, 0.0
19, eco2, 51531, 9891.83, 381.2, 458.0, 0.0
19, eco3, 43338, 10476.23, 469.1, 501.9, 0.0
19, eco1, 93059, 9240.62, 366.6, 539.8, 0.0
20, eco2, 51531, 9672.74, 356.0, 452.9, 0.0
20, eco3, 43338, 10366.37, 462.7, 504.1, 0.0
20, eco1, 93059, 9056.89, 336.0, 532.6, 0.0
21, eco2, 51531, 9555.19, 355.5, 446.3, 0.0
21, eco3, 43338, 10340.85, 462.1, 503.6, 0.0
21, eco1, 93059, 8964.60, 334.9, 524.3, 0.0
22, eco2, 51531, 9448.50, 354.7, 441.2, 0.0
22, eco3, 43338, 10318.04, 462.3, 503.5, 0.0
22, eco1, 93059, 8874.72, 334.8, 518.0, 0.0
23, eco2, 51531, 9343.41, 353.8, 437.4, 0.0
23, eco3, 43338, 10295.22, 462.2, 503.8, 0.0
23, eco1, 93059, 8789.57, 334.1, 513.0, 0.0
24, eco2, 51531, 9242.99, 351.9, 434.2, 0.0
24, eco3, 43338, 10271.74, 461.8, 504.2, 0.0
24, eco1, 93059, 8706.20, 333.0, 509.0, 0.0
25, eco2, 51531, 9152.01, 350.1, 431.6, 0.0
25, eco3, 43338, 10252.35, 461.2, 504.6, 0.0
25, eco1, 93059, 8628.77, 331.5, 505.6, 0.0
26, eco2, 51531, 9082.83, 348.0, 429.2, 0.0
26, eco3, 43338, 10230.87, 460.4, 505.0, 0.0
26, eco1, 93059, 8556.22, 329.8, 502.6, 0.0
27, eco2, 51531, 9018.27, 345.7, 426.9, 0.0
27, eco3, 43338, 10212.42, 459.4, 505.3, 0.0
27, eco1, 93059, 8493.66, 327.4, 499.7, 0.0
28, eco2, 51531, 8959.05, 343.2, 424.8, 0.0
28, eco3, 43338, 10206.72, 457.7, 505.4, 0.0
28, eco1, 93059, 8422.69, 324.6, 496.9, 0.0
29, eco2, 51531, 8893.31, 340.6, 422.6, 0.0
29, eco3, 43338, 10181.33, 454.6, 504.9, 0.0
29, eco1, 93059, 8348.34, 321.9, 494.0, 0.0
30, eco2, 51531, 8703.01, 333.6, 423.5, 0.0
30, eco3, 43338, 10112.41, 450.4, 505.0, 0.0
30, eco1, 93059, 8198.86, 316.1, 493.2, 0.0
31, eco2, 51531, 8653.03, 331.3, 419.5, 0.0
31, eco3, 43338, 10089.14, 448.2, 503.4, 0.0
31, eco1, 93059, 8132.41, 313.3, 489.1, 0.0
32, eco2, 51531, 8600.26, 328.4, 415.9, 0.0
32, eco3, 43338, 10064.42, 445.8, 501.8, 0.0
32, eco1, 93059, 8073.73, 310.0, 485.1, 0.0
33, eco2, 51531, 8554.56, 325.6, 412.6, 0.0
33, eco3, 43338, 10068.51, 442.8, 500.2, 0.0
33, eco1, 93059, 8014.58, 306.5, 481.1, 0.0
34, eco2, 51531, 8506.19, 322.3, 409.4, 0.0
34, eco3, 43338, 10042.37, 438.2, 498.0, 0.0
34, eco1, 93059, 7957.34, 303.0, 477.2, 0.0
35, eco2, 51531, 8459.81, 318.9, 406.3, 0.0
35, eco3, 43338, 10013.78, 434.7, 495.7, 0.0
35, eco1, 93059, 7903.83, 299.1, 473.1, 0.0
36, eco2, 51531, 8413.94, 315.5, 403.2, 0.0
36, eco3, 43338, 9984.98, 431.0, 493.3, 0.0
36, eco1, 93059, 7850.49, 295.0, 469.0, 0.0
37, eco2, 51531, 8373.96, 311.7, 400.1, 0.0
37, eco3, 43338, 9956.62, 427.1, 490.9, 0.0
37, eco1, 93059, 7798.82, 290.7, 464.7, 0.0
38, eco2, 51531, 8336.39, 307.9, 397.0, 0.0
38, eco3, 43338, 9926.64, 422.8, 488.3, 0.0
38, eco1, 93059, 7747.65, 286.2, 460.3, 0.0
39, eco2, 51531, 8297.65, 303.7, 393.7, 0.0
39, eco3, 43338, 9894.23, 418.4, 485.5, 0.0
39, eco1, 93059, 7697.87, 281.5, 455.7, 0.0
40, eco2, 51531, 8154.78, 296.2, 392.9, 0.0
40, eco3, 43338, 9722.77, 403.0, 482.5, 0.0
40, eco1, 93059, 7519.46, 272.4, 453.3, 0.0
41, eco2, 51531, 8150.74, 292.0, 388.0, 0.0
