Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,915.8536627,28.80813248,95.76557883,1501.936105,2960.778237,6.174899795,2726.577537,420.1759207,45.8452702,15.87664815,707.9633673,0.029529653,0.001128316,0.04627172, ,85228426,2680856,8911849,139768672,275527062,574630,253732579,39101151,4266315,1477465,65882363,2748,105,4306,,983.7231227,57.79483632,256.8059576,1193.667761,2798.537615,3.20807969,2373.873984,531.1836022,83.80280214,22.7232025,1562.609164,0.057553957,0.001037631,0.024562598
20, eco1,93059,891.0035246,22.86446233,97.75323182,1350.979013,3247.397565,6.174899795,2317.17995,303.3768684,20.67973006,15.96390462,783.4538626,0.016086569,0.027616888,0.022448124, ,82915897,2127744,9096818,125720756,302199570,574630,215634449,28231948,1924435,1485585,72907433,1497,2570,2089,,955.5359606,43.08202077,257.9777202,1056.838944,3079.991087,3.20807969,2026.24975,362.3555191,35.89724256,22.783731,1683.772493,0.022678898,0.014154357,0.011967349
30, eco1,93059,697.93877,13.88098948,86.87950655,1110.823671,3454.805586,6.175834686,1801.083076,172.2298434,6.930936288,16.15134485,831.9506872,0.009391891,0.000257901,0.001880527, ,64949484,1291751,8084920,103372140,321500753,574717,167606990,16027537,644986,1503028,77420499,874,24,175,,776.6282619,23.95317356,231.4675887,862.6001022,3300.13619,3.211453323,1578.252623,203.1731301,12.14888681,22.88421097,1763.922183,0.004906134,0.00022349,0.000952492
40, eco1,93059,542.4997905,11.60489582,78.13034741,835.6593881,3656.085247,6.112810153,1389.60596,84.1573303,5.243823811,16.5778807,893.7854372,0.000333122,8.60E-05,4.30E-05, ,50484488,1079940,7270732,77765627,340231637,568852,129315341,7831597,487985,1542721,83174779,31,8,4,,615.595345,18.56020391,212.0569739,641.9667426,3508.479599,3.180393555,1233.16783,113.9352944,8.560432719,23.82562471,1822.444447,0.000212847,0.002490315,2.12847E-05
50, eco1,93059,409.2248359,11.48034043,79.77225201,702.0057813,3848.555411,6.024049259,791.2195919,53.31819598,2.980807875,19.08671918,973.3510569,1.07E-05,0,4.30E-05, ,38082054,1068349,7423526,65327956,358142718,560592,73630104,4961738,277391,1776191,90579076,1,0,4,,480.6408837,18.06274744,221.6448055,545.7630156,3752.360324,3.135583841,719.6983153,74.39153293,6.598207824,27.28713124,1873.584782,5.32119E-06,0,2.12847E-05
60, eco1,93059,311.5129434,10.48561665,80.20188268,535.8088632,4009.733116,5.830054052,325.1563524,38.56800524,1.805897334,23.06287409,1058.199454,2.15E-05,0,0.001676356, ,28989083,975781,7463507,49861837,373141754,542539,30258725,3589100,168055,2146208,98474983,2,0,156,,373.6598857,16.11358073,226.6824422,413.5751671,3929.106009,3.037280235,291.431346,56.15779447,3.810368865,30.92384317,1879.612352,1.06424E-05,0,0.000830105
70, eco1,93059,187.8508581,9.736876605,68.64440839,266.829001,3888.408977,5.499478825,131.4650061,23.0753393,0.650823671,23.65475666,1012.021975,0,0,5.37E-05, ,17481213,906104,6387980,24830840,361851451,511776,12234002,2147368,60565,2201288,94177753,0,0,5,,239.9388489,15.15125474,205.7734824,210.8362245,3826.049295,2.873786769,122.0641309,35.88606275,2.007013324,32.76023796,1690.258455,0,0,0.001649568
80, eco1,93059,120.333036,8.504733556,61.03545063,81.62776303,3679.500274,4.948204902,71.13138976,15.96535531,0.355097304,24.80885245,979.4837039,0,0,0.001579643, ,11198072,791442,5679898,7596198,342410616,460475,6619416,1485720,33045,2308687,91149774,0,0,147,,161.9131636,12.55353646,189.2529852,72.88022541,3619.208005,2.606455664,74.78713656,25.06726512,1.209979354,36.10925993,1546.938854,0,0,0.000782214
90, eco1,93059,67.7398747,7.701458215,55.34741401,16.11888157,3399.52586,4.305408397,28.04290826,7.354151667,0.176286012,23.51329802,933.2793604,0,0,1.07E-05, ,6303805,716690,5150575,1500007,316356477,400657,2609645,684370,16405,2188124,86850044,0,0,1,,100.1111011,11.06251862,178.9448831,19.36014325,3328.777734,2.301583585,41.65329807,11.57094738,0.667798306,36.28252309,1397.601459,0,0,5.32119E-06
100, eco1,93059,45.81053955,7.221515383,48.11011294,7.451444782,3101.267486,3.658474731,19.2822403,4.823305645,0.087643323,23.6986213,904.5149959,0,0,0, ,4263083,672027,4477079,693424,288600851,340454,1794386,448852,8156,2205370,84173261,0,0,0,,72.02304606,10.15171768,166.3041218,10.74985633,3038.549514,1.995753693,37.61014325,6.964970627,0.438678643,38.37222234,1276.173588,0,0,0
110, eco1,93059,10.77559398,5.996367896,37.56900461,3.631631546,2764.026897,2.768727367,15.8396931,1.348241438,0.035407645,21.91222773,894.6761517,0,0,0, ,1002766,558016,3496134,337956,257217579,257655,1474026,125466,3295,2039130,83257668,0,0,0,,20.95762739,7.890388872,124.8195905,6.73574454,2714.427994,1.542659955,34.60589694,1.913700992,0.219898046,35.0621355,1203.550003,0,0,0
120, eco1,93059,1.612718813,4.90165379,33.18865451,1.76908198,2467.128531,2.013002504,14.56321259,0.836394116,0.009144736,20.9777453,887.3171966,0,0,0, ,150078,456143,3088503,164629,229588514,187328,1355238,77834,851,1952168,82572851,0,0,0,,3.655314801,6.308320208,101.0726076,3.685193266,2451.326982,1.160119833,35.12090801,0.977161466,0.124430633,32.83119067,1160.037876,0,0,0
130, eco1,93059,0.660419734,3.238450875,29.99835588,1.562632309,2242.125888,1.385798257,14.85430748,0.498221558,0.006834374,20.502939,872.7345662,0,0,0, ,61458,301367,2791617,145417,208649993,128961,1382327,46364,636,1907983,81215806,0,0,0,,0.801796433,3.96354987,86.86207484,2.824177345,2274.802116,0.839555574,36.3150994,0.541526542,0.078471542,32.11905623,1122.86896,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1174.709651,147.1793095,695.3196134,1020.357513,2829.925191,0.00304671,2186.620927,657.1676467,110.9029516,39.35986105,1410.498224,0.103607537,0.001668898,0, ,60533963,7584297,35830515,52580043,145828875,157,112678763,33864506,5714940,2028253,72684384,5339,86,0,,,,,,,,,,,,,,,
20, eco2,51531,1101.316606,107.32495,692.6474549,889.4959151,3124.18484,0.00304671,1811.611632,420.1632804,48.99984475,39.36244203,1437.580699,0.049872892,0.001668898,0, ,56751946,5530562,35692816,45836614,160992369,157,93354159,21651434,2525011,2028386,74079971,2570,86,0,,,,,,,,,,,,,,,
30, eco2,51531,892.0958258,58.71296889,625.3282878,724.1371408,3359.908657,0.00304671,1310.456308,233.8983136,20.10300596,39.24115581,1439.122722,0.000194058,0.000329899,0, ,45970590,3025538,32223792,37315511,173139453,157,67529124,12053014,1035928,2022136,74159433,10,17,0,,,,,,,,,,,,,,,
40, eco2,51531,711.4083561,44.28177214,577.5227339,536.297258,3595.329472,0.00304671,1015.009858,147.3522346,17.10156993,41.57881663,1468.887737,0,0.008926666,0, ,36659584,2281884,29760324,27635934,185270923,157,52304473,7593208,881261,2142598,75693254,0,460,0,,,,,,,,,,,,,,,
50, eco2,51531,576.0406745,42.23630436,601.6527721,467.1428072,3902.297394,0.00304671,588.0186296,110.7220314,14.54900933,48.16302808,1565.848344,0,0,0, ,29683952,2176479,31003769,24072336,201089287,157,30301188,5705617,749725,2481889,80689731,0,0,0,,,,,,,,,,,,,,,
60, eco2,51531,459.9258311,37.16667637,616.193728,349.0791562,4073.986882,0.00304671,206.2064388,88.21171722,8.345461955,52.32132115,1632.414585,0,0,0, ,23700438,1915236,31753079,17988398,209936618,157,10626024,4545638,430050,2696170,84119956,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,300.8790049,34.92724768,560.1550911,177.3437931,3940.669383,0.00304671,65.89088122,57.15216084,4.510488832,54.45133997,1518.94384,0,0,0, ,15504596,1799836,28865352,9138703,203066634,157,3395423,2945108,232430,2805932,78272695,0,0,0,,,,,,,,,,,,,,,
80, eco2,51531,201.1725757,28.13485087,514.2716617,60.39056102,3664.915643,0.002969087,40.33795191,39.84258019,2.756767771,58.54157691,1442.560769,0,0,0, ,10366624,1449817,26500933,3111986,188856768,153,2078655,2053128,142059,3016706,74336599,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,124.8505366,24.53835555,488.5385108,15.97242437,3313.020609,0.002949681,26.60365605,18.47402534,1.452038579,58.24344569,1369.030195,0,0,0, ,6433673,1264486,25174878,823075,170723265,152,1370913,951985,74825,3001343,70547495,0,0,0,,,,,,,,,,,,,,,
