Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 322, 1211, 179, 0, 0, 0, 
10, 327, 1391, 602, 0, 0, 0, 
10, 399, 1171, 252, 252, 56, 3, 
10, 449, 1136, 45, 45, 432, 5, 
10, 499, 1098, 134, 133, 35, 3, 
10, 527, 1072, 370, 0, 0, 0, 
10, 559, 873, 103, 0, 0, 0, 
10, 677, 845, 164, 157, 4, 2, 
10, 681, 757, 151, 0, 0, 0, 
10, 692, 937, 338, 243, 3, 2, 
10, 736, 750, 416, 333, 6, 2, 
10, 749, 795, 398, 0, 0, 0, 
10, 756, 776, 39, 39, 7, 3, 
10, 782, 633, 100, 0, 0, 0, 
10, 786, 583, 231, 231, 1210, 4, 
10, 787, 705, 775, 770, 202, 3, 
10, 808, 565, 163, 163, 2239, 5, 
10, 819, 487, 893, 893, 5104, 4, 
10, 830, 516, 451, 451, 269, 3, 
10, 843, 331, 202, 202, 118, 3, 
10, 943, 583, 467, 453, 128, 3, 
10, 944, 336, 447, 445, 152, 3, 
10, 998, 335, 88, 84, 6, 3, 
20, 353, 1293, 647, 647, 679, 3, 
20, 356, 1182, 16, 16, 18, 3, 
20, 397, 1226, 553, 546, 39, 2, 
20, 459, 1178, 458, 412, 19, 2, 
20, 480, 1107, 511, 0, 0, 0, 
20, 507, 1077, 342, 0, 0, 0, 
20, 548, 1235, 1250, 1250, 1099, 3, 
20, 554, 1144, 133, 0, 0, 0, 
20, 562, 883, 111, 111, 128, 3, 
20, 564, 1135, 465, 423, 20, 2, 
20, 630, 741, 274, 274, 296, 3, 
20, 657, 757, 125, 113, 17, 2, 
20, 684, 637, 579, 579, 759, 3, 
20, 687, 763, 67, 67, 85, 3, 
20, 781, 405, 98, 89, 8, 2, 
20, 850, 348, 513, 513, 746, 3, 
20, 861, 476, 791, 791, 884, 3, 
20, 882, 512, 6, 3, 1, 2, 
20, 885, 521, 87, 87, 7, 2, 
20, 893, 597, 27, 27, 258, 5, 
20, 894, 540, 261, 261, 1015, 4, 
20, 936, 350, 366, 0, 0, 0, 
20, 966, 326, 134, 133, 244, 3, 
20, 992, 470, 670, 670, 3464, 4, 
30, 291, 1438, 347, 0, 0, 0, 
30, 540, 1199, 276, 275, 30, 2, 
30, 576, 836, 690, 0, 0, 0, 
30, 595, 989, 620, 619, 117, 2, 
30, 641, 969, 276, 51, 90, 3, 
30, 656, 855, 233, 224, 33, 2, 
30, 692, 890, 477, 477, 71, 2, 
30, 697, 783, 189, 0, 0, 0, 
30, 707, 562, 565, 565, 1017, 3, 
30, 759, 770, 1100, 1100, 3939, 4, 
30, 784, 723, 128, 0, 0, 0, 
30, 822, 615, 438, 237, 3, 1, 
30, 850, 442, 146, 144, 225, 3, 
30, 854, 325, 214, 213, 90, 2, 
30, 904, 596, 327, 327, 411, 3, 
30, 930, 412, 537, 527, 62, 1, 
30, 936, 305, 149, 74, 18, 2, 
30, 950, 488, 70, 70, 333, 4, 
30, 962, 475, 515, 515, 1088, 3, 
40, 370, 1222, 460, 459, 84, 2, 
40, 370, 1276, 731, 731, 857, 3, 
40, 434, 1259, 210, 210, 635, 4, 
40, 491, 1178, 324, 322, 57, 1.99, 
40, 493, 1233, 386, 382, 21, 1, 
40, 588, 943, 299, 299, 884, 4, 
40, 596, 887, 126, 126, 237, 3, 
40, 601, 978, 101, 94, 6, 2, 
40, 605, 973, 42, 35, 6, 2, 
40, 611, 868, 39, 37, 6, 2, 
40, 624, 1043, 324, 324, 536, 3, 
40, 631, 737, 108, 99, 7, 2, 
40, 685, 894, 654, 654, 1067, 3, 
40, 701, 794, 357, 357, 2313, 5, 
40, 729, 643, 367, 367, 224, 1.95, 
40, 777, 573, 91, 89, 35, 1.93, 
40, 790, 695, 544, 541, 132, 2, 
40, 836, 446, 195, 194, 59, 2, 
40, 870, 424, 282, 281, 34, 1, 
40, 919, 384, 1145, 1144, 2546, 3, 
40, 974, 378, 266, 266, 531, 3, 
40, 1005, 429, 73, 73, 120, 3, 
40, 1007, 452, 1136, 1135, 1335, 3, 
50, 363, 1227, 212, 212, 363, 3, 
50, 387, 1245, 513, 1, 4, 4, 
50, 433, 1195, 58, 58, 95, 3, 
50, 472, 1021, 528, 528, 1045, 3, 
50, 490, 1240, 520, 519, 324, 2, 
50, 672, 727, 341, 339, 282, 2, 
50, 746, 441, 22, 2, 4, 3, 
50, 775, 494, 118, 118, 238, 2.98, 
50, 778, 604, 31, 0, 0, 0, 
50, 785, 514, 150, 150, 1160, 5, 
50, 812, 689, 802, 800, 404, 2, 
50, 816, 429, 155, 152, 17, 1, 
50, 826, 616, 701, 701, 1357, 2.99, 
50, 833, 644, 528, 526, 306, 2, 
50, 834, 523, 67, 0, 0, 0, 
50, 857, 561, 435, 435, 2037, 4, 
50, 873, 557, 177, 0, 0, 0, 
50, 901, 376, 1399, 1399, 1841, 3, 
50, 909, 361, 355, 0, 0, 0, 
50, 915, 598, 4, 4, 7, 3, 
50, 922, 326, 219, 219, 1103, 4, 
50, 1018, 376, 23, 0, 0, 0, 
60, 382, 1254, 168, 168, 429, 3, 
60, 414, 1094, 77, 77, 90, 2, 
60, 443, 1055, 782, 782, 1689, 3, 
60, 484, 1036, 154, 153, 131, 2, 
60, 532, 1001, 521, 521, 1282, 3, 
60, 533, 1221, 627, 595, 192, 2, 
60, 537, 1192, 330, 330, 255, 2, 
60, 601, 840, 444, 431, 39, 1, 
60, 608, 790, 296, 296, 661, 3, 
60, 625, 1095, 382, 382, 790, 3, 
60, 628, 698, 753, 753, 1965, 3, 
60, 634, 1079, 660, 657, 428, 2, 
60, 675, 850, 53, 0, 0, 0, 
60, 701, 753, 111, 111, 105, 2, 
60, 723, 818, 160, 159, 135, 2, 
60, 751, 708, 331, 331, 337, 2, 
60, 753, 735, 82, 82, 165, 3, 
