Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,498,8066265,3466.3794585303,498,185727,480123,79081,283,92438,1114,15379,145279,0,0,204457,0,96067,0,0,0,0,4470,13,0,0,0,0,0,9,0,209,0,0,0,0,52
1,1,498,8066265,3466.3794585303,498,185727,480123,638285,283,92438,1114,15379,145279,0,0,204457,0,96067,0,0,0,0,4470,13,0,0,0,0,0,9,0,209,0,0,0,0,52
2,-1,565,7972292.5,3425.99591749033,565,184508,535527,75119,235,90485,3037,16736,168910,0,0,235942,0,95533,0,0,0,0,3,7,0,0,1,0,0,11,0,216,0,0,0,0,0
2,1,565,7972292.5,3425.99591749033,565,184508,535527,685765,235,90485,3037,16736,168910,0,0,235942,0,95533,0,0,0,0,3,7,0,0,1,0,0,11,0,216,0,0,0,0,0
3,-1,653,8348435,3587.63859045982,653,187655,631303,72670,233,104986,3123,22413,218646,0,0,261615,20,92906,0,0,0,0,264,18,0,0,0,0,0,6,0,206,0,0,0,0,3
3,1,653,8348435,3587.63859045982,653,187655,631303,776643,233,104986,3123,22413,218646,0,0,261615,20,92906,0,0,0,0,264,18,0,0,0,0,0,6,0,206,0,0,0,0,3
4,-1,699,8430352.5,3622.84164159862,699,187750,663033,80637,272,107562,2037,31747,200336,0,0,300024,2005,99959,0,0,0,0,0,16,0,0,3,0,0,10,5,238,0,0,0,0,0
4,1,699,8430352.5,3622.84164159862,699,187750,663033,824307,272,107562,2037,31747,200336,0,0,300024,2005,99959,0,0,0,0,0,16,0,0,3,0,0,10,5,238,0,0,0,0,0
5,-1,787,7964607.5,3422.69338203696,787,187803,742258,87335,327,117260,2444,39847,230415,0,0,333633,6210,99750,0,0,0,0,34,27,0,0,26,0,0,13,14,247,0,0,0,0,0
5,1,787,7964607.5,3422.69338203696,787,187803,742258,916928,327,117260,2444,39847,230415,0,0,333633,6210,99750,0,0,0,0,34,27,0,0,26,0,0,13,14,247,0,0,0,0,0
6,-1,858,7824195,3362.35281478298,858,187889,798770,127132,512,129264,1708,40626,267998,0,0,343904,21079,121312,0,0,3,0,8,46,2,0,55,0,0,18,48,343,0,0,0,0,0
6,1,858,7824195,3362.35281478298,858,187889,798770,1053034,512,129264,1708,40626,267998,0,0,343904,21079,121312,0,0,3,0,8,46,2,0,55,0,0,18,48,343,0,0,0,0,0
7,-1,977,7933110,3409.15771379459,977,187849,903262,139711,592,147068,1445,42245,339871,0,0,367751,20825,123733,0,0,2,0,33,41,2,0,102,0,0,39,51,357,0,0,0,0,0
7,1,977,7933110,3409.15771379459,977,187849,903262,1182684,592,147068,1445,42245,339871,0,0,367751,20825,123733,0,0,2,0,33,41,2,0,102,0,0,39,51,357,0,0,0,0,0
8,-1,1130,7713302.5,3314.69810915342,1130,187849,1028117,220203,1035,216861,4682,44929,365739,0,0,427602,38644,149570,0,0,139,0,154,89,14,0,152,0,0,194,96,485,0,0,4,0,1
8,1,1130,7713302.5,3314.69810915342,1130,187849,1028117,1468523,1035,216861,4682,44929,365739,0,0,427602,38644,149570,0,0,139,0,154,89,14,0,152,0,0,194,96,485,0,0,4,0,1
9,-1,1190,7385135,3173.67211001289,1190,187868,1087621,272847,1379,273922,13088,53919,420767,0,0,408742,39609,150388,0,0,0,0,33,152,46,0,247,0,0,306,102,526,0,0,0,0,0
9,1,1190,7385135,3173.67211001289,1190,187868,1087621,1633315,1379,273922,13088,53919,420767,0,0,408742,39609,150388,0,0,0,0,33,152,46,0,247,0,0,306,102,526,0,0,0,0,0
10,-1,1334,6961240,2991.50837988827,1334,187760,1237079,388183,2178,337925,46863,59634,509830,0,0,449208,39931,181826,0,0,1,0,44,243,191,2,348,0,0,582,109,702,0,0,0,0,1
10,1,1334,6961240,2991.50837988827,1334,187760,1237079,2013445,2178,337925,46863,59634,509830,0,0,449208,39931,181826,0,0,1,0,44,243,191,2,348,0,0,582,109,702,0,0,0,0,1
11,-1,1443,6534595,2808.1628706489,1443,187924,1355455,474087,2880,431035,56078,78544,617940,0,0,430540,24247,191150,0,0,3,0,5,461,246,11,503,0,0,805,66,788,0,0,0,0,0
11,1,1443,6534595,2808.1628706489,1443,187924,1355455,2303629,2880,431035,56078,78544,617940,0,0,430540,24247,191150,0,0,3,0,5,461,246,11,503,0,0,805,66,788,0,0,0,0,0
12,-1,1544,6194635,2662.06918779544,1544,187925,1441335,549342,3503,483714,64752,106398,721079,0,0,392697,24623,197410,0,0,2,0,2,599,272,45,717,0,0,922,77,871,0,0,0,0,0
12,1,1544,6194635,2662.06918779544,1544,187925,1441335,2540019,3503,483714,64752,106398,721079,0,0,392697,24623,197410,0,0,2,0,2,599,272,45,717,0,0,922,77,871,0,0,0,0,0
13,-1,1561,5926317.5,2546.76299957026,1561,187925,1455079,595364,3996,530497,62457,116233,743014,0,0,371641,36363,190238,0,0,0,0,0,797,261,73,843,0,0,1006,110,906,0,0,0,0,0
13,1,1561,5926317.5,2546.76299957026,1561,187925,1455079,2645807,3996,530497,62457,116233,743014,0,0,371641,36363,190238,0,0,0,0,0,797,261,73,843,0,0,1006,110,906,0,0,0,0,0
14,-1,1627,5503047.5,2364.86785560808,1627,187926,1516855,700407,4807,592132,65817,147147,773424,0,0,357942,95240,185560,0,0,0,0,0,1031,300,157,1091,0,0,1038,298,892,0,0,0,0,0
14,1,1627,5503047.5,2364.86785560808,1627,187926,1516855,2917669,4807,592132,65817,147147,773424,0,0,357942,95240,185560,0,0,0,0,0,1031,300,157,1091,0,0,1038,298,892,0,0,0,0,0
15,-1,1676,5085320,2185.35453373442,1676,187923,1547756,886798,6111,691576,65375,177177,747439,0,0,347627,222538,182822,0,0,0,0,0,1493,318,224,1325,0,0,1102,698,951,0,0,0,0,0
15,1,1676,5085320,2185.35453373442,1676,187923,1547756,3321352,6111,691576,65375,177177,747439,0,0,347627,222538,182822,0,0,0,0,0,1493,318,224,1325,0,0,1102,698,951,0,0,0,0,0
16,-1,1701,5625987.5,2417.69982810486,1701,187910,1576243,684464,5197,531698,49271,124702,586634,0,0,667172,143291,157939,0,0,0,0,0,1213,245,167,1168,0,0,1088,506,810,0,0,0,0,0
16,1,1701,5625987.5,2417.69982810486,1701,187910,1576243,2945171,5197,531698,49271,124702,586634,0,0,667172,143291,157939,0,0,0,0,0,1213,245,167,1168,0,0,1088,506,810,0,0,0,0,0
17,-1,1669,5969210,2565.19553072626,1669,187897,1552309,564713,4645,493584,41880,107205,510908,0,0,741391,85563,136490,0,0,1,0,0,1121,198,113,1073,0,0,1122,312,706,0,0,0,0,0
17,1,1669,5969210,2565.19553072626,1669,187897,1552309,2681735,4645,493584,41880,107205,510908,0,0,741391,85563,136490,0,0,1,0,0,1121,198,113,1073,0,0,1122,312,706,0,0,0,0,0
18,-1,1612,5733680,2463.97937258272,1612,187875,1496927,565610,4729,515156,37345,119912,507550,0,0,658456,87932,136186,0,0,0,0,0,1216,170,170,1057,0,0,1107,333,676,0,0,0,0,0
18,1,1612,5733680,2463.97937258272,1612,187875,1496927,2628147,4729,515156,37345,119912,507550,0,0,658456,87932,136186,0,0,0,0,0,1216,170,170,1057,0,0,1107,333,676,0,0,0,0,0
19,-1,1702,5492135,2360.17834121186,1702,187797,1562780,624738,5278,604147,36944,149757,516454,0,0,606822,139631,133763,0,0,0,0,0,1453,170,249,1208,0,0,1093,524,581,0,0,0,0,0
19,1,1702,5492135,2360.17834121186,1702,187797,1562780,2812256,5278,604147,36944,149757,516454,0,0,606822,139631,133763,0,0,0,0,0,1453,170,249,1208,0,0,1093,524,581,0,0,0,0,0
20,-1,1638,5348925,2298.6355822948,1638,187769,1509846,631615,5385,601112,35521,143242,504473,0,0,580562,147169,129382,0,0,0,0,0,1462,162,260,1286,0,0,1087,616,512,0,0,0,0,0
20,1,1638,5348925,2298.6355822948,1638,187769,1509846,2773076,5385,601112,35521,143242,504473,0,0,580562,147169,129382,0,0,0,0,0,1462,162,260,1286,0,0,1087,616,512,0,0,0,0,0
21,-1,1557,4436152.5,1906.38268156425,1557,187646,1436054,943805,7068,646779,35187,178007,509638,0,0,469320,398869,142056,0,0,0,3,0,1948,146,405,1388,0,0,973,1639,569,0,0,0,0,0
21,1,1557,4436152.5,1906.38268156425,1557,187646,1436054,3323664,7068,646779,35187,178007,509638,0,0,469320,398869,142056,0,0,0,3,0,1948,146,405,1388,0,0,973,1639,569,0,0,0,0,0
22,-1,1458,4184020,1798.03180060163,1458,187677,1334228,892278,6731,630805,29964,165765,446467,0,0,467070,363597,122837,0,0,1,0,0,1956,130,450,1274,0,0,844,1588,489,0,0,0,0,0
22,1,1458,4184020,1798.03180060163,1458,187677,1334228,3118784,6731,630805,29964,165765,446467,0,0,467070,363597,122837,0,0,1,0,0,1956,130,450,1274,0,0,844,1588,489,0,0,0,0,0
23,-1,1496,4092320,1758.6248388483,1496,187603,1388630,910249,6884,648501,32771,165130,402109,0,0,487582,448582,114204,0,0,0,0,0,2016,149,478,1153,0,0,638,2028,422,0,0,0,0,0
23,1,1496,4092320,1758.6248388483,1496,187603,1388630,3209128,6884,648501,32771,165130,402109,0,0,487582,448582,114204,0,0,0,0,0,2016,149,478,1153,0,0,638,2028,422,0,0,0,0,0
24,-1,1435,3906877.5,1678.93317576278,1435,187537,1331744,884354,6657,656634,27522,155940,368665,0,0,469776,421888,115672,0,0,0,1,0,2018,118,470,1052,0,0,547,1987,465,0,0,0,0,0
24,1,1435,3906877.5,1678.93317576278,1435,187537,1331744,3100452,6657,656634,27522,155940,368665,0,0,469776,421888,115672,0,0,0,1,0,2018,118,470,1052,0,0,547,1987,465,0,0,0,0,0
25,-1,1364,3419937.5,1469.67662226042,1364,187256,1279479,961518,7461,667951,29873,158721,366278,0,0,337595,570638,109867,0,0,71,3,0,1991,156,491,1064,0,0,511,2797,449,0,0,2,0,0
25,1,1364,3419937.5,1469.67662226042,1364,187256,1279479,3202515,7461,667951,29873,158721,366278,0,0,337595,570638,109867,0,0,71,3,0,1991,156,491,1064,0,0,511,2797,449,0,0,2,0,0
26,-1,1284,2739977.5,1177.47206703911,1177.47206703911,186585,1095955,991834,7813,681013,27860,151063,350382,0,0,90458,685888,101104,0,0,8,13,0,2043,141,484,1111,0,0,362,3245,427,0,0,0,0,0
