Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,837.8121084,25.21306913,94.00287989,1425.858617,2973.384777,6.174910541,2615.808992,400.3245468,46.60665814,15.93267712,713.4153601,0.027616888,0.001128316,0.001869782, ,77965957,2346303,8747814,132688977,276700214,574631,243424569,37253802,4337169,1482679,66389720,2570,105,174,,911.9149355,50.21712039,254.8008067,1127.973373,2835.874468,3.208085011,2297.988873,506.8616013,84.15500085,22.82467221,1597.038302,0.046326253,0.001037631,0.000925887
20, eco1,93059,681.407376,15.76262371,76.42709464,1025.031808,3287.118548,6.169408655,2111.895034,268.8044789,30.11969826,16.08635382,807.6011563,0.007865977,0.001128316,0, ,63411089,1466854,7112229,95388435,305895965,574119,196530840,25014676,2802909,1496980,75154556,732,105,0,,756.3191595,29.55143459,207.8975778,791.9903367,3149.199693,3.205360564,1805.221207,327.4854412,48.61954046,22.92073028,1739.614634,0.010988251,0.001037631,0
30, eco1,93059,573.1516887,11.33474462,56.30088439,749.8781633,3526.446061,6.181164637,1520.785061,151.2430394,9.511804339,16.3686371,867.9668597,0,0,0, ,53336923,1054800,5239304,69782912,328167544,575213,141522737,14074526,885159,1523249,80772128,0,0,0,,648.407124,19.15196777,159.0561758,581.676243,3393.215061,3.212943255,1323.39968,185.9560364,16.22150504,23.10338002,1819.039159,0,0,0
40, eco1,93059,486.7688886,8.86995347,51.8257772,563.3503691,3787.659259,6.16478793,1181.567414,69.07098722,5.558495148,18.04890446,951.186183,0,0,0, ,45298226,825429,4822855,52424822,352475783,573689,109955482,6427677,517268,1679613,88516435,0,0,0,,554.0954142,12.62701141,146.6933453,423.6001128,3637.735633,3.205818186,1042.444053,99.265623,8.908129709,24.67242242,1876.2379,0,0,0
50, eco1,93059,402.8535875,6.962303485,57.34875724,518.6821586,4181.739208,6.097185656,763.8745849,45.25820179,3.53951794,25.8111843,1140.576914,0,0,0, ,37489152,647905,5336818,48268043,389148469,567398,71085405,4211683,329384,2401963,106140947,0,0,0,,453.9636137,8.091487165,158.2581201,383.7757545,3984.318021,3.171592312,666.0287238,61.03012324,6.299779703,30.84365821,1982.009599,0,0,0
60, eco1,93059,317.2277158,5.757659119,59.78601747,408.625184,4481.463254,5.876658894,326.655079,38.80414576,1.737940446,32.25162531,1314.099894,0,0,0, ,29520894,535802,5563627,38026251,417040489,546876,30398195,3611075,161731,3001304,122288822,0,0,0,,356.8100815,5.40405368,162.10164,299.7525967,4258.956026,3.047145715,275.1453695,49.75643864,3.291734068,36.14625814,2050.032289,0,0,0
70, eco1,93059,234.0849354,4.420786813,58.71104353,224.5169301,4630.526107,5.390956275,155.0890188,33.38391773,1.059994197,37.56619994,1537.594171,0,0,0, ,21783710,411394,5463591,20893321,430912129,501677,14432429,3106674,98642,3495873,143086976,0,0,0,,273.727502,3.203130986,161.5914659,175.2737751,4480.006279,2.80232323,127.7723064,42.87940062,2.25484228,43.91704802,2163.221798,0,0,0
80, eco1,93059,173.3864323,3.505754414,58.26847484,88.68788618,4741.754457,5.043327351,92.07747773,30.96912711,0.623808552,40.88788833,1811.984537,0,0,0, ,16135168,326242,5422406,8253206,441262928,469327,8568638,2881956,58051,3804986,168621469,0,0,0,,205.6952556,2.077008216,156.6628336,79.23356818,4619.480093,2.627974543,77.6139,40.85816909,1.362963475,48.39145843,2344.412823,0,0,0
90, eco1,93059,135.8851374,2.782492827,51.77264961,35.45780634,4736.487218,4.380769189,28.58223278,20.0347414,0.349219312,39.83963937,2121.551768,0,0,0, ,12645335,258936,4817911,3299668,440772764,407670,2659834,1864413,32498,3707437,197429486,0,0,0,,159.9362681,1.542574816,132.2169022,33.52228513,4619.766198,2.290052573,24.68107999,26.55908114,0.68279341,46.01036567,2531.7017,0,0,0
100, eco1,93059,103.6321473,2.408643979,47.14898075,21.6709292,4739.525914,3.648491817,5.445373365,15.70861496,0.161037621,38.70045885,2436.129907,0,0,0, ,9643904,224146,4387637,2016675,441055542,339525,506741,1461828,14986,3601426,226703813,0,0,0,,121.8262154,1.335138989,117.3581159,20.06621685,4645.852624,1.91741518,5.797688476,20.43660338,0.276180239,43.58632029,2754.066169,0,0,0
110, eco1,93059,95.78297639,1.896796656,40.91695591,7.817986439,4504.11353,2.831139385,2.238837727,19.80499468,0.059865247,37.43939866,2603.390355,0,0,0, ,8913468,176514,3807691,727534,419148301,263463,208344,1843033,5571,3484073,242268903,0,0,0,,114.1698842,1.052307267,105.1273732,8.780330765,4484.11323,1.500606615,2.875207526,27.83763463,0.113804223,41.05070027,2885.109776,0,0,0
120, eco1,93059,88.31849687,1.373214842,34.46671466,1.462867643,4396.797387,2.216819437,1.629708035,19.52530115,0.018955716,36.74491452,2821.34448,0,0,0, ,8218831,127790,3207438,136133,409161568,206295,151659,1817005,1764,3419445,262551496,0,0,0,,109.9696533,0.765974203,91.41002937,1.839023456,4455.743359,1.185789238,2.096372015,28.84901132,0.030612788,39.67725405,3101.872334,0,0,0
130, eco1,93059,68.52979293,0.86599899,28.9791745,0.8521798,4468.052042,1.609978616,1.152849268,17.85184668,0.014506926,36.28608732,3133.114691,0,0,0, ,6377314,80589,2696773,79303,415792455,149823,107283,1661275,1350,3376747,291564520,0,0,0,,87.69547912,0.49139032,74.00848729,0.901307948,4610.749691,0.878533268,1.435475288,24.66885722,0.032150611,39.38603082,3419.256061,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1122.640663,127.9561041,692.8561837,966.7838583,2928.540839,0.00304671,2152.601521,624.8036716,113.3643826,39.58712231,1495.582057,0.060837166,0.001668898,0, ,57850796,6593706,35703572,49819339,150910638,157,110925709,32196758,5841780,2039964,77068839,3135,86,0,,,,,,,,,,,,,,,
