Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 360, 1146, 386, 0, 0, 0, 
10, 378, 1343, 693, 693, 194, 3, 
10, 393, 1320, 59, 54, 14, 3, 
10, 488, 1188, 193, 180, 31, 3, 
10, 497, 1087, 2095, 2095, 473, 3, 
10, 573, 1114, 25, 25, 131, 4, 
10, 578, 932, 113, 113, 43, 3, 
10, 584, 835, 860, 860, 203, 3, 
10, 590, 1024, 25, 10, 5, 3, 
10, 602, 875, 157, 0, 0, 0, 
10, 622, 1097, 80, 0, 0, 0, 
10, 686, 710, 1325, 1219, 44, 2, 
10, 688, 688, 23, 17, 1, 2, 
10, 775, 647, 558, 557, 325, 3, 
10, 784, 415, 779, 768, 45, 2, 
10, 808, 444, 42, 35, 5, 1.31, 
10, 813, 538, 454, 429, 18, 1, 
10, 820, 433, 51, 0, 0, 0, 
10, 828, 322, 76, 76, 31, 3, 
10, 878, 560, 701, 0, 0, 0, 
10, 882, 293, 370, 357, 25, 2, 
10, 886, 540, 45, 44, 18, 3, 
10, 897, 565, 159, 0, 0, 0, 
10, 909, 712, 162, 161, 36, 3, 
10, 974, 429, 218, 214, 108, 3, 
10, 986, 405, 48, 0, 0, 0, 
20, 374, 1362, 514, 513, 366, 3, 
20, 484, 1095, 618, 0, 0, 0, 
20, 501, 1137, 517, 517, 2053, 4, 
20, 554, 1006, 335, 332, 30, 2, 
20, 554, 1051, 2182, 2174, 198, 2, 
20, 588, 930, 175, 175, 134, 3, 
20, 608, 879, 352, 352, 334, 3, 
20, 608, 1030, 514, 493, 30, 2, 
20, 633, 901, 120, 120, 133, 3, 
20, 657, 697, 126, 126, 536, 4, 
20, 695, 790, 215, 215, 954, 4, 
20, 748, 586, 117, 116, 103, 3, 
20, 752, 655, 470, 454, 128, 2, 
20, 752, 751, 757, 757, 3711, 4, 
20, 757, 647, 17, 0, 0, 0, 
20, 774, 640, 68, 0, 0, 0, 
20, 835, 618, 593, 593, 847, 3, 
20, 837, 427, 425, 425, 446, 3, 
20, 886, 475, 305, 299, 35, 2, 
20, 897, 590, 241, 241, 871, 4, 
20, 913, 434, 399, 399, 1957, 4, 
20, 939, 645, 233, 0, 0, 0, 
20, 945, 422, 71, 0, 0, 0, 
30, 352, 1346, 208, 208, 361, 3, 
30, 382, 1311, 383, 382, 519, 3, 
30, 406, 1140, 25, 25, 31, 3, 
30, 412, 1226, 84, 0, 0, 0, 
30, 426, 1242, 149, 1, 1, 3, 
30, 445, 1211, 158, 96, 8, 2, 
30, 502, 1033, 88, 88, 155, 3, 
30, 507, 1234, 627, 0, 0, 0, 
30, 524, 1241, 894, 894, 1140, 3, 
30, 527, 1041, 342, 329, 34, 2, 
30, 555, 948, 975, 975, 1688, 3, 
30, 562, 837, 187, 180, 17, 2, 
30, 617, 966, 758, 0, 0, 0, 
30, 635, 818, 16, 16, 21, 3, 
30, 647, 640, 509, 499, 89, 2, 
30, 674, 810, 573, 564, 99, 2, 
30, 684, 763, 187, 187, 331, 3, 
30, 771, 493, 330, 329, 95, 2, 
30, 778, 391, 157, 157, 247, 3, 
30, 784, 628, 164, 164, 33, 2, 
30, 856, 425, 464, 464, 497, 3, 
30, 871, 347, 4, 1, 6, 4, 
30, 875, 520, 301, 174, 4, 1, 
30, 1004, 339, 429, 429, 768, 3, 
30, 1007, 380, 91, 89, 30, 2, 
40, 295, 1427, 114, 108, 16, 2, 
40, 421, 1298, 595, 594, 91, 2, 
40, 446, 1239, 168, 150, 16, 2, 
40, 481, 1179, 203, 179, 15, 2, 
40, 492, 1187, 446, 423, 19, 1, 
40, 495, 1121, 226, 220, 23, 2, 
40, 520, 1073, 85, 85, 144, 3, 
40, 530, 1152, 327, 327, 380, 3, 
40, 553, 1054, 1131, 1111, 112, 2, 
40, 558, 955, 190, 155, 6, 1, 
40, 559, 858, 390, 384, 59, 2, 
40, 559, 1018, 19, 0, 0, 0, 
40, 617, 901, 262, 255, 43, 1, 
40, 620, 1112, 751, 746, 99, 2, 
40, 623, 1062, 4, 0, 0, 0, 
40, 645, 863, 942, 933, 213, 1.99, 
40, 653, 872, 944, 1, 2, 3, 
40, 664, 1013, 72, 72, 129, 3, 
40, 684, 802, 344, 338, 52, 2, 
40, 687, 604, 603, 603, 1151, 3, 
40, 718, 594, 166, 160, 29, 1, 
40, 727, 678, 931, 931, 1624, 3, 
40, 754, 621, 2262, 2262, 3776, 3, 
40, 762, 600, 415, 0, 0, 0, 
40, 763, 570, 887, 887, 173, 1, 
40, 765, 691, 1702, 1702, 2784, 3, 
40, 767, 678, 109, 1, 3, 4, 
40, 768, 563, 1695, 1, 1, 3, 
40, 779, 469, 700, 700, 1218, 3, 
40, 781, 545, 852, 847, 285, 2, 
40, 781, 623, 519, 0, 0, 0, 
40, 811, 357, 19, 19, 6, 2, 
40, 839, 576, 331, 331, 680, 3, 
40, 857, 538, 635, 631, 257, 2, 
40, 877, 332, 99, 98, 67, 1.98, 
40, 901, 726, 387, 387, 608, 3, 
40, 925, 413, 48, 0, 0, 0, 
40, 1005, 392, 137, 137, 195, 3, 
40, 1025, 411, 134, 119, 512, 4, 
40, 1027, 426, 46, 44, 8, 2, 
50, 276, 1464, 732, 732, 1602, 3, 
50, 316, 1237, 157, 74, 21, 2, 
50, 362, 1236, 122, 122, 238, 2.99, 
50, 424, 1139, 248, 248, 222, 2, 
50, 471, 1088, 4, 4, 7, 3, 
50, 493, 1025, 453, 453, 743, 2.99, 
50, 503, 1036, 527, 527, 447, 2, 
50, 522, 948, 191, 146, 13, 1, 
50, 543, 1112, 221, 221, 93, 2, 
50, 547, 1164, 547, 542, 201, 2, 
50, 609, 1051, 32, 26, 9, 2, 
50, 621, 1100, 29, 0, 0, 0, 
50, 627, 703, 436, 436, 849, 3, 
50, 653, 1043, 481, 478, 270, 2, 
50, 654, 1069, 84, 84, 137, 3, 
50, 690, 820, 13, 13, 10, 2, 
50, 740, 481, 891, 891, 728, 2, 
50, 821, 557, 466, 465, 362, 2, 
50, 828, 590, 671, 671, 4907, 5, 
50, 834, 544, 53, 53, 114, 3, 
50, 863, 325, 709, 688, 85, 1, 
50, 879, 498, 1001, 1, 4, 5, 
50, 897, 423, 359, 353, 147, 2, 
50, 897, 639, 355, 355, 2577, 5, 
50, 908, 675, 39, 39, 157, 4, 
50, 909, 429, 771, 769, 769, 3, 
50, 943, 484, 16, 16, 19, 3, 
50, 1007, 440, 69, 69, 46, 2, 
60, 302, 1418, 407, 407, 293, 2, 
60, 370, 1289, 301, 300, 270, 2, 
60, 432, 1136, 214, 214, 485, 3, 
60, 512, 1198, 428, 427, 36, 1, 
60, 560, 1105, 433, 433, 2018, 4, 
60, 598, 908, 86, 86, 69, 2, 
60, 598, 1091, 116, 116, 297, 3, 
60, 616, 1106, 85, 85, 669, 5, 
60, 715, 726, 249, 0, 0, 0, 
60, 734, 644, 311, 0, 0, 0, 
60, 753, 611, 524, 524, 353, 3, 
60, 761, 734, 86, 86, 85, 2, 
60, 763, 655, 126, 126, 1006, 5, 
60, 786, 535, 575, 575, 1185, 3, 
60, 816, 600, 438, 438, 977, 3, 
60, 818, 657, 427, 427, 1048, 3, 
60, 835, 459, 87, 87, 61, 2, 
60, 838, 620, 278, 277, 316, 3, 
60, 845, 322, 310, 310, 981, 3, 
60, 857, 336, 416, 416, 1285, 3, 
60, 870, 442, 296, 296, 691, 3, 
60, 905, 485, 190, 190, 1692, 5, 
60, 906, 704, 210, 1, 2, 3, 
60, 936, 366, 390, 390, 521, 2, 
60, 1002, 422, 708, 707, 777, 2, 
60, 1013, 359, 318, 0, 0, 0, 
60, 1019, 410, 44, 43, 28, 2, 
70, 352, 1384, 785, 785, 3689, 4, 
70, 371, 1230, 565, 26, 68, 2.92, 
70, 541, 1023, 1219, 1219, 10367, 5, 
70, 565, 1162, 1330, 1330, 2978, 3, 
70, 583, 1110, 231, 231, 619, 3, 
70, 631, 877, 52, 52, 66, 2, 
70, 647, 802, 430, 430, 1035, 3, 
70, 649, 743, 85, 85, 196, 3, 
70, 659, 716, 307, 307, 1479, 4, 
70, 704, 743, 1297, 1297, 1302, 2, 
70, 724, 687, 926, 925, 1313, 3, 
70, 726, 493, 381, 380, 335, 2, 
70, 750, 588, 546, 546, 1976, 4, 
70, 756, 645, 45, 42, 12, 2, 
70, 769, 618, 223, 73, 1, 2, 
70, 787, 509, 428, 427, 448, 2, 
70, 796, 661, 223, 223, 176, 1.95, 
70, 807, 373, 67, 67, 185, 3, 
70, 833, 361, 72, 72, 119, 2, 
70, 974, 541, 160, 160, 779, 4, 
80, 289, 1389, 93, 93, 127, 2, 
80, 318, 1415, 99, 99, 929, 5, 
80, 357, 1264, 66, 66, 192, 3, 
80, 387, 1278, 471, 471, 1143, 3, 
80, 391, 1143, 777, 777, 1864, 3, 
80, 486, 1194, 199, 199, 211, 2, 
80, 513, 1116, 94, 0, 0, 0, 
80, 557, 852, 726, 726, 331, 1, 
80, 563, 970, 780, 1, 1, 1, 
80, 629, 932, 270, 13, 31, 3, 
80, 645, 1048, 90, 90, 170, 3, 
80, 650, 764, 179, 179, 445, 3, 
80, 674, 1003, 204, 204, 782, 4, 
80, 681, 923, 150, 150, 425, 3, 
80, 784, 568, 158, 158, 384, 3, 
80, 793, 577, 93, 93, 239, 3, 
80, 801, 429, 101, 101, 173, 1.99, 
80, 833, 574, 333, 315, 177, 1.93, 
