Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,458,8066265,3466.3794585303,458,185727,452462,79048,271,87237,939,14258,131834,0,0,196529,0,96360,0,0,0,0,4353,6,0,0,0,0,0,16,0,208,0,0,0,0,41
1,1,458,8066265,3466.3794585303,458,185727,452462,610558,271,87237,939,14258,131834,0,0,196529,0,96360,0,0,0,0,4353,6,0,0,0,0,0,16,0,208,0,0,0,0,41
2,-1,473,8000687.5,3438.19832402235,473,184568,453378,72771,224,81914,1792,12716,142608,0,0,194105,0,93011,0,0,0,0,3,8,0,0,1,0,0,6,0,209,0,0,0,0,0
2,1,473,8000687.5,3438.19832402235,473,184568,453378,598920,224,81914,1792,12716,142608,0,0,194105,0,93011,0,0,0,0,3,8,0,0,1,0,0,6,0,209,0,0,0,0,0
3,-1,487,7938240,3411.3622690159,487,184593,464908,70947,232,80053,1484,18434,148318,0,0,196537,1,90756,0,0,0,0,272,9,0,0,0,0,0,9,0,211,0,0,0,0,3
3,1,487,7938240,3411.3622690159,487,184593,464908,606802,232,80053,1484,18434,148318,0,0,196537,1,90756,0,0,0,0,272,9,0,0,0,0,0,9,0,211,0,0,0,0,3
4,-1,516,8383535,3602.7223893425,516,184649,494092,62663,211,80871,690,25746,143969,0,0,222423,51,83004,0,0,0,0,1,10,0,0,0,0,0,6,0,195,0,0,0,0,0
4,1,516,8383535,3602.7223893425,516,184649,494092,619418,211,80871,690,25746,143969,0,0,222423,51,83004,0,0,0,0,1,10,0,0,0,0,0,6,0,195,0,0,0,0,0
5,-1,522,8598862.5,3695.25676837129,522,184757,505462,58792,197,81636,217,31906,170532,0,0,204445,739,74742,0,0,0,0,37,15,0,0,0,0,0,6,2,174,0,0,0,0,0
5,1,522,8598862.5,3695.25676837129,522,184757,505462,623046,197,81636,217,31906,170532,0,0,204445,739,74742,0,0,0,0,37,15,0,0,0,0,0,6,2,174,0,0,0,0,0
