Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10588.31, 1.0, 469.7, 0.0
0, eco3, 43338, 9796.99, 1.3, 455.6, 0.0
0, eco1, 93059, 9317.32, 0.5, 537.3, 0.0
1, eco2, 51531, 10687.93, 416.9, 471.4, 0.0
1, eco3, 43338, 9938.77, 454.0, 459.9, 0.0
1, eco1, 93059, 9414.17, 391.8, 540.4, 0.0
2, eco2, 51531, 10709.82, 415.3, 472.3, 0.0
2, eco3, 43338, 10026.64, 455.1, 463.3, 0.0
2, eco1, 93059, 9444.05, 390.6, 542.6, 0.0
3, eco2, 51531, 10722.20, 413.8, 472.6, 0.0
3, eco3, 43338, 10099.33, 456.0, 466.2, 0.0
3, eco1, 93059, 9467.21, 389.5, 544.1, 0.0
4, eco2, 51531, 10719.31, 412.4, 472.6, 0.0
4, eco3, 43338, 10156.48, 457.3, 468.8, 0.0
4, eco1, 93059, 9479.49, 388.5, 545.1, 0.0
5, eco2, 51531, 10713.83, 411.3, 472.5, 0.0
5, eco3, 43338, 10210.78, 458.8, 471.4, 0.0
5, eco1, 93059, 9487.39, 387.5, 545.9, 0.0
6, eco2, 51531, 10681.14, 410.7, 472.5, 0.0
6, eco3, 43338, 10243.16, 460.7, 474.1, 0.0
6, eco1, 93059, 9478.77, 386.5, 546.3, 0.0
7, eco2, 51531, 10654.31, 409.6, 472.5, 0.0
7, eco3, 43338, 10283.16, 462.2, 476.7, 0.0
7, eco1, 93059, 9470.38, 385.3, 546.6, 0.0
8, eco2, 51531, 10615.27, 408.3, 472.4, 0.0
8, eco3, 43338, 10308.18, 463.6, 479.4, 0.0
8, eco1, 93059, 9446.12, 384.1, 546.7, 0.0
9, eco2, 51531, 10547.67, 407.9, 472.5, 0.0
9, eco3, 43338, 10322.70, 464.9, 482.1, 0.0
9, eco1, 93059, 9421.49, 382.6, 546.5, 0.0
10, eco2, 51531, 10463.69, 405.4, 473.2, 0.0
10, eco3, 43338, 10270.93, 463.0, 486.5, 0.0
10, eco1, 93059, 9365.78, 380.4, 546.8, 0.0
11, eco2, 51531, 10408.79, 403.8, 472.8, 0.0
11, eco3, 43338, 10282.65, 464.0, 487.8, 0.0
11, eco1, 93059, 9335.79, 378.3, 545.9, 0.0
12, eco2, 51531, 10349.91, 401.3, 472.0, 0.0
12, eco3, 43338, 10287.05, 464.1, 489.0, 0.0
12, eco1, 93059, 9298.24, 376.1, 544.9, 0.0
13, eco2, 51531, 10284.12, 399.7, 471.4, 0.0
13, eco3, 43338, 10286.14, 464.7, 490.5, 0.0
13, eco1, 93059, 9256.62, 374.4, 543.8, 0.0
14, eco2, 51531, 10222.42, 398.0, 470.8, 0.0
14, eco3, 43338, 10288.98, 465.1, 492.1, 0.0
14, eco1, 93059, 9219.05, 372.7, 542.8, 0.0
15, eco2, 51531, 10164.92, 396.0, 470.2, 0.0
15, eco3, 43338, 10303.79, 465.2, 493.7, 0.0
15, eco1, 93059, 9188.31, 370.2, 541.5, 0.0
16, eco2, 51531, 10104.14, 394.5, 469.7, 0.0
16, eco3, 43338, 10312.23, 465.5, 495.3, 0.0
16, eco1, 93059, 9161.26, 367.6, 540.1, 0.0
17, eco2, 51531, 10052.02, 392.3, 469.1, 0.0
17, eco3, 43338, 10317.59, 466.0, 497.1, 0.0
17, eco1, 93059, 9128.64, 365.2, 538.6, 0.0
18, eco2, 51531, 9993.00, 390.2, 468.4, 0.0
18, eco3, 43338, 10315.56, 466.3, 498.8, 0.0
18, eco1, 93059, 9088.18, 363.9, 537.2, 0.0
19, eco2, 51531, 9917.19, 388.3, 467.7, 0.0
19, eco3, 43338, 10312.98, 466.6, 500.5, 0.0
19, eco1, 93059, 9049.58, 362.9, 536.2, 0.0
20, eco2, 51531, 9666.64, 341.7, 455.7, 0.0
20, eco3, 43338, 10172.01, 450.7, 500.0, 0.0
20, eco1, 93059, 8851.45, 301.6, 520.0, 0.0
21, eco2, 51531, 9507.92, 339.8, 444.0, 0.0
21, eco3, 43338, 10125.17, 448.9, 497.1, 0.0
21, eco1, 93059, 8731.09, 301.8, 505.7, 0.0
22, eco2, 51531, 9355.46, 338.0, 434.8, 0.0
22, eco3, 43338, 10079.94, 448.6, 495.3, 0.0
22, eco1, 93059, 8611.98, 302.2, 494.8, 0.0
23, eco2, 51531, 9207.23, 336.1, 427.7, 0.0
23, eco3, 43338, 10036.21, 448.4, 494.2, 0.0
23, eco1, 93059, 8494.65, 302.2, 486.5, 0.0
24, eco2, 51531, 9063.99, 333.6, 421.9, 0.0
24, eco3, 43338, 9991.92, 447.8, 493.6, 0.0
24, eco1, 93059, 8381.82, 301.7, 480.1, 0.0
25, eco2, 51531, 8928.24, 330.8, 417.2, 0.0
25, eco3, 43338, 9951.21, 447.0, 493.3, 0.0
25, eco1, 93059, 8276.39, 300.8, 475.1, 0.0
26, eco2, 51531, 8842.81, 328.9, 413.3, 0.0
26, eco3, 43338, 9923.25, 446.1, 493.2, 0.0
26, eco1, 93059, 8185.38, 299.8, 471.1, 0.0
27, eco2, 51531, 8765.89, 326.2, 410.0, 0.0
27, eco3, 43338, 9908.92, 444.6, 493.1, 0.0
27, eco1, 93059, 8107.64, 298.1, 467.7, 0.0
28, eco2, 51531, 8685.42, 323.7, 407.1, 0.0
28, eco3, 43338, 9888.86, 442.5, 492.7, 0.0
28, eco1, 93059, 8021.80, 295.9, 464.6, 0.0
29, eco2, 51531, 8607.06, 321.4, 404.5, 0.0
29, eco3, 43338, 9863.70, 440.6, 492.2, 0.0
29, eco1, 93059, 7937.30, 294.2, 461.9, 0.0
30, eco2, 51531, 8363.25, 312.5, 406.4, 0.0
30, eco3, 43338, 9619.25, 428.0, 494.8, 0.0
30, eco1, 93059, 7840.68, 291.7, 459.8, 0.0
31, eco2, 51531, 8311.42, 310.6, 401.6, 0.0
31, eco3, 43338, 9603.41, 427.0, 490.4, 0.0
31, eco1, 93059, 7764.42, 289.4, 457.2, 0.0
32, eco2, 51531, 8256.80, 307.4, 397.3, 0.0
32, eco3, 43338, 9594.90, 424.3, 486.7, 0.0
32, eco1, 93059, 7699.38, 287.2, 454.6, 0.0
33, eco2, 51531, 8203.71, 305.1, 393.5, 0.0
33, eco3, 43338, 9600.49, 421.2, 483.4, 0.0
33, eco1, 93059, 7630.57, 284.8, 452.1, 0.0
34, eco2, 51531, 8149.10, 301.9, 390.1, 0.0
34, eco3, 43338, 9583.49, 417.9, 480.3, 0.0
34, eco1, 93059, 7569.71, 282.1, 449.6, 0.0
35, eco2, 51531, 8095.71, 299.2, 386.9, 0.0
35, eco3, 43338, 9566.17, 414.4, 477.3, 0.0
35, eco1, 93059, 7511.96, 279.0, 446.9, 0.0
36, eco2, 51531, 8046.48, 295.9, 383.9, 0.0
36, eco3, 43338, 9547.47, 411.1, 474.4, 0.0
36, eco1, 93059, 7457.64, 275.8, 444.0, 0.0
37, eco2, 51531, 8002.24, 292.6, 381.0, 0.0
37, eco3, 43338, 9527.97, 407.0, 471.5, 0.0
37, eco1, 93059, 7407.55, 272.3, 441.0, 0.0
38, eco2, 51531, 7958.95, 288.9, 378.0, 0.0
38, eco3, 43338, 9507.23, 403.3, 468.6, 0.0
38, eco1, 93059, 7360.50, 268.6, 437.7, 0.0
39, eco2, 51531, 7921.79, 285.4, 375.1, 0.0
39, eco3, 43338, 9487.72, 398.8, 465.6, 0.0
39, eco1, 93059, 7315.44, 264.7, 434.2, 0.0
40, eco2, 51531, 7849.54, 296.8, 379.1, 0.0
40, eco3, 43338, 9331.61, 393.1, 465.6, 0.0
40, eco1, 93059, 7263.87, 282.2, 438.8, 0.0
41, eco2, 51531, 7868.53, 295.7, 379.5, 0.0
41, eco3, 43338, 9316.83, 389.1, 461.4, 0.0
41, eco1, 93059, 7298.36, 279.1, 439.3, 0.0
42, eco2, 51531, 7888.31, 291.6, 379.1, 0.0
42, eco3, 43338, 9299.69, 383.9, 457.2, 0.0
42, eco1, 93059, 7326.63, 274.3, 438.4, 0.0
43, eco2, 51531, 7906.35, 287.5, 377.9, 0.0
43, eco3, 43338, 9277.57, 378.2, 452.8, 0.0
43, eco1, 93059, 7347.84, 269.2, 436.4, 0.0
44, eco2, 51531, 7917.86, 282.7, 376.0, 0.0
44, eco3, 43338, 9250.34, 372.3, 448.4, 0.0
44, eco1, 93059, 7362.16, 263.6, 433.5, 0.0
45, eco2, 51531, 7922.19, 278.2, 373.5, 0.0
45, eco3, 43338, 9216.15, 365.9, 443.6, 0.0
45, eco1, 93059, 7367.98, 258.2, 429.8, 0.0
46, eco2, 51531, 7923.11, 273.3, 370.6, 0.0
46, eco3, 43338, 9180.13, 359.7, 438.8, 0.0
46, eco1, 93059, 7367.00, 252.9, 425.6, 0.0
47, eco2, 51531, 7919.08, 268.9, 367.5, 0.0
47, eco3, 43338, 9143.79, 353.6, 433.9, 0.0
47, eco1, 93059, 7359.50, 248.3, 421.2, 0.0
48, eco2, 51531, 7908.94, 264.6, 364.1, 0.0
48, eco3, 43338, 9106.07, 347.4, 428.8, 0.0
48, eco1, 93059, 7347.73, 244.4, 416.8, 0.0
49, eco2, 51531, 7894.34, 261.0, 360.8, 0.0
49, eco3, 43338, 9068.52, 341.8, 423.6, 0.0
49, eco1, 93059, 7331.27, 241.7, 412.7, 0.0
50, eco2, 51531, 7817.78, 256.6, 358.8, 0.0
50, eco3, 43338, 8878.06, 332.0, 421.3, 0.0
50, eco1, 93059, 7122.19, 235.4, 413.4, 0.0
51, eco2, 51531, 7805.65, 253.8, 355.0, 0.0
51, eco3, 43338, 8845.52, 327.1, 414.1, 0.0
51, eco1, 93059, 7108.83, 233.9, 408.0, 0.0
52, eco2, 51531, 7789.46, 251.0, 351.3, 0.0
52, eco3, 43338, 8809.58, 322.1, 407.4, 0.0
52, eco1, 93059, 7093.09, 232.0, 403.3, 0.0
53, eco2, 51531, 7773.63, 248.3, 347.8, 0.0
53, eco3, 43338, 8774.32, 316.8, 400.9, 0.0
53, eco1, 93059, 7077.06, 230.2, 399.0, 0.0
54, eco2, 51531, 7759.37, 245.8, 344.4, 0.0
54, eco3, 43338, 8740.15, 311.6, 394.5, 0.0
54, eco1, 93059, 7062.37, 228.4, 395.2, 0.0
55, eco2, 51531, 7746.87, 243.4, 341.2, 0.0
55, eco3, 43338, 8705.91, 306.5, 388.2, 0.0
55, eco1, 93059, 7048.51, 226.7, 391.8, 0.0
56, eco2, 51531, 7735.98, 240.8, 337.9, 0.0
56, eco3, 43338, 8671.94, 301.3, 381.9, 0.0
56, eco1, 93059, 7037.31, 224.7, 388.5, 0.0
57, eco2, 51531, 7726.32, 238.3, 334.7, 0.0
57, eco3, 43338, 8637.58, 295.8, 375.6, 0.0
57, eco1, 93059, 7025.64, 222.7, 385.3, 0.0
58, eco2, 51531, 7717.82, 235.5, 331.3, 0.0
58, eco3, 43338, 8601.44, 290.4, 369.1, 0.0
58, eco1, 93059, 7014.49, 220.6, 382.2, 0.0
59, eco2, 51531, 7709.87, 232.9, 327.9, 0.0
59, eco3, 43338, 8563.22, 284.7, 362.6, 0.0
59, eco1, 93059, 7005.35, 218.5, 379.1, 0.0
60, eco2, 51531, 7721.78, 230.5, 324.7, 0.0
60, eco3, 43338, 8476.66, 280.9, 359.0, 0.0
60, eco1, 93059, 6944.89, 215.6, 377.8, 0.0
61, eco2, 51531, 7748.26, 228.2, 321.2, 0.0
61, eco3, 43338, 8476.71, 276.2, 352.3, 0.0
61, eco1, 93059, 6953.02, 213.5, 374.2, 0.0
62, eco2, 51531, 7772.25, 225.8, 317.7, 0.0
62, eco3, 43338, 8471.60, 270.9, 345.7, 0.0
62, eco1, 93059, 6960.54, 211.6, 370.6, 0.0
63, eco2, 51531, 7796.88, 223.3, 314.1, 0.0
63, eco3, 43338, 8466.31, 266.8, 339.3, 0.0
63, eco1, 93059, 6968.54, 209.5, 367.2, 0.0
64, eco2, 51531, 7825.39, 221.0, 310.6, 0.0
64, eco3, 43338, 8461.27, 263.2, 333.4, 0.0
64, eco1, 93059, 6978.38, 207.1, 363.7, 0.0
65, eco2, 51531, 7852.04, 218.8, 307.1, 0.0
65, eco3, 43338, 8458.26, 260.4, 328.0, 0.0
65, eco1, 93059, 6992.42, 204.9, 360.2, 0.0
66, eco2, 51531, 7880.38, 216.3, 303.6, 0.0
66, eco3, 43338, 8457.29, 258.0, 323.3, 0.0
66, eco1, 93059, 7007.61, 202.7, 356.7, 0.0
67, eco2, 51531, 7911.94, 214.0, 300.1, 0.0
67, eco3, 43338, 8456.86, 255.7, 318.9, 0.0
67, eco1, 93059, 7025.50, 200.4, 353.2, 0.0
68, eco2, 51531, 7941.21, 211.8, 296.7, 0.0
68, eco3, 43338, 8458.02, 252.9, 314.9, 0.0
68, eco1, 93059, 7043.04, 198.1, 349.7, 0.0
69, eco2, 51531, 7965.51, 209.1, 293.2, 0.0
69, eco3, 43338, 8460.89, 250.0, 310.9, 0.0
69, eco1, 93059, 7058.58, 195.6, 346.0, 0.0
70, eco2, 51531, 7759.61, 201.5, 294.4, 0.0
70, eco3, 43338, 8375.35, 244.4, 308.5, 0.0
70, eco1, 93059, 6983.54, 190.3, 344.1, 0.0
71, eco2, 51531, 7788.93, 199.6, 288.4, 0.0
