Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,456,8066265,3466.3794585303,456,185727,444621,83149,292,86403,918,12766,129059,0,0,192324,0,101960,0,0,0,0,4340,8,0,0,0,0,0,8,0,221,0,0,0,0,55
1,1,456,8066265,3466.3794585303,456,185727,444621,610919,292,86403,918,12766,129059,0,0,192324,0,101960,0,0,0,0,4340,8,0,0,0,0,0,8,0,221,0,0,0,0,55
2,-1,489,7986385,3432.05199828105,489,184530,469169,69590,210,82167,1860,14368,145684,0,0,203199,0,91478,0,0,0,0,3,5,0,0,0,0,0,4,0,201,0,0,0,0,0
2,1,489,7986385,3432.05199828105,489,184530,469169,608349,210,82167,1860,14368,145684,0,0,203199,0,91478,0,0,0,0,3,5,0,0,0,0,0,4,0,201,0,0,0,0,0
3,-1,528,7937847.5,3411.19359690589,528,184673,505652,73865,235,87372,2134,20905,159101,0,0,217249,1,92488,0,0,0,0,267,16,0,0,0,0,0,8,0,210,0,0,0,0,1
3,1,528,7937847.5,3411.19359690589,528,184673,505652,653382,235,87372,2134,20905,159101,0,0,217249,1,92488,0,0,0,0,267,16,0,0,0,0,0,8,0,210,0,0,0,0,1
4,-1,541,8206752.5,3526.75225612376,541,184701,516595,72490,243,86187,1274,25764,154164,0,0,231176,383,90133,0,0,0,0,4,18,0,0,0,0,0,8,1,216,0,0,0,0,0
4,1,541,8206752.5,3526.75225612376,541,184701,516595,661575,243,86187,1274,25764,154164,0,0,231176,383,90133,0,0,0,0,4,18,0,0,0,0,0,8,1,216,0,0,0,0,0
5,-1,570,7984062.5,3431.05393210142,570,184818,527164,66422,235,87824,580,32341,150305,0,0,237109,164,85232,0,0,0,0,31,16,0,0,0,0,0,9,0,209,0,0,0,0,1
5,1,570,7984062.5,3431.05393210142,570,184818,527164,660008,235,87824,580,32341,150305,0,0,237109,164,85232,0,0,0,0,31,16,0,0,0,0,0,9,0,209,0,0,0,0,1
6,-1,617,7818735,3360.0064460679,617,187839,582980,70832,260,97596,572,35090,180155,0,0,251803,3120,85468,0,0,0,0,8,27,0,0,6,0,0,9,8,210,0,0,0,0,0
6,1,617,7818735,3360.0064460679,617,187839,582980,724644,260,97596,572,35090,180155,0,0,251803,3120,85468,0,0,0,0,8,27,0,0,6,0,0,9,8,210,0,0,0,0,0
7,-1,626,8615170,3702.2647185217,626,187814,598685,60553,233,92763,243,33420,236239,0,0,218898,2005,75666,0,0,0,0,4,20,0,0,6,0,0,8,5,194,0,0,0,0,0
7,1,626,8615170,3702.2647185217,626,187814,598685,719791,233,92763,243,33420,236239,0,0,218898,2005,75666,0,0,0,0,4,20,0,0,6,0,0,8,5,194,0,0,0,0,0
