Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 317, 1332, 157, 0, 0, 0, 
10, 336, 1195, 809, 17, 7, 3, 
10, 359, 1367, 328, 4, 42, 5, 
10, 392, 1173, 207, 0, 0, 0, 
10, 430, 1257, 190, 190, 759, 4, 
10, 527, 1194, 4, 0, 0, 0, 
10, 542, 1195, 91, 87, 25, 3, 
10, 549, 1185, 192, 0, 0, 0, 
10, 564, 1219, 1462, 1443, 329, 3, 
10, 645, 725, 367, 364, 15, 2, 
10, 688, 910, 218, 0, 0, 0, 
10, 723, 630, 148, 0, 0, 0, 
10, 768, 536, 58, 54, 32, 3, 
10, 790, 582, 1352, 1349, 573, 3, 
10, 854, 316, 125, 119, 17, 2, 
10, 873, 594, 315, 180, 1463, 5, 
10, 878, 462, 158, 158, 468, 4, 
10, 882, 517, 83, 49, 2, 2, 
10, 939, 565, 50, 39, 15, 3, 
10, 945, 431, 97, 97, 67, 3, 
10, 945, 577, 84, 76, 21, 3, 
10, 957, 300, 323, 0, 0, 0, 
10, 960, 403, 149, 73, 5, 2, 
10, 990, 384, 19, 0, 0, 0, 
10, 1028, 365, 14, 0, 0, 0, 
20, 268, 1462, 411, 411, 320, 3, 
20, 418, 1102, 174, 2, 9, 4, 
20, 426, 1112, 561, 551, 58, 2, 
20, 533, 1092, 30, 0, 0, 0, 
20, 581, 927, 622, 620, 643, 3, 
20, 615, 1062, 3224, 0, 0, 0, 
20, 616, 727, 1347, 1346, 1424, 3, 
20, 661, 858, 244, 244, 274, 3, 
20, 692, 622, 103, 103, 168, 3, 
20, 693, 808, 577, 577, 580, 3, 
20, 711, 681, 98, 97, 126, 3, 
20, 738, 636, 542, 542, 740, 3, 
20, 777, 423, 1312, 1310, 250, 2, 
20, 803, 540, 1150, 1145, 242, 2, 
20, 847, 467, 574, 558, 24, 1, 
20, 894, 424, 301, 300, 322, 3, 
20, 1006, 448, 615, 0, 0, 0, 
20, 1019, 437, 320, 309, 32, 2, 
30, 389, 1149, 1932, 0, 0, 0, 
30, 425, 1259, 4, 4, 7, 3, 
30, 432, 1154, 673, 673, 83, 2, 
30, 485, 1068, 30, 30, 51, 3, 
30, 502, 1213, 721, 704, 75, 2, 
30, 517, 1097, 7, 4, 2, 2, 
30, 602, 884, 101, 83, 12, 2, 
30, 632, 923, 216, 0, 0, 0, 
30, 684, 820, 48, 0, 0, 0, 
30, 725, 768, 837, 0, 0, 0, 
30, 736, 546, 54, 54, 104, 3, 
30, 796, 631, 122, 120, 207, 3, 
30, 808, 632, 248, 0, 0, 0, 
30, 840, 561, 107, 103, 11, 1, 
30, 863, 596, 1711, 1709, 2211, 3, 
30, 883, 349, 383, 383, 845, 3, 
30, 885, 387, 633, 633, 948, 3, 
30, 914, 626, 73, 73, 300, 4, 
30, 939, 363, 165, 0, 0, 0, 
