Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,498,8066265,3466.3794585303,498,185727,480123,81731,271,89526,1114,15379,145279,0,0,203119,0,102967,0,0,0,0,4470,6,0,0,0,0,0,4,0,223,0,0,0,0,38
1,1,498,8066265,3466.3794585303,498,185727,480123,643585,271,89526,1114,15379,145279,0,0,203119,0,102967,0,0,0,0,4470,6,0,0,0,0,0,4,0,223,0,0,0,0,38
2,-1,489,7977777.5,3428.35302965191,489,184522,466429,71496,215,83071,2144,14035,146148,0,0,200746,0,91778,0,0,0,0,3,9,0,0,1,0,0,4,0,201,0,0,0,0,0
2,1,489,7977777.5,3428.35302965191,489,184522,466429,609421,215,83071,2144,14035,146148,0,0,200746,0,91778,0,0,0,0,3,9,0,0,1,0,0,4,0,201,0,0,0,0,0
3,-1,478,7909915,3399.18994413408,478,184669,462533,68674,222,78441,1433,18148,147817,0,0,194684,1,90445,0,0,0,0,238,6,0,0,1,0,0,5,0,207,0,0,0,0,3
3,1,478,7909915,3399.18994413408,478,184669,462533,599881,222,78441,1433,18148,147817,0,0,194684,1,90445,0,0,0,0,238,6,0,0,1,0,0,5,0,207,0,0,0,0,3
4,-1,479,8255725,3547.79759346798,479,184710,461377,65405,209,80980,623,23453,137099,0,0,204361,371,79893,0,0,0,0,2,19,0,0,0,0,0,10,1,179,0,0,0,0,0
4,1,479,8255725,3547.79759346798,479,184710,461377,592187,209,80980,623,23453,137099,0,0,204361,371,79893,0,0,0,0,2,19,0,0,0,0,0,10,1,179,0,0,0,0,0
5,-1,471,8191980,3520.40395358831,471,184659,451171,54181,180,81515,187,28410,125142,0,0,202805,931,66336,0,0,0,0,26,21,0,0,0,0,0,9,2,148,0,0,0,0,0
5,1,471,8191980,3520.40395358831,471,184659,451171,559533,180,81515,187,28410,125142,0,0,202805,931,66336,0,0,0,0,26,21,0,0,0,0,0,9,2,148,0,0,0,0,0
6,-1,465,8358092.5,3591.78878384186,465,185182,445465,50125,179,70920,111,25353,149818,0,0,184393,1367,63626,0,0,0,0,2,14,0,0,1,0,0,6,4,154,0,0,0,0,0
6,1,465,8358092.5,3591.78878384186,465,185182,445465,545715,179,70920,111,25353,149818,0,0,184393,1367,63626,0,0,0,0,2,14,0,0,1,0,0,6,4,154,0,0,0,0,0
7,-1,508,8152145,3503.28534593898,508,185830,480655,53270,194,83781,101,29957,150860,0,0,200320,1562,67341,0,0,0,0,3,17,0,0,0,0,0,5,4,168,0,0,0,0,0
7,1,508,8152145,3503.28534593898,508,185830,480655,587195,194,83781,101,29957,150860,0,0,200320,1562,67341,0,0,0,0,3,17,0,0,0,0,0,5,4,168,0,0,0,0,0
8,-1,532,7968815,3424.50150408251,532,185815,506765,56643,224,90777,83,28907,161094,0,0,211937,2554,68052,0,0,0,0,4,21,0,0,5,0,0,8,7,183,0,0,0,0,0
8,1,532,7968815,3424.50150408251,532,185815,506765,620051,224,90777,83,28907,161094,0,0,211937,2554,68052,0,0,0,0,4,21,0,0,5,0,0,8,7,183,0,0,0,0,0
9,-1,524,8271360,3554.51654490761,524,185939,501547,50778,226,85020,113,22918,188711,0,0,189858,2095,63606,0,0,0,0,4,21,0,0,6,0,0,10,6,183,0,0,0,0,0
9,1,524,8271360,3554.51654490761,524,185939,501547,603103,226,85020,113,22918,188711,0,0,189858,2095,63606,0,0,0,0,4,21,0,0,6,0,0,10,6,183,0,0,0,0,0
10,-1,534,7939962.5,3412.10249247959,534,185990,510815,58072,278,95550,157,19664,184362,0,0,193598,2855,72698,0,0,0,0,3,17,0,0,12,0,0,13,9,227,0,0,0,0,0
10,1,534,7939962.5,3412.10249247959,534,185990,510815,626959,278,95550,157,19664,184362,0,0,193598,2855,72698,0,0,0,0,3,17,0,0,12,0,0,13,9,227,0,0,0,0,0
11,-1,545,8156320,3505.07950150408,545,186058,514032,53469,272,113672,80,19749,182075,0,0,182406,3016,66499,0,0,0,0,4,16,0,0,18,0,0,17,9,212,0,0,0,0,0
11,1,545,8156320,3505.07950150408,545,186058,514032,620970,272,113672,80,19749,182075,0,0,182406,3016,66499,0,0,0,0,4,16,0,0,18,0,0,17,9,212,0,0,0,0,0
12,-1,573,7980187.5,3429.38869789428,573,187536,554400,64322,373,122767,57,18918,207418,0,0,191556,4565,73438,0,0,1,0,2,12,0,0,53,0,0,41,15,252,0,0,0,0,0
12,1,573,7980187.5,3429.38869789428,573,187536,554400,683044,373,122767,57,18918,207418,0,0,191556,4565,73438,0,0,1,0,2,12,0,0,53,0,0,41,15,252,0,0,0,0,0
13,-1,574,7850652.5,3373.72260421143,574,187547,542513,69123,430,121375,29,23271,200917,0,0,185096,4259,76686,0,0,0,0,3,11,0,0,47,0,0,61,12,299,0,0,0,0,0
13,1,574,7850652.5,3373.72260421143,574,187547,542513,680759,430,121375,29,23271,200917,0,0,185096,4259,76686,0,0,0,0,3,11,0,0,47,0,0,61,12,299,0,0,0,0,0
14,-1,577,7872990,3383.32187365707,577,187487,544795,68846,468,126897,32,24173,199246,0,0,187710,7030,68552,0,0,0,0,1,11,0,0,64,0,0,95,26,272,0,0,0,0,0
14,1,577,7872990,3383.32187365707,577,187487,544795,682487,468,126897,32,24173,199246,0,0,187710,7030,68552,0,0,0,0,1,11,0,0,64,0,0,95,26,272,0,0,0,0,0
15,-1,556,7915330,3401.51697464547,556,185364,517817,68924,496,124995,3155,23556,190445,0,0,181646,4013,58927,0,0,1,0,3,8,0,0,68,0,0,154,13,253,0,0,0,0,0
15,1,556,7915330,3401.51697464547,556,185364,517817,655665,496,124995,3155,23556,190445,0,0,181646,4013,58927,0,0,1,0,3,8,0,0,68,0,0,154,13,253,0,0,0,0,0
16,-1,583,7910782.5,3399.56274172755,583,187327,547779,75889,596,129959,2480,27307,218642,0,0,174089,4896,66290,0,0,0,0,5,14,0,0,111,0,0,153,17,301,0,0,0,0,0
16,1,583,7910782.5,3399.56274172755,583,187327,547779,699557,596,129959,2480,27307,218642,0,0,174089,4896,66290,0,0,0,0,5,14,0,0,111,0,0,153,17,301,0,0,0,0,0
