Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,908.1363866,28.7149013,95.95788693,1503.510257,2970.201087,6.174899795,2708.734545,454.9700835,46.01744055,15.92778775,710.4745054,0.041253398,0.001128316,0.032183883, ,84510264,2672180,8929745,139915161,276403943,574630,252072128,42339061,4282337,1482224,66116047,3839,105,2995,,986.3810076,56.83682048,259.5528128,1203.829946,2831.028436,3.20807969,2377.220079,560.3329467,84.77660061,22.8201226,1593.280921,0.067015027,0.001037631,0.017538632
20, eco1,93059,843.9133346,21.73752136,96.79982592,1334.141555,3262.848215,6.174899795,2309.691916,323.7547362,20.50264886,16.03262446,790.1238784,0.011433607,0.001128316,0.016752813, ,78533731,2022872,9008095,124153879,303637392,574630,214937620,30128292,1907956,1491980,73528138,1064,105,1559,,916.8598133,38.31226321,258.24735,1041.546837,3114.820921,3.20807969,2028.15283,385.6554957,35.4821421,22.88594568,1714.51127,0.021886041,0.001037631,0.008950236
30, eco1,93059,643.4699169,14.14128671,79.6659646,1004.793303,3456.093242,6.17082711,1692.626011,168.6944089,6.256493192,16.1681084,828.9111961,0.000171934,0.001117571,0.000118205, ,59880667,1315974,7413635,93505060,321620581,574251,157514084,15698533,582223,1504588,77137647,16,104,11,,725.1045454,24.13501447,218.1820272,783.5333638,3324.087704,3.20606296,1498.804814,204.445958,11.1035769,22.93743349,1772.607227,9.04602E-05,0.001005704,5.85331E-05
40, eco1,93059,502.3861206,11.72567941,67.70074899,705.8677828,3648.29174,6.09020084,1239.264252,82.98436476,4.359513857,17.08380705,894.1498297,0.004147906,0.005845754,2.15E-05, ,46751550,1091180,6300164,65687350,339506381,566748,115324692,7722442,405692,1589802,83208689,386,544,2,,579.3501979,18.51475033,189.5782108,552.0201088,3535.181282,3.166308373,1141.749149,113.9445639,7.346536972,23.62277042,1821.024669,0.002053978,0.00295858,1.06424E-05
50, eco1,93059,487.720199,10.17888651,77.54373032,654.3969955,4037.259427,6.031087805,798.6470304,57.20080809,3.833815107,22.60683008,1076.587681,5.37E-05,0,2.15E-05, ,45386754,947237,7216142,60897530,375703325,561247,74321294,5323050,356771,2103769,100186173,5,0,2,,539.5626995,15.261829,210.1756258,501.8284396,3865.215593,3.137989017,725.0259408,78.12661232,5.924694564,27.39648695,1918.6182,2.66059E-05,0,1.06424E-05
60, eco1,93059,463.1856242,8.636230778,86.87711022,525.4435573,4354.225266,5.863548931,341.7263134,47.65593871,2.063303925,28.07517811,1243.767051,1.07E-05,0,3.22E-05, ,43103591,803679,8084697,48897252,405199849,545656,31800709,4434814,192009,2612648,115743718,1,0,3,,498.5744062,12.7472383,229.2481376,399.3407954,4165.696506,3.051764506,298.6847995,63.22322911,3.580945894,31.96981291,1991.05683,5.32119E-06,0,1.59636E-05
70, eco1,93059,471.8623669,7.886867471,89.26185538,311.4729258,4618.716889,5.522851094,172.2412878,38.77822672,1.771542785,32.75974382,1474.597954,1.07E-05,0,2.15E-05, ,43911040,733944,8306619,28985359,429813175,513951,16028602,3608663,164858,3048589,137224611,1,0,2,,517.5976119,10.52007152,235.9264133,247.3120078,4442.98906,2.876170661,145.07828,53.72098889,3.366310502,37.67612596,2100.983712,5.32119E-06,0,1.06424E-05
80, eco1,93059,495.9540077,6.942144231,89.64108791,145.3670897,4694.039276,4.975939995,109.6378642,36.34426547,1.524108361,34.03304355,1726.937416,1.07E-05,0,2.15E-05, ,46152984,646029,8341910,13527716,436822601,463056,10202790,3382161,141832,3167081,160707069,1,0,2,,551.0993412,8.173938955,238.474586,132.9268763,4544.287232,2.593477289,95.28103848,51.37530863,2.5152452,39.78587544,2257.24362,5.32119E-06,0,1.06424E-05
90, eco1,93059,513.1526236,5.462308858,77.05990823,84.47355978,4604.519219,3.978433037,50.25360255,23.78223493,1.193823273,31.3527547,2003.598975,0,0,2.15E-05, ,47753470,508317,7171118,7861025,428491954,370229,4676550,2213151,111096,2917656,186452917,0,0,2,,558.898078,6.042989868,209.1700651,82.60099613,4488.223304,2.080727726,47.03468882,33.43366608,1.973042867,36.62638883,2408.231067,0,0,1.06424E-05
100, eco1,93059,531.451606,4.785566146,68.31660559,70.847097,4565.381661,3.191663353,33.64988878,18.09109275,1.265637929,29.38957006,2302.066291,0,0,0, ,49456355,445340,6357475,6592960,424849852,297013,3131425,1683539,117779,2734964,214227987,0,0,0,,581.1816174,5.289179899,182.6686391,64.93198991,4482.067494,1.670033204,33.3472713,25.3457654,1.725309693,33.34829828,2596.091806,0,0,0
110, eco1,93059,332.1649276,3.626871125,59.7139879,42.86205526,4296.819523,2.344587842,28.93152731,21.96768717,0.577504594,27.86393578,2455.496019,0,0,0, ,30910936,337513,5556924,3988700,399857728,218185,2692339,2044291,53742,2592990,228506004,0,0,0,,380.7644523,4.086730024,170.3357509,37.34030054,4291.487756,1.228576902,29.97049934,34.64445426,0.873068409,29.93498574,2713.151366,0,0,0
120, eco1,93059,236.1099518,2.584940737,52.07694044,24.15874875,4182.748246,1.638863517,26.99744248,21.23639841,0.32494439,27.1423613,2675.733373,0,0,0, ,21972156,240552,4846228,2248189,389242369,152511,2512355,1976238,30239,2525841,249001072,0,0,0,,278.1687614,2.979763526,157.3312705,19.85114512,4247.888697,0.861170235,28.96783343,35.85844579,0.545767528,27.93698118,2928.205419,0,0,0
130, eco1,93059,214.7983107,1.543902256,44.25074415,16.65995766,4295.884654,1.027842551,27.20864183,20.63157782,0.238687284,26.86737446,3016.796892,0,0,0, ,19988916,143674,4117930,1550359,399770730,95650,2532009,1919954,22212,2500251,280740102,0,0,0,,251.5291654,1.904942318,131.2043283,12.92807352,4438.338976,0.541499936,28.46101699,31.61424588,0.381369461,27.50429952,3273.677829,0,0,0
0, eco2,51531,1204.408822,185.7434166,682.5883449,1130.324154,2630.63715,0.00304671,2383.804564,727.3343424,232.3187596,39.57957346,1445.751606,0.012012187,0.001668898,0.059653413, ,62064391,9571544,35174460,58246734,135559363,157,122839833,37480266,11971618,2039575,74501026,619,86,3074,,,,,,,,,,,,,,,
10, eco2,51531,1202.54833,144.01535,705.143273,1052.326444,2922.092294,0.00304671,2228.222681,678.5241505,114.1376259,39.58196037,1492.136753,0.125206187,0.001668898,0, ,61968518,7421255,36336738,54227434,150578338,157,114822543,34965028,5881626,2039698,76891299,6452,86,0,,,,,,,,,,,,,,,
20, eco2,51531,1090.819837,92.77169083,695.3626361,877.1798141,3210.857542,0.00304671,1836.660185,448.7845569,48.73522734,39.54167394,1511.102792,0.034658749,0.001668898,0, ,56211037,4780618,35832732,45201953,165458700,157,94644936,23126317,2511375,2037622,77868638,1786,86,0,,,,,,,,,,,,,,,
30, eco2,51531,862.5537638,58.80623314,593.5855893,666.7369739,3441.534804,0.00304671,1259.411694,247.8982942,18.01451553,39.38256583,1483.334789,0,0.001571869,0, ,44448258,3030344,30588059,34357623,177345730,157,64898744,12774447,928306,2029423,76437725,0,81,0,,,,,,,,,,,,,,,
40, eco2,51531,689.1095069,44.03326153,520.7664513,481.3545827,3701.810464,0.00304671,996.6468922,153.7761542,15.2917079,40.03832644,1485.504706,0,0.000213464,0, ,35510502,2269078,26835616,24804683,190757995,157,51358211,7924239,787997,2063215,76549543,0,11,0,,,,,,,,,,,,,,,
50, eco2,51531,641.0219285,35.59234247,568.6055772,423.1068871,4032.118201,0.00304671,612.7899129,119.5751878,11.9591314,43.21455046,1573.563273,0,0,0, ,33032501,1834109,29300814,21803121,207779083,157,31577677,6161829,616266,2226889,81087289,0,0,0,,,,,,,,,,,,,,,
60, eco2,51531,588.9575983,29.57530419,615.5426636,332.2560012,4310.359803,0.00304671,215.3164503,97.46407017,7.762162582,48.74089383,1682.372145,0,0,0, ,30349574,1524045,31719529,17121484,222117151,157,11095472,5022421,399992,2511667,86694319,0,0,0,,,,,,,,,,,,,,,
70, eco2,51531,606.7679067,23.14084726,632.8973628,213.2294153,4547.624517,0.00304671,80.04026702,85.47163843,7.603694863,57.12237294,1890.965128,0,0,0, ,31267357,1192471,32613834,10987925,234343639,157,4124555,4404439,391826,2943573,97443324,0,0,0,,,,,,,,,,,,,,,
80, eco2,51531,644.1061497,16.61993751,640.9132949,120.6798432,4614.275426,0.002969087,55.09557354,81.90200074,5.429062118,60.52366537,2150.81646,0,0,0, ,33191434,856442,33026903,6218753,237778227,153,2839130,4220492,279765,3118845,110833723,0,0,0,,,,,,,,,,,,,,,
90, eco2,51531,644.3933749,11.75053851,569.221556,68.59372028,4574.26877,0.002775029,29.85923037,53.60328734,4.472220605,56.05200753,2388.346355,0,0,0, ,33206235,605517,29332556,3534703,235716644,143,1538676,2762231,230458,2888416,123073876,0,0,0,,,,,,,,,,,,,,,
100, eco2,51531,659.0994547,10.28268421,498.8358852,43.95088393,4550.999534,0.002425724,20.50160098,40.60763424,3.569715317,49.90914207,2636.864567,0,0,0, ,33964054,529877,25705512,2264833,234517557,125,1056468,2092552,183951,2571868,135880268,0,0,0,,,,,,,,,,,,,,,
110, eco2,51531,382.3585026,8.056703732,469.317343,20.3871456,4379.127651,0.001921174,16.42993538,58.17595234,1.84809144,41.8533116,2807.389668,0,0,0, ,19703316,415170,24184392,1050570,225660827,99,846651,2997865,95234,2156743,144667597,0,0,0,,,,,,,,,,,,,,,
120, eco2,51531,238.468029,5.975936815,437.1354913,7.909413751,4364.349188,0.001436029,13.86509092,62.70272263,1.240728882,36.74234927,3062.543013,0,0,0, ,12288496,307946,22526029,407580,224899278,74,714482,3231134,63936,1893370,157815904,0,0,0,,,,,,,,,,,,,,,
130, eco2,51531,219.333605,4.013331781,365.1630281,4.125594302,4601.470591,0.000853855,11.86920494,52.92101842,0.81620772,35.60555782,3446.815043,0,0,0, ,11302480,206811,18817216,212596,237118381,44,611632,2727073,42060,1834790,177617826,0,0,0,,,,,,,,,,,,,,,
0, eco3,43338,874.3097282,16.20693156,70.70974664,811.6579676,2119.451636,0.648414786,1892.973811,675.9408602,229.346855,17.59751258,3140.235613,0.003161198,9.23E-05,0.0215746, ,37890835,702376,3064419,35175633,91852795,28101,82037699,29293925,9939434,762641,136091531,137,4,935,,,,,,,,,,,,,,,
10, eco3,43338,897.3609304,13.56303936,81.00876829,740.4762333,2423.905833,0.648414786,1842.529512,646.041834,133.0918363,17.68927962,3609.182496,0.053140431,9.23E-05,0.006945406, ,38889828,587795,3510758,32090759,105047231,28101,79851544,27998161,5767934,766618,156414751,2303,4,301,,,,,,,,,,,,,,,
20, eco3,43338,866.6496608,9.148022521,85.16962019,608.7032627,2682.772025,0.648414786,1651.302529,443.5104758,51.88880428,17.79749873,3941.296276,0.029143015,9.23E-05,0.002838156, ,37558863,396457,3691081,26379982,116265974,28101,71564149,19220857,2248757,771308,170807898,1263,4,123,,,,,,,,,,,,,,,
30, eco3,43338,736.9634501,4.368614149,69.2421893,447.3020213,2900.983963,0.648414786,1367.265748,229.547741,13.29419909,17.9190318,4142.949813,2.31E-05,9.23E-05,0, ,31938522,189327,3000818,19385175,125722843,28101,59254563,9948140,576144,776575,179547159,1,4,0,,,,,,,,,,,,,,,
40, eco3,43338,614.1047579,2.750057686,57.4847478,305.6902026,3094.170751,0.649153168,1104.890189,133.0632009,4.313327795,18.1448844,4210.237944,0,2.31E-05,0, ,26614072,119182,2491274,13248002,134095172,28133,47883731,5766693,186931,786363,182463292,0,1,0,,,,,,,,,,,,,,,
50, eco3,43338,530.2432969,2.002376667,68.7832618,267.8241728,3297.333241,0.653283493,700.3946652,73.77587798,3.239166551,18.87279062,4136.984148,0,0,0, ,22979684,86779,2980929,11606964,142899828,28312,30353704,3197299,140379,817909,179288619,0,0,0,,,,,,,,,,,,,,,
60, eco3,43338,467.0941437,1.565346809,75.63611611,208.3294338,3588.859961,0.639138862,305.3914809,55.93659144,1.868083437,20.39106558,3962.741497,0,0,0, ,20242926,67839,3277918,9028581,155534013,27699,13235056,2424180,80959,883708,171737291,0,0,0,,,,,,,,,,,,,,,
70, eco3,43338,509.7763395,1.167589644,78.83903272,150.0661544,3941.234805,0.609280539,164.0849601,48.05427108,1.752272832,25.11045734,3695.734275,0,0,0, ,22092687,50601,3416726,6503567,170805234,26405,7111114,2082576,75940,1088237,160165732,0,0,0,,,,,,,,,,,,,,,
80, eco3,43338,558.9224007,0.776247173,79.54310305,120.7765241,4139.507661,0.557893765,112.2353362,47.35350039,1.178826896,27.4805944,3522.508814,0,0,0, ,24222579,33641,3447239,5234213,179397983,24178,4864055,2052206,51088,1190954,152658487,0,0,0,,,,,,,,,,,,,,,
90, eco3,43338,555.4684803,0.503322719,64.72929069,95.23540542,4136.190664,0.47660252,60.5452259,30.17536573,0.674604273,24.85236974,3300.735036,0,0,0, ,24072893,21813,2805238,4127312,179254231,20655,2623909,1307740,29236,1077052,143047255,0,0,0,,,,,,,,,,,,,,,
100, eco3,43338,595.3179658,0.433061055,52.27663944,77.17813466,4221.204739,0.385527712,47.97159537,22.77650099,0.519267156,22.15716,3178.967327,0,0,0, ,25799890,18768,2265565,3344746,182938571,16708,2078993,987088,22504,960247,137770086,0,0,0,,,,,,,,,,,,,,,
110, eco3,43338,483.2260372,0.353684988,52.3683834,45.64165398,4175.830818,0.290737921,48.3018598,33.88497393,0.348377867,20.21064655,3154.356662,0,0,0, ,20942050,15328,2269541,1978018,180972156,12600,2093306,1468507,15098,875889,136703509,0,0,0,,,,,,,,,,,,,,,
120, eco3,43338,415.6870875,0.264963773,50.64133093,24.80079838,4249.286538,0.213507776,51.15672158,35.33697909,0.193594536,19.17324288,3310.600674,0,0,0, ,18015047,11483,2194694,1074817,184155580,9253,2217030,1531434,8390,830930,143474812,0,0,0,,,,,,,,,,,,,,,
130, eco3,43338,368.6828418,0.173219807,39.73005215,15.38123587,4550.257418,0.140038765,50.87869768,29.86236098,0.170704693,19.23916655,3619.405579,0,0,0, ,15977977,7507,1721821,666592,197199056,6069,2204981,1294175,7398,833787,156857799,0,0,0,,,,,,,,,,,,,,,
