Time, Ecoregion, NumSites,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM,,BF,SM,YB,PB,WS,JP,QA,NWC,S,BA,BS,EWP,RO,RM
0, eco1,93059,898.02723,33.84767728,89.23529159,1554.161027,2677.739165,6.174899795,2899.600458,434.4089019,147.2657454,15.88608302,622.4431597,0.007984182,0.001128316,0.07089051, ,83569516,3149831,8304147,144628671,249187729,574630,269833919,40425658,13704403,1478343,57923938,743,105,6597,,976.5694415,71.43028713,247.6641373,1266.71405,2536.077045,3.20807969,2526.028325,570.4304255,189.5164904,22.77765421,1428.826439,0.007976459,0.001037631,0.056436508
10, eco1,93059,898.315488,28.51143898,95.92201721,1487.055019,2959.440258,6.174899795,2693.937556,430.4153387,44.26597105,15.86799772,708.0885352,0.025779344,0.006028434,0.040888039, ,83596341,2653246,8926407,138383853,275402551,574630,250695135,40054021,4119347,1476660,65894011,2399,561,3805,,975.7531874,57.47446362,259.3973171,1189.859068,2821.480482,3.20807969,2355.829993,549.3842748,82.7966136,22.79419246,1584.792814,0.041505257,0.003464093,0.021896684
20, eco1,93059,848.6902718,21.98910369,97.71168828,1318.123158,3247.16007,6.174899795,2297.879109,297.9729849,21.23256214,16.00795194,784.8502778,0.014420959,0.001139062,0.023522711, ,78978268,2046284,9092952,122663223,302177469,574630,213838332,27729068,1975881,1489684,73037382,1342,106,2189,,920.6171512,40.11928505,259.1625889,1032.891139,3103.596106,3.20807969,2014.115933,365.4986058,36.65023839,22.90677813,1692.692223,0.01986399,0.001048274,0.012494147
30, eco1,93059,667.5881108,14.37612697,83.28946152,1047.312716,3450.816439,6.176339741,1705.79744,164.1099625,6.685339408,16.19144844,827.8113885,0.012884299,0.000902653,0.008983548, ,62125082,1337828,7750834,97461874,321129527,574764,158739804,15271909,622131,1506760,77035300,1199,84,836,,741.9856488,24.63749415,225.9923056,816.8345696,3299.759626,3.210548721,1521.807022,201.6017996,12.26896471,22.77423268,1739.12955,0.006576987,0.011860925,0.004523009
40, eco1,93059,530.5915709,11.73934816,73.71153784,765.9470766,3615.812947,6.141071793,1249.785889,78.85788586,4.678977853,16.65326298,878.7575946,0.009295178,0.006039179,0.000322376, ,49376321,1092452,6859522,71278269,336483937,571482,116303825,7338436,435421,1549736,81776303,865,562,30,,598.5879858,18.8038983,205.7853753,601.0671374,3482.184682,3.193164403,1157.59651,113.3466594,8.112005662,23.15408561,1768.486255,0.004656038,0.008726746,0.000207526
50, eco1,93059,533.7493955,9.993928583,83.42839489,708.7916913,3981.33309,6.231530534,798.34145,52.80013755,4.014216787,21.84733341,1055.722757,0.00530846,0.000171934,0.000333122, ,49670185,930025,7763763,65959446,370498876,579900,74292857,4913528,373559,2033091,98244504,494,16,31,,579.6504991,15.6406975,225.3069101,548.0757365,3795.536115,3.240916734,727.1768603,73.17502448,7.067903665,26.72935912,1860.198337,0.004640075,0.006124686,0.000212847
60, eco1,93059,514.7171149,9.255751727,93.04230649,560.6794292,4251.232057,6.112025704,343.6479008,43.36623003,2.658453239,27.1761893,1215.378373,0,1.07E-05,0.002299616, ,47899060,861331,8658424,52176267,395615404,568779,31979530,4035618,247393,2528989,113101896,0,1,214,,546.0225618,13.64063365,244.6426823,430.1651962,4054.516607,3.181606786,307.8610106,58.18637457,4.608350006,30.78211868,1926.745594,0,5.85331E-05,0.001186625
70, eco1,93059,511.5864881,8.522356784,96.14373677,326.8927992,4520.142662,5.894077951,181.2220419,37.58669231,2.660935536,31.74530137,1456.216132,0,1.07E-05,0.001633372, ,47607727,793082,8947040,30420317,420639956,548497,16864342,3497780,247624,2954186,135514017,0,1,152,,553.2526287,11.34361032,251.7131029,265.0293463,4340.682953,3.080296709,164.607488,51.19270146,5.384030054,36.48533481,2063.569559,0,3.72483E-05,0.000835426
80, eco1,93059,507.1749428,7.631309169,96.50065013,154.693517,4625.512621,5.369711688,113.6390569,35.84396995,3.075285572,33.59060381,1719.907628,0,1.07E-05,8.60E-05, ,47197193,710162,8980254,14395624,430445579,499700,10575137,3335604,286183,3125908,160052884,0,1,8,,556.3921289,8.926594228,252.8551733,142.3428866,4472.562508,2.808650121,110.6344451,49.63806351,4.789116044,39.15161126,2245.988022,0,2.12847E-05,6.91754E-05
90, eco1,93059,499.2740842,6.760485284,86.79884804,85.64180789,4598.22345,4.507323311,48.42669704,22.96709614,2.105642657,31.64375289,2023.736103,0,0,7.52E-05, ,46461947,629124,8077414,7969741,427906076,419447,4506540,2137295,195949,2944736,188326858,0,0,7,,532.247366,7.014867396,221.2073613,84.26402133,4432.7587,2.365161126,56.25763058,31.90096207,3.359446171,36.31074135,2400.999431,0,1.59636E-05,6.38542E-05
100, eco1,93059,458.3767717,5.926337055,77.78501811,62.01164852,4577.048679,3.66703919,26.04292975,17.1500231,2.075156621,29.95573776,2329.685404,0,0,0, ,42656084,551499,7238596,5770742,425935573,341251,2423529,1595964,193112,2787651,216798194,0,0,0,,489.6367492,6.137366438,194.7593014,60.68977481,4440.768991,1.931127879,39.01484611,24.18610319,2.967625899,33.32620472,2604.398493,0,5.32119E-06,0
110, eco1,93059,260.1126705,4.658926058,69.09058769,31.1618758,4329.409966,2.521163993,18.55506722,21.17068741,1.067978379,28.41510225,2478.755789,0,0,0, ,24205825,433555,6429501,2899893,402890562,234617,1726716,1970123,99385,2644281,230670535,0,0,0,,297.5419788,4.84801094,180.4557118,31.76789515,4288.207303,1.338379592,33.37165829,32.97174982,1.880039164,30.21030395,2738.072373,0,0,0
120, eco1,93059,186.5742486,3.321323032,60.43358514,15.05424516,4205.089717,1.860260695,15.51513556,20.84708626,0.544095681,27.59286044,2695.807488,0,0,0, ,17362413,309079,5623889,1400933,391321444,173114,1443823,1940009,50633,2567764,250869149,0,0,0,,223.7990826,3.51013154,165.6628124,15.99812162,4241.531485,0.99251309,31.11321889,33.8170842,1.188008173,28.07830126,2952.507535,0,0,0
