Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10585.93, 1.0, 469.7, 0.0
0, eco3, 43338, 9794.46, 1.3, 455.6, 0.0
0, eco1, 93059, 9314.80, 0.5, 537.3, 0.0
1, eco2, 51531, 10684.95, 416.9, 471.4, 0.0
1, eco3, 43338, 9936.93, 454.0, 459.9, 0.0
1, eco1, 93059, 9410.61, 391.7, 540.4, 0.0
2, eco2, 51531, 10706.45, 415.1, 472.2, 0.0
2, eco3, 43338, 10025.71, 455.0, 463.2, 0.0
2, eco1, 93059, 9441.27, 390.6, 542.6, 0.0
3, eco2, 51531, 10720.16, 413.8, 472.6, 0.0
3, eco3, 43338, 10100.14, 456.0, 466.2, 0.0
3, eco1, 93059, 9467.09, 389.5, 544.1, 0.0
4, eco2, 51531, 10704.70, 413.2, 472.8, 0.0
4, eco3, 43338, 10152.34, 457.7, 468.9, 0.0
4, eco1, 93059, 9480.39, 388.7, 545.2, 0.0
5, eco2, 51531, 10698.54, 412.3, 473.0, 0.0
5, eco3, 43338, 10207.66, 459.5, 471.7, 0.0
5, eco1, 93059, 9492.05, 387.9, 546.0, 0.0
6, eco2, 51531, 10695.17, 411.1, 472.9, 0.0
6, eco3, 43338, 10262.35, 461.1, 474.4, 0.0
6, eco1, 93059, 9504.22, 386.8, 546.5, 0.0
7, eco2, 51531, 10679.31, 409.8, 472.8, 0.0
7, eco3, 43338, 10309.96, 462.6, 477.0, 0.0
7, eco1, 93059, 9508.14, 385.6, 546.8, 0.0
8, eco2, 51531, 10653.10, 408.4, 472.6, 0.0
8, eco3, 43338, 10351.30, 463.8, 479.6, 0.0
8, eco1, 93059, 9504.50, 384.3, 546.8, 0.0
9, eco2, 51531, 10628.39, 407.0, 472.3, 0.0
9, eco3, 43338, 10389.27, 464.9, 482.1, 0.0
9, eco1, 93059, 9496.96, 382.9, 546.7, 0.0
10, eco2, 51531, 10578.86, 405.5, 472.4, 0.0
10, eco3, 43338, 10405.56, 465.7, 484.8, 0.0
10, eco1, 93059, 9448.89, 380.6, 546.9, 0.0
11, eco2, 51531, 10541.66, 404.2, 472.1, 0.0
11, eco3, 43338, 10428.85, 466.5, 487.1, 0.0
11, eco1, 93059, 9432.51, 378.8, 546.1, 0.0
12, eco2, 51531, 10486.74, 402.8, 471.8, 0.0
12, eco3, 43338, 10440.37, 467.4, 489.4, 0.0
12, eco1, 93059, 9407.40, 377.4, 545.3, 0.0
13, eco2, 51531, 10440.54, 401.0, 471.5, 0.0
13, eco3, 43338, 10450.29, 467.6, 491.5, 0.0
13, eco1, 93059, 9375.50, 375.1, 544.2, 0.0
14, eco2, 51531, 10377.61, 399.1, 471.0, 0.0
14, eco3, 43338, 10450.82, 468.3, 493.6, 0.0
14, eco1, 93059, 9343.40, 373.7, 543.3, 0.0
15, eco2, 51531, 10324.15, 397.5, 470.6, 0.0
15, eco3, 43338, 10469.82, 468.6, 495.7, 0.0
15, eco1, 93059, 9321.76, 372.2, 542.4, 0.0
16, eco2, 51531, 10268.27, 395.3, 470.0, 0.0
16, eco3, 43338, 10479.11, 468.8, 497.6, 0.0
16, eco1, 93059, 9300.70, 369.8, 541.3, 0.0
17, eco2, 51531, 10214.40, 393.7, 469.5, 0.0
17, eco3, 43338, 10480.70, 469.3, 499.5, 0.0
17, eco1, 93059, 9269.84, 367.6, 540.0, 0.0
18, eco2, 51531, 10163.02, 392.0, 469.0, 0.0
18, eco3, 43338, 10481.60, 469.7, 501.5, 0.0
18, eco1, 93059, 9236.91, 366.5, 539.0, 0.0
19, eco2, 51531, 10097.23, 390.5, 468.5, 0.0
19, eco3, 43338, 10483.27, 470.0, 503.3, 0.0
19, eco1, 93059, 9203.45, 365.3, 538.0, 0.0
20, eco2, 51531, 9851.86, 339.2, 455.5, 0.0
20, eco3, 43338, 10358.92, 452.2, 502.3, 0.0
20, eco1, 93059, 9025.75, 297.8, 519.8, 0.0
21, eco2, 51531, 9695.35, 338.2, 442.9, 0.0
21, eco3, 43338, 10311.19, 450.1, 498.9, 0.0
21, eco1, 93059, 8900.91, 297.9, 504.2, 0.0
22, eco2, 51531, 9554.37, 337.4, 433.3, 0.0
22, eco3, 43338, 10268.32, 450.3, 496.8, 0.0
22, eco1, 93059, 8783.18, 299.3, 492.6, 0.0
23, eco2, 51531, 9414.26, 336.5, 426.0, 0.0
23, eco3, 43338, 10224.62, 450.3, 495.6, 0.0
23, eco1, 93059, 8667.90, 300.2, 484.0, 0.0
24, eco2, 51531, 9277.28, 335.2, 420.3, 0.0
24, eco3, 43338, 10181.78, 450.3, 494.9, 0.0
24, eco1, 93059, 8554.05, 300.6, 477.6, 0.0
25, eco2, 51531, 9149.16, 333.5, 415.8, 0.0
25, eco3, 43338, 10142.23, 449.8, 494.7, 0.0
25, eco1, 93059, 8445.86, 300.5, 472.8, 0.0
26, eco2, 51531, 9054.85, 331.8, 412.1, 0.0
26, eco3, 43338, 10110.01, 449.2, 494.6, 0.0
26, eco1, 93059, 8350.28, 300.6, 469.2, 0.0
