Time, Zone, Population, TotalForage(kg), K, EffectivePop, DamagedSites, BiomassRemoved(g/m2), BiomassMortality(g/m2), CohortsKilled, BiomassRemoved_BF, BiomassRemoved_SM, BiomassRemoved_YB, BiomassRemoved_PB, BiomassRemoved_WS, BiomassRemoved_JP, BiomassRemoved_QA, BiomassRemoved_NWC, BiomassRemoved_S, BiomassRemoved_BA, BiomassRemoved_BS, BiomassRemoved_EWP, BiomassRemoved_RO, BiomassRemoved_RM, CohortsKilled_BF, CohortsKilled_SM, CohortsKilled_YB, CohortsKilled_PB, CohortsKilled_WS, CohortsKilled_JP, CohortsKilled_QA, CohortsKilled_NWC, CohortsKilled_S, CohortsKilled_BA, CohortsKilled_BS, CohortsKilled_EWP, CohortsKilled_RO, CohortsKilled_RM
1,-1,449,8066265,3466.3794585303,449,185727,438257,84442,297,85951,924,12594,123101,0,0,192121,0,103671,0,0,0,0,4337,7,0,0,0,0,0,7,0,236,0,0,0,0,47
1,1,449,8066265,3466.3794585303,449,185727,438257,607141,297,85951,924,12594,123101,0,0,192121,0,103671,0,0,0,0,4337,7,0,0,0,0,0,7,0,236,0,0,0,0,47
2,-1,472,8003952.5,3439.60141813494,472,184448,453917,78250,244,80875,1797,13088,143053,0,0,194296,0,99055,0,0,0,0,3,6,0,0,1,0,0,7,0,230,0,0,0,0,0
2,1,472,8003952.5,3439.60141813494,472,184448,453917,610417,244,80875,1797,13088,143053,0,0,194296,0,99055,0,0,0,0,3,6,0,0,1,0,0,7,0,230,0,0,0,0,0
3,-1,511,7938342.5,3411.40631714654,511,184457,486062,71975,238,84864,1879,19709,153022,0,0,208543,0,89781,0,0,0,0,239,13,0,0,0,0,0,12,0,209,0,0,0,0,4
3,1,511,7938342.5,3411.40631714654,511,184457,486062,630012,238,84864,1879,19709,153022,0,0,208543,0,89781,0,0,0,0,239,13,0,0,0,0,0,12,0,209,0,0,0,0,4
4,-1,499,8266890,3552.59561667383,499,184558,480836,65311,210,83119,922,22424,141580,0,0,217667,49,80383,0,0,0,0,3,22,0,0,0,0,0,8,0,180,0,0,0,0,0
4,1,499,8266890,3552.59561667383,499,184558,480836,611458,210,83119,922,22424,141580,0,0,217667,49,80383,0,0,0,0,3,22,0,0,0,0,0,8,0,180,0,0,0,0,0
5,-1,517,8472297.5,3640.86699613236,517,184549,499048,60649,206,83697,405,26820,168933,0,0,204185,417,75209,0,0,0,0,31,21,0,0,1,0,0,3,1,179,0,0,0,0,1
5,1,517,8472297.5,3640.86699613236,517,184549,499048,620346,206,83697,405,26820,168933,0,0,204185,417,75209,0,0,0,0,31,21,0,0,1,0,0,3,1,179,0,0,0,0,1
6,-1,513,7957250,3419.5315857327,513,185240,491737,62949,221,88861,318,31006,148219,0,0,211246,818,74215,0,0,0,0,3,29,0,0,0,0,0,10,2,180,0,0,0,0,0
6,1,513,7957250,3419.5315857327,513,185240,491737,617635,221,88861,318,31006,148219,0,0,211246,818,74215,0,0,0,0,3,29,0,0,0,0,0,10,2,180,0,0,0,0,0
7,-1,542,8367922.5,3596.01310700473,542,186101,519819,57634,217,87189,161,30574,184615,0,0,204125,1271,69511,0,0,0,0,7,24,0,0,2,0,0,10,3,178,0,0,0,0,0
7,1,542,8367922.5,3596.01310700473,542,186101,519819,635087,217,87189,161,30574,184615,0,0,204125,1271,69511,0,0,0,0,7,24,0,0,2,0,0,10,3,178,0,0,0,0,0
8,-1,561,8032872.5,3452.0294370434,561,186340,529458,63404,255,91994,142,29420,174197,0,0,219329,2470,75308,0,0,0,0,2,27,0,0,5,0,0,6,7,210,0,0,0,0,0
8,1,561,8032872.5,3452.0294370434,561,186340,529458,656266,255,91994,142,29420,174197,0,0,219329,2470,75308,0,0,0,0,2,27,0,0,5,0,0,6,7,210,0,0,0,0,0
9,-1,569,7911565,3399.89901160292,569,187705,550701,63723,292,95881,173,25823,191535,0,0,219605,2858,78546,0,0,1,0,2,19,0,0,19,0,0,9,8,237,0,0,0,0,0
9,1,569,7911565,3399.89901160292,569,187705,550701,678147,292,95881,173,25823,191535,0,0,219605,2858,78546,0,0,1,0,2,19,0,0,19,0,0,9,8,237,0,0,0,0,0
10,-1,575,7758937.5,3334.3091963902,575,187691,541116,65533,328,95453,183,21382,201172,0,0,206754,2661,79041,0,0,0,0,3,15,0,0,34,0,0,17,7,255,0,0,0,0,0
10,1,575,7758937.5,3334.3091963902,575,187691,541116,672182,328,95453,183,21382,201172,0,0,206754,2661,79041,0,0,0,0,3,15,0,0,34,0,0,17,7,255,0,0,0,0,0
11,-1,568,7716827.5,3316.21293510958,568,187014,537386,64785,345,102681,80,24154,201534,0,0,197738,3197,72782,0,0,1,0,4,12,0,0,52,0,0,33,9,238,0,0,0,0,1
11,1,568,7716827.5,3316.21293510958,568,187014,537386,666956,345,102681,80,24154,201534,0,0,197738,3197,72782,0,0,1,0,4,12,0,0,52,0,0,33,9,238,0,0,0,0,1
12,-1,605,7697050,3307.7137945853,605,187459,565989,76056,450,110652,85,21846,219624,0,0,199400,5447,84986,0,0,1,0,4,15,0,0,68,0,0,41,17,309,0,0,0,0,0
12,1,605,7697050,3307.7137945853,605,187459,565989,718101,450,110652,85,21846,219624,0,0,199400,5447,84986,0,0,1,0,4,15,0,0,68,0,0,41,17,309,0,0,0,0,0
13,-1,612,7750200,3330.55436183928,612,187416,568041,75822,474,125704,158,21224,215016,0,0,192101,8051,81603,0,0,1,0,5,8,1,0,55,0,0,68,24,318,0,0,0,0,0
13,1,612,7750200,3330.55436183928,612,187416,568041,719685,474,125704,158,21224,215016,0,0,192101,8051,81603,0,0,1,0,5,8,1,0,55,0,0,68,24,318,0,0,0,0,0
