"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",79392,"HRDWD",5,225.5
"2",79392,"HRDWD",5,225.5
"3",79392,"HRDWD",10,145.75
"4",79392,"HRDWD",10,145.75
"5",79392,"HRDWD",15,152.13
"6",79392,"HRDWD",15,152.13
"7",79392,"HRDWD",20,222.75
"8",79392,"HRDWD",20,222.75
"9",79392,"ACSA3",10,27.17
"10",79392,"POTR5",5,17.38
"11",79392,"POTR5",10,21.45
"12",80627,"SFTWD",60,242.66
"13",80627,"SFTWD",60,242.66
"14",80627,"ABBA",15,37.73
"15",80627,"PIST",35,210.43
"16",80627,"PIST",40,78.65
"17",80627,"PIST",45,555.06
"18",80627,"PIST",50,277.75
"19",80627,"PIST",55,100.87
"20",78796,"HRDWD",5,49.17
"21",78796,"HRDWD",5,49.17
"22",78796,"HRDWD",10,47.41
"23",78796,"HRDWD",10,47.41
"24",78796,"POTR5",5,118.47
"25",78796,"POTR5",10,194.7
"26",27667,"HRDWD",5,64.68
"27",27667,"HRDWD",5,64.68
"28",27667,"HRDWD",15,189.75
"29",27667,"HRDWD",15,189.75
"30",27667,"HRDWD",20,244.31
"31",27667,"HRDWD",20,244.31
"32",27667,"HRDWD",25,781.99
"33",27667,"HRDWD",25,781.99
"34",27667,"HRDWD",30,182.38
"35",27667,"HRDWD",30,182.38
"36",27667,"HRDWD",35,547.91
"37",27667,"HRDWD",35,547.91
"38",27667,"HRDWD",40,1388.97
"39",27667,"HRDWD",40,1388.97
"40",27667,"HRDWD",45,198.66
"41",27667,"HRDWD",45,198.66
"42",27667,"HRDWD",50,600.49
"43",27667,"HRDWD",50,600.49
"44",27667,"HRDWD",55,714.78
"45",27667,"HRDWD",55,714.78
"46",27667,"HRDWD",60,1150.16
"47",27667,"HRDWD",60,1150.16
"48",27667,"HRDWD",65,1922.8
"49",27667,"HRDWD",65,1922.8
"50",27667,"HRDWD",70,563.97
"51",27667,"HRDWD",70,563.97
"52",27667,"ABBA",5,6.16
"53",27667,"ABBA",10,16.61
"54",27667,"ABBA",15,113.52
"55",27667,"ABBA",20,265.76
"56",27667,"ABBA",25,298.54
"57",27667,"ABBA",30,743.49
"58",27667,"ABBA",35,931.59
"59",27667,"ABBA",40,1053.91
"60",27667,"ABBA",45,356.84
"61",27667,"BEPA",10,32.34
"62",27667,"BEPA",55,237.71
"63",27667,"POTR5",40,188.43
"64",27667,"POTR5",45,234.41
"65",26907,"HRDWD",50,17.93
"66",26907,"HRDWD",50,17.93
"67",26907,"HRDWD",55,58.85
"68",26907,"HRDWD",55,58.85
"69",26907,"SFTWD",5,68.42
"70",26907,"SFTWD",5,68.42
"71",26907,"SFTWD",10,162.03
"72",26907,"SFTWD",10,162.03
"73",26907,"SFTWD",15,77.22
"74",26907,"SFTWD",15,77.22
"75",26907,"SFTWD",20,60.5
"76",26907,"SFTWD",20,60.5
"77",26907,"SFTWD",25,111.21
"78",26907,"SFTWD",25,111.21
"79",26907,"SFTWD",30,264.55
"80",26907,"SFTWD",30,264.55
"81",26907,"SFTWD",35,458.26
"82",26907,"SFTWD",35,458.26
"83",26907,"SFTWD",40,35.75
"84",26907,"SFTWD",40,35.75
"85",26907,"SFTWD",45,362.01
"86",26907,"SFTWD",45,362.01
"87",26907,"SFTWD",50,101.2
"88",26907,"SFTWD",50,101.2
"89",26907,"ABBA",5,16.61
"90",26907,"ABBA",10,33.22
"91",26907,"ABBA",15,43.12
"92",26907,"ABBA",20,166.1
"93",26907,"ABBA",25,387.86
"94",26907,"ABBA",30,420.86
"95",26907,"ABBA",35,837.54
"96",26907,"ABBA",40,169.18
"97",26907,"PIST",5,7.04
"98",26907,"PIST",15,26.95
"99",26907,"PIST",20,54.45
"100",26907,"PIST",45,63.8
"101",26907,"PIST",50,169.07
"102",26907,"PIST",70,827.64
"103",26907,"THOC2",75,102.19
"104",26128,"HRDWD",5,59.29
"105",26128,"HRDWD",5,59.29
"106",26128,"HRDWD",10,36.63
"107",26128,"HRDWD",10,36.63
"108",26128,"HRDWD",15,102.3
"109",26128,"HRDWD",15,102.3
"110",26128,"HRDWD",20,255.42
"111",26128,"HRDWD",20,255.42
"112",26128,"HRDWD",25,151.58
"113",26128,"HRDWD",25,151.58
"114",26128,"HRDWD",50,223.41
"115",26128,"HRDWD",50,223.41
"116",26128,"HRDWD",55,313.61
"117",26128,"HRDWD",55,313.61
"118",26128,"ABBA",5,130.35
"119",26128,"ABBA",10,81.07
"120",26128,"ABBA",15,223.3
"121",26128,"ABBA",20,319.99
"122",26128,"ABBA",25,471.24
"123",26128,"ABBA",30,1751.42
"124",26128,"ABBA",35,1231.23
"125",26128,"ABBA",40,168.63
"126",26128,"ABBA",45,662.09
"127",26128,"THOC2",25,51.59
"128",26128,"THOC2",75,36.85
"129",26128,"THOC2",80,321.64
"130",26128,"THOC2",95,424.05
"131",26128,"POTR5",40,93.28
"132",26143,"HRDWD",5,19.58
"133",26143,"HRDWD",5,19.58
"134",26143,"HRDWD",15,59.4
"135",26143,"HRDWD",15,59.4
"136",26143,"HRDWD",25,137.39
"137",26143,"HRDWD",25,137.39
"138",26143,"HRDWD",50,27.94
"139",26143,"HRDWD",50,27.94
"140",26143,"SFTWD",5,14.41
"141",26143,"SFTWD",5,14.41
"142",26143,"SFTWD",45,49.83
"143",26143,"SFTWD",45,49.83
"144",26143,"SFTWD",55,23.87
"145",26143,"SFTWD",55,23.87
"146",26143,"ABBA",5,52.58
"147",26143,"ABBA",10,77.22
"148",26143,"ABBA",15,70.4
"149",26143,"ABBA",20,292.71
"150",26143,"ABBA",25,356.51
"151",26143,"ABBA",30,237.38
"152",26143,"ABBA",40,143.88
"153",26143,"ABBA",55,1.76
"154",26455,"HRDWD",60,305.8
"155",26455,"HRDWD",60,305.8
"156",26455,"SFTWD",5,48.62
"157",26455,"SFTWD",5,48.62
"158",26455,"SFTWD",10,96.25
"159",26455,"SFTWD",10,96.25
"160",26455,"SFTWD",15,30.8
"161",26455,"SFTWD",15,30.8
"162",26455,"SFTWD",20,196.02
"163",26455,"SFTWD",20,196.02
"164",26455,"SFTWD",25,373.34
"165",26455,"SFTWD",25,373.34
"166",26455,"SFTWD",45,54.34
"167",26455,"SFTWD",45,54.34
"168",26455,"ABBA",5,86.02
"169",26455,"ABBA",10,216.92
"170",26455,"ABBA",15,305.91
"171",26455,"ABBA",20,402.6
"172",26455,"ABBA",40,55
"173",26455,"ABBA",45,82.39
"174",26455,"PIMA",60,99.55
"175",26455,"PIMA",70,198.11
"176",26455,"PIST",5,21.78
"177",26455,"PIST",10,15.4
"178",26455,"PIST",15,126.72
"179",26455,"PIST",20,48.07
"180",26455,"PIST",25,153.23
"181",26455,"PIST",40,326.59
"182",26455,"PIST",45,47.85
"183",26455,"PIST",50,116.05
"184",26455,"THOC2",80,157.96
"185",26455,"POTR5",5,17.38
"186",26455,"POTR5",10,25.96
"187",26455,"POTR5",20,171.93
"188",26455,"POTR5",50,4.07
"189",26455,"POTR5",55,176.55
"190",26455,"POTR5",60,124.52
"191",26936,"HRDWD",5,36.96
"192",26936,"HRDWD",5,36.96
"193",26936,"HRDWD",10,65.01
"194",26936,"HRDWD",10,65.01
"195",26936,"HRDWD",15,193.49
"196",26936,"HRDWD",15,193.49
"197",26936,"HRDWD",20,66.77
"198",26936,"HRDWD",20,66.77
"199",26936,"HRDWD",25,274.67
"200",26936,"HRDWD",25,274.67
"201",26936,"HRDWD",45,275.88
"202",26936,"HRDWD",45,275.88
"203",26936,"HRDWD",50,482.35
"204",26936,"HRDWD",50,482.35
"205",26936,"HRDWD",55,955.35
"206",26936,"HRDWD",55,955.35
"207",26936,"HRDWD",65,51.92
"208",26936,"HRDWD",65,51.92
"209",26936,"SFTWD",45,110.77
"210",26936,"SFTWD",45,110.77
"211",26936,"BEAL2",5,20.68
"212",26920,"HRDWD",5,34.54
"213",26920,"HRDWD",5,34.54
"214",26920,"SFTWD",5,22.88
"215",26920,"SFTWD",5,22.88
"216",26920,"SFTWD",10,47.85
"217",26920,"SFTWD",10,47.85
"218",26920,"SFTWD",15,30.8
"219",26920,"SFTWD",15,30.8
"220",26920,"SFTWD",20,188.65
"221",26920,"SFTWD",20,188.65
"222",26920,"SFTWD",25,380.6
"223",26920,"SFTWD",25,380.6
"224",26920,"SFTWD",30,297.99
"225",26920,"SFTWD",30,297.99
"226",26920,"ABBA",10,13.53
"227",26920,"ABBA",15,28.16
"228",27275,"HRDWD",5,22.11
"229",27275,"HRDWD",5,22.11
"230",27275,"HRDWD",20,224.62
"231",27275,"HRDWD",20,224.62
"232",27275,"HRDWD",25,166.54
"233",27275,"HRDWD",25,166.54
"234",27275,"HRDWD",35,633.27
"235",27275,"HRDWD",35,633.27
"236",27275,"HRDWD",40,963.38
"237",27275,"HRDWD",40,963.38
