system:index,aet,date,pet,.geo
195801,0.0,1958-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195802,0.0,1958-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195803,0.0,1958-03-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195804,181.0,1958-04-01,390.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195805,1317.0,1958-05-01,1317.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195806,612.0,1958-06-01,1648.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195807,367.0,1958-07-01,1646.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195808,848.0,1958-08-01,1397.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195809,772.0,1958-09-01,1049.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195810,477.0,1958-10-01,770.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195811,98.0,1958-11-01,230.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195812,2.0,1958-12-01,33.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195901,0.0,1959-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195902,0.0,1959-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195903,0.0,1959-03-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195904,803.0,1959-04-01,878.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195905,870.0,1959-05-01,1339.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195906,534.0,1959-06-01,1582.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195907,656.0,1959-07-01,1604.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195908,1203.0,1959-08-01,1278.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195909,166.0,1959-09-01,1235.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195910,803.0,1959-10-01,813.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195911,12.0,1959-11-01,80.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
195912,0.0,1959-12-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196001,0.0,1960-01-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196002,0.0,1960-02-01,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196003,8.0,1960-03-01,79.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196004,953.0,1960-04-01,996.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196005,695.0,1960-05-01,1371.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196006,456.0,1960-06-01,1641.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196007,716.0,1960-07-01,1511.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
196008,509.0,1960-08-01,1444.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
