#ppt,,,
,eco1,eco1,eco1
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1999-01-01T00:00:00Z,0.8982906,13.103153,3.619828
1999-01-02T00:00:00Z,3.942735,36.505452,6.0419744
1999-01-03T00:00:00Z,9.640171,333.44932,18.260595
1999-01-04T00:00:00Z,1.642735,24.557176,4.9555197
1999-01-05T00:00:00Z,1.1854701,11.90112,3.4498
1999-01-06T00:00:00Z,1.9307692,33.05968,5.749755
1999-01-07T00:00:00Z,0.9042735,17.817123,4.2210335
1999-01-08T00:00:00Z,0.41709402,12.160183,3.4871453
1999-01-09T00:00:00Z,1.4393163,29.08547,5.3930944
1999-01-10T00:00:00Z,1.8119658,50.0028,7.0712656
1999-01-11T00:00:00Z,1.7384615,19.618037,4.4292253
1999-01-12T00:00:00Z,1.0376068,15.391836,3.923243
1999-01-13T00:00:00Z,1.165812,54.77866,7.401261
1999-01-14T00:00:00Z,0.7376068,52.08149,7.216751
1999-01-15T00:00:00Z,2.9666667,10.172414,3.1894222
1999-01-16T00:00:00Z,1.5871795,20.21618,4.4962406
1999-01-17T00:00:00Z,5.4846153,34.14854,5.843675
1999-01-18T00:00:00Z,9.836752,644.06204,25.378377
1999-01-19T00:00:00Z,0.7358974,18.680371,4.3220794
1999-01-20T00:00:00Z,0.002564103,0.076923077,0.2773501
1999-01-21T00:00:00Z,0,0,0
1999-01-22T00:00:00Z,4.2444444,53.4387,7.3101777
1999-01-23T00:00:00Z,5.7965813,69.395375,8.3303887
1999-01-24T00:00:00Z,2.5897436,32.351458,5.687834
1999-01-25T00:00:00Z,0,0,0
1999-01-26T00:00:00Z,0,0,0
1999-01-27T00:00:00Z,6.032479,227.08325,15.069282
1999-01-28T00:00:00Z,0.33675215,4.5792807,2.1399255
1999-01-29T00:00:00Z,0,0,0
1999-01-30T00:00:00Z,0,0,0
1999-01-31T00:00:00Z,0,0,0
1999-02-01T00:00:00Z,1.9735043,5.748158,2.3975316
1999-02-02T00:00:00Z,0.9777778,9.381226,3.0628788
1999-02-03T00:00:00Z,0.74615383,0.6127321,0.7827721
1999-02-04T00:00:00Z,0.45726496,3.2295905,1.7971061
1999-02-05T00:00:00Z,0.6196581,3.504126,1.8719311
1999-02-06T00:00:00Z,0,0,0
1999-02-07T00:00:00Z,0.35470086,12.008547,3.465335
1999-02-08T00:00:00Z,1.1034188,89.30917,9.450353
1999-02-09T00:00:00Z,0,0,0
1999-02-10T00:00:00Z,0.24017094,5.2079283,2.2820885
1999-02-11T00:00:00Z,19.552992,871.2513,29.516966
1999-02-12T00:00:00Z,3.588889,58.237547,7.631353
1999-02-13T00:00:00Z,0,0,0
1999-02-14T00:00:00Z,0,0,0
1999-02-15T00:00:00Z,1.3282051,52.169764,7.222864
1999-02-16T00:00:00Z,5.782906,178.22915,13.35025
1999-02-17T00:00:00Z,1.5102564,17.799735,4.2189732
1999-02-18T00:00:00Z,0.08632479,2.0328619,1.4257847
1999-02-19T00:00:00Z,0,0,0
1999-02-20T00:00:00Z,0,0,0
1999-02-21T00:00:00Z,0,0,0
1999-02-22T00:00:00Z,0,0,0
1999-02-23T00:00:00Z,0,0,0
1999-02-24T00:00:00Z,1.9863248,19.89493,4.4603735
1999-02-25T00:00:00Z,0.36068377,1.2923666,1.1368231
1999-02-26T00:00:00Z,0.6128205,1.0265252,1.0131758
1999-02-27T00:00:00Z,0.8991453,5.1292367,2.2647817
1999-02-28T00:00:00Z,0.78205127,2.045093,1.4300674
1999-03-01T00:00:00Z,0,0,0
1999-03-02T00:00:00Z,2.088889,9.409962,3.0675662
1999-03-03T00:00:00Z,0.22735043,4.4417918,2.1075559
1999-03-04T00:00:00Z,0.24700855,4.1305628,2.0323786
1999-03-05T00:00:00Z,0.31025642,7.282493,2.6986095
1999-03-06T00:00:00Z,0.035042737,1.0054524,1.0027225
1999-03-07T00:00:00Z,0,0,0
1999-03-08T00:00:00Z,0.6264957,8.2309164,2.8689575
1999-03-09T00:00:00Z,1.1461538,2.6644561,1.6323163
1999-03-10T00:00:00Z,0,0,0
1999-03-11T00:00:00Z,0,0,0
1999-03-12T00:00:00Z,0,0,0
1999-03-13T00:00:00Z,0,0,0
1999-03-14T00:00:00Z,0,0,0
1999-03-15T00:00:00Z,0.023076924,0.64456235,0.8028464
1999-03-16T00:00:00Z,0,0,0
1999-03-17T00:00:00Z,4.3452992,43.129236,6.567285
1999-03-18T00:00:00Z,0,0,0
1999-03-19T00:00:00Z,0,0,0
1999-03-20T00:00:00Z,1.1213676,17.755674,4.2137483
1999-03-21T00:00:00Z,0.8128205,12.888594,3.5900688
1999-03-22T00:00:00Z,0,0,0
1999-03-23T00:00:00Z,0,0,0
1999-03-24T00:00:00Z,0,0,0
1999-03-25T00:00:00Z,0,0,0
1999-03-26T00:00:00Z,0,0,0
1999-03-27T00:00:00Z,0.18205129,2.683024,1.6379939
1999-03-28T00:00:00Z,6.188889,67.49617,8.215605
1999-03-29T00:00:00Z,0,0,0
1999-03-30T00:00:00Z,0,0,0
1999-03-31T00:00:00Z,1.7538462,21.026525,4.585469
1999-04-01T00:00:00Z,1.2316239,6.321544,2.5142682
1999-04-02T00:00:00Z,3.0495727,11.752137,3.428139
1999-04-03T00:00:00Z,0.64358974,27.920425,5.283978
1999-04-04T00:00:00Z,16.736752,738.9758,27.18411
1999-04-05T00:00:00Z,8.890598,75.24108,8.674162
1999-04-06T00:00:00Z,11.233334,57.62069,7.590829
1999-04-07T00:00:00Z,6.12906,965.1217,31.066408
1999-04-08T00:00:00Z,0,0,0
1999-04-09T00:00:00Z,0,0,0
1999-04-10T00:00:00Z,0,0,0
1999-04-11T00:00:00Z,0.035897437,1.16313,1.078485
1999-04-12T00:00:00Z,0,0,0
1999-04-13T00:00:00Z,0,0,0
1999-04-14T00:00:00Z,0,0,0
1999-04-15T00:00:00Z,0.032478634,0.9453286,0.9722801
1999-04-16T00:00:00Z,0.26239318,7.94356,2.8184322
1999-04-17T00:00:00Z,0.51452994,3.987327,1.9968292
1999-04-18T00:00:00Z,0.005128205,0.15251989,0.39053794
1999-04-19T00:00:00Z,0.8333333,14.034483,3.7462625
1999-04-20T00:00:00Z,1.2145299,44.418362,6.66471
1999-04-21T00:00:00Z,0,0,0
1999-04-22T00:00:00Z,0,0,0
1999-04-23T00:00:00Z,0,0,0
1999-04-24T00:00:00Z,0,0,0
1999-04-25T00:00:00Z,0,0,0
1999-04-26T00:00:00Z,0,0,0
1999-04-27T00:00:00Z,0,0,0
1999-04-28T00:00:00Z,0,0,0
1999-04-29T00:00:00Z,0,0,0
1999-04-30T00:00:00Z,0,0,0
1999-05-01T00:00:00Z,0,0,0
1999-05-02T00:00:00Z,0,0,0
1999-05-03T00:00:00Z,0,0,0
1999-05-04T00:00:00Z,0,0,0
1999-05-05T00:00:00Z,5.9811964,1296.154,36.002138
1999-05-06T00:00:00Z,23.033333,562.27584,23.712356
1999-05-07T00:00:00Z,17.048717,75.18302,8.6708146
1999-05-08T00:00:00Z,0.44615385,12.526526,3.5392833
1999-05-09T00:00:00Z,2.7102563,212.09283,14.563408
1999-05-10T00:00:00Z,4.6042733,659.1102,25.673141
