"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",79392,"HRDWD",5,225.5
"2",79392,"HRDWD",10,145.75
"3",79392,"HRDWD",15,152.13
"4",79392,"HRDWD",20,222.75
"5",79392,"ACSA3",10,27.17
"6",79392,"POTR5",5,17.38
"7",79392,"POTR5",10,21.45
"8",80627,"SFTWD",65,242.66
"9",80627,"ABBA",15,37.73
"10",80627,"PIST",30,210.43
"11",80627,"PIST",40,174.13
"12",80627,"PIST",45,518.1
"13",80627,"PIST",50,320.1
"14",26907,"HRDWD",50,17.93
"15",26907,"HRDWD",55,58.85
"16",26907,"SFTWD",5,68.42
"17",26907,"SFTWD",10,57.64
"18",26907,"SFTWD",15,140.14
"19",26907,"SFTWD",20,101.86
"20",26907,"SFTWD",30,375.76
"21",26907,"SFTWD",35,458.26
"22",26907,"SFTWD",45,187.88
"23",26907,"SFTWD",50,311.08
"24",26907,"ABBA",5,16.61
"25",26907,"ABBA",10,33.22
"26",26907,"ABBA",15,43.12
"27",26907,"ABBA",20,166.1
"28",26907,"ABBA",25,387.86
"29",26907,"ABBA",30,420.86
"30",26907,"ABBA",35,761.86
"31",26907,"ABBA",40,244.86
"32",26907,"PIST",5,7.04
"33",26907,"PIST",15,26.95
"34",26907,"PIST",20,54.45
"35",26907,"PIST",45,140.14
"36",26907,"PIST",50,92.73
"37",26907,"PIST",65,827.64
"38",26907,"THOC2",80,102.19
"39",26128,"HRDWD",5,59.29
"40",26128,"HRDWD",10,36.63
"41",26128,"HRDWD",15,102.3
"42",26128,"HRDWD",20,255.42
"43",26128,"HRDWD",25,151.58
"44",26128,"HRDWD",50,223.41
"45",26128,"HRDWD",55,313.61
"46",26128,"ABBA",5,130.35
"47",26128,"ABBA",10,81.07
"48",26128,"ABBA",15,223.3
"49",26128,"ABBA",20,235.18
"50",26128,"ABBA",25,556.05
"51",26128,"ABBA",30,1751.42
"52",26128,"ABBA",35,1155.55
"53",26128,"ABBA",40,244.31
"54",26128,"ABBA",45,662.09
"55",26128,"THOC2",30,51.59
"56",26128,"THOC2",80,36.85
"57",26128,"THOC2",85,321.64
"58",26128,"THOC2",100,424.05
"59",26128,"POTR5",40,93.28
"60",26143,"HRDWD",5,19.58
"61",26143,"HRDWD",15,59.4
"62",26143,"HRDWD",25,137.39
"63",26143,"HRDWD",50,27.94
"64",26143,"SFTWD",5,14.41
"65",26143,"SFTWD",45,49.83
"66",26143,"SFTWD",55,23.87
"67",26143,"ABBA",5,52.58
"68",26143,"ABBA",10,77.22
"69",26143,"ABBA",15,70.4
"70",26143,"ABBA",20,292.71
"71",26143,"ABBA",25,356.51
"72",26143,"ABBA",30,237.38
"73",26143,"ABBA",40,143.88
"74",26143,"ABBA",55,1.76
"75",26455,"HRDWD",60,305.8
"76",26455,"SFTWD",5,48.62
"77",26455,"SFTWD",10,17.93
"78",26455,"SFTWD",15,109.01
"79",26455,"SFTWD",20,60.5
"80",26455,"SFTWD",25,286.44
"81",26455,"SFTWD",30,222.42
"82",26455,"SFTWD",45,54.34
"83",26455,"ABBA",5,86.02
"84",26455,"ABBA",10,216.92
"85",26455,"ABBA",15,305.91
"86",26455,"ABBA",20,317.79
"87",26455,"ABBA",25,84.81
"88",26455,"ABBA",40,55
"89",26455,"ABBA",45,82.39
"90",26455,"PIMA",60,99.55
"91",26455,"PIMA",70,198.11
"92",26455,"PIST",5,21.78
