"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",79392,"HRDWD",5,40.15
"2",79392,"HRDWD",5,40.15
"3",79392,"HRDWD",10,97.68
"4",79392,"HRDWD",10,97.68
"5",79392,"HRDWD",15,101.42
"6",79392,"HRDWD",15,101.42
"7",79392,"HRDWD",20,66.99
"8",79392,"HRDWD",20,66.99
"9",79392,"ACSA3",10,27.17
"10",79392,"POGR4",5,185.35
"11",79392,"POGR4",10,157.19
"12",79392,"POGR4",15,97.35
"13",79392,"POTR5",5,17.38
"14",79392,"POTR5",10,21.45
"15",80627,"ABBA",15,37.73
"16",80627,"PIRE",50,242.66
"17",80627,"PIST",30,210.43
"18",80627,"PIST",40,633.71
"19",80627,"PIST",45,277.75
"20",80627,"PIST",50,100.87
"21",26907,"SFTWD",5,68.42
"22",26907,"SFTWD",5,68.42
"23",26907,"SFTWD",10,57.64
"24",26907,"SFTWD",10,57.64
"25",26907,"SFTWD",15,181.5
"26",26907,"SFTWD",15,181.5
"27",26907,"SFTWD",20,60.5
"28",26907,"SFTWD",20,60.5
"29",26907,"SFTWD",25,111.21
"30",26907,"SFTWD",25,111.21
"31",26907,"SFTWD",30,264.55
"32",26907,"SFTWD",30,264.55
"33",26907,"SFTWD",35,458.26
"34",26907,"SFTWD",35,458.26
"35",26907,"SFTWD",45,187.88
"36",26907,"SFTWD",45,187.88
"37",26907,"SFTWD",50,311.08
"38",26907,"SFTWD",50,311.08
"39",26907,"ABBA",5,16.61
"40",26907,"ABBA",10,33.22
"41",26907,"ABBA",20,209.22
"42",26907,"ABBA",25,122.21
"43",26907,"ABBA",30,433.51
"44",26907,"ABBA",35,593.34
"45",26907,"ABBA",40,538.34
"46",26907,"ABBA",45,128.04
"47",26907,"PIST",5,7.04
"48",26907,"PIST",15,26.95
"49",26907,"PIST",20,54.45
"50",26907,"PIST",40,63.8
"51",26907,"PIST",45,169.07
"52",26907,"PIST",65,827.64
"53",26907,"THOC2",85,102.19
"54",26907,"ACRU",50,17.93
"55",26907,"ACRU",55,58.85
"56",26128,"ABBA",5,130.35
"57",26128,"ABBA",10,33.22
"58",26128,"ABBA",15,141.68
"59",26128,"ABBA",20,364.54
"60",26128,"ABBA",25,412.06
"61",26128,"ABBA",30,660.33
"62",26128,"ABBA",35,1915.76
"63",26128,"ABBA",40,618.64
"64",26128,"ABBA",45,479.93
"65",26128,"ABBA",50,282.7
"66",26128,"THOC2",30,51.59
"67",26128,"THOC2",85,36.85
"68",26128,"THOC2",90,321.64
"69",26128,"THOC2",105,424.05
"70",26128,"ACRU",5,59.29
"71",26128,"ACRU",10,36.63
"72",26128,"ACRU",15,102.3
"73",26128,"ACRU",20,255.42
"74",26128,"ACRU",25,151.58
"75",26128,"ACRU",50,378.07
"76",26128,"ACRU",55,158.84
"77",26128,"POTR5",40,93.28
"78",26143,"SFTWD",5,14.41
"79",26143,"SFTWD",5,14.41
"80",26143,"SFTWD",45,49.83
"81",26143,"SFTWD",45,49.83
"82",26143,"SFTWD",55,23.87
"83",26143,"SFTWD",55,23.87
"84",26143,"ABBA",5,52.58
"85",26143,"ABBA",10,53.35
"86",26143,"ABBA",15,94.27
"87",26143,"ABBA",20,215.93
"88",26143,"ABBA",25,433.29
"89",26143,"ABBA",35,237.38
"90",26143,"ABBA",40,143.88
"91",26143,"ABBA",60,1.76
"92",26143,"ACRU",5,19.58
"93",26143,"ACRU",15,59.4
"94",26143,"ACRU",25,137.39
"95",26143,"ACRU",45,27.94
"96",26455,"SFTWD",5,48.62
"97",26455,"SFTWD",5,48.62
"98",26455,"SFTWD",10,17.93
"99",26455,"SFTWD",10,17.93
"100",26455,"SFTWD",15,109.01
"101",26455,"SFTWD",15,109.01
"102",26455,"SFTWD",20,196.02
"103",26455,"SFTWD",20,196.02
"104",26455,"SFTWD",25,373.34
"105",26455,"SFTWD",25,373.34
