Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 391, 1249, 878, 851, 5, 2, 
10, 458, 1134, 541, 2, 8, 4, 
10, 561, 824, 83, 74, 1, 2, 
10, 575, 1037, 26, 24, 8, 3, 
10, 626, 904, 773, 0, 0, 0, 
10, 647, 780, 434, 242, 4, 2, 
10, 663, 808, 104, 0, 0, 0, 
10, 696, 629, 77, 77, 48, 3, 
10, 700, 533, 592, 279, 5, 2, 
10, 720, 695, 605, 594, 7, 2, 
10, 787, 644, 701, 698, 49, 1.91, 
10, 862, 600, 99, 97, 35, 3, 
10, 883, 572, 29, 0, 0, 0, 
10, 912, 472, 220, 219, 77, 3, 
10, 940, 547, 123, 0, 0, 0, 
10, 986, 356, 348, 339, 42, 2, 
10, 992, 428, 670, 668, 379, 3, 
20, 269, 1470, 803, 803, 641, 3, 
20, 322, 1398, 206, 170, 8, 2, 
20, 482, 1257, 302, 283, 10, 2, 
20, 519, 1020, 389, 389, 1684, 4, 
20, 575, 1053, 4, 3, 6, 3, 
20, 592, 1054, 271, 271, 1227, 4, 
20, 603, 988, 56, 56, 62, 3, 
20, 615, 751, 296, 294, 278, 3, 
20, 642, 734, 1477, 1473, 248, 2, 
20, 688, 693, 5, 5, 6, 3, 
20, 688, 820, 122, 120, 12, 2, 
20, 694, 700, 203, 0, 0, 0, 
20, 722, 884, 56, 56, 78, 3, 
20, 745, 737, 62, 60, 48, 2, 
20, 750, 595, 392, 390, 79, 2, 
20, 759, 658, 351, 350, 58, 2, 
20, 766, 544, 273, 268, 46, 2, 
20, 767, 670, 103, 66, 3, 1, 
20, 815, 459, 1016, 1016, 210, 2, 
20, 847, 494, 518, 467, 18, 1, 
20, 848, 424, 100, 100, 63, 3, 
20, 869, 491, 102, 102, 143, 3, 
20, 873, 586, 324, 322, 267, 3, 
20, 892, 671, 486, 436, 14, 2, 
20, 915, 584, 122, 0, 0, 0, 
20, 947, 361, 728, 728, 954, 3, 
20, 968, 526, 447, 446, 491, 3, 
30, 360, 1234, 121, 119, 20, 2, 
30, 360, 1246, 110, 105, 14, 2, 
30, 369, 1280, 188, 188, 813, 4, 
30, 371, 1245, 534, 534, 882, 3, 
30, 443, 1147, 67, 56, 6, 2, 
30, 479, 1132, 296, 296, 494, 3, 
30, 485, 1106, 626, 626, 1099, 3, 
30, 485, 1181, 647, 647, 5446, 5, 
30, 487, 1234, 914, 914, 1599, 3, 
30, 490, 1146, 420, 380, 27, 2, 
30, 515, 1070, 514, 512, 66, 2, 
30, 520, 1248, 65, 65, 95, 3, 
30, 540, 863, 19, 6, 4, 3, 
30, 582, 918, 883, 882, 171, 2, 
30, 584, 785, 42, 42, 97, 3, 
30, 630, 837, 397, 392, 79, 2, 
30, 643, 1040, 38, 35, 5, 2, 
30, 680, 692, 407, 406, 762, 3, 
30, 698, 604, 98, 98, 238, 3, 
30, 739, 697, 72, 72, 35, 3, 
30, 744, 645, 333, 333, 748, 3, 
30, 753, 560, 479, 479, 763, 3, 
30, 764, 482, 368, 368, 589, 3, 
30, 766, 648, 199, 184, 33, 2, 
30, 784, 490, 945, 944, 317, 2, 
30, 815, 692, 129, 129, 538, 4, 
30, 826, 448, 360, 360, 672, 3, 
30, 831, 516, 128, 121, 10, 1, 
30, 840, 505, 840, 831, 250, 2, 
30, 851, 329, 450, 450, 1044, 3, 
30, 853, 535, 69, 69, 31, 2, 
30, 908, 618, 1017, 1015, 225, 2, 
30, 937, 504, 99, 99, 155, 3, 
30, 952, 370, 12, 12, 7, 3, 
30, 965, 544, 68, 68, 115, 3, 
30, 974, 391, 182, 171, 13, 1, 
40, 383, 1173, 1045, 1045, 1585, 3, 
40, 444, 1055, 425, 420, 82, 2, 
40, 451, 1206, 872, 870, 644, 3, 
40, 510, 1231, 960, 956, 102, 2, 
40, 526, 1133, 194, 193, 187, 3, 
40, 564, 1113, 269, 268, 448, 3, 
40, 620, 1140, 713, 540, 24, 1, 
40, 642, 1035, 442, 431, 34, 1, 
40, 692, 926, 699, 23, 43, 3, 
40, 738, 596, 357, 357, 2574, 5, 
40, 754, 561, 279, 143, 1, 2, 
40, 798, 653, 12, 12, 34, 3, 
40, 827, 528, 483, 479, 194, 2, 
40, 839, 324, 107, 106, 273, 3, 
40, 839, 618, 107, 103, 167, 3, 
40, 881, 468, 941, 939, 1190, 3, 
40, 936, 617, 323, 313, 61, 1.98, 
40, 965, 524, 109, 109, 88, 3, 
40, 999, 428, 464, 323, 40, 1.98, 
40, 1023, 362, 903, 903, 3915, 4, 
40, 1032, 367, 308, 0, 0, 0, 
50, 419, 1087, 768, 768, 1639, 3, 
50, 510, 1041, 424, 420, 280, 2, 
50, 521, 1201, 4, 4, 3, 2, 
50, 576, 1003, 260, 259, 32, 1, 
50, 608, 802, 389, 389, 261, 2, 
50, 630, 689, 721, 721, 430, 2, 
50, 636, 678, 102, 6, 4, 2, 
50, 662, 681, 113, 113, 236, 3, 
50, 681, 648, 583, 583, 567, 2, 
50, 726, 723, 90, 90, 385, 4, 
50, 733, 836, 116, 116, 197, 3, 
50, 750, 492, 205, 205, 416, 3, 
50, 766, 420, 953, 953, 815, 2, 
50, 789, 552, 158, 155, 100, 2, 
50, 815, 564, 49, 49, 97, 3, 
50, 824, 585, 282, 282, 762, 3, 
50, 844, 556, 53, 53, 49, 2, 
50, 869, 314, 325, 325, 743, 3, 
50, 871, 474, 53, 0, 0, 0, 
50, 887, 418, 348, 0, 0, 0, 
50, 903, 578, 483, 483, 840, 3, 
50, 914, 368, 103, 102, 46, 2, 
50, 925, 448, 113, 0, 0, 0, 
50, 939, 542, 122, 122, 112, 2, 
50, 944, 601, 4, 0, 0, 0, 
50, 970, 524, 221, 220, 177, 3, 
50, 1006, 420, 546, 546, 1085, 3, 
60, 295, 1434, 1284, 1284, 650, 2, 
60, 380, 1162, 623, 207, 567, 3, 
60, 443, 1200, 498, 466, 58, 2, 
60, 465, 1209, 191, 0, 0, 0, 
60, 466, 1179, 396, 392, 94, 2, 
60, 479, 1163, 95, 95, 193, 3, 
60, 494, 1235, 16, 1, 1, 3, 
60, 579, 1075, 69, 69, 172, 3, 
60, 605, 1094, 278, 278, 1330, 4, 
60, 619, 818, 561, 561, 1374, 3, 
60, 624, 708, 11, 11, 11, 2, 
60, 653, 844, 284, 281, 25, 1, 
60, 664, 688, 122, 122, 71, 2, 
60, 683, 937, 234, 224, 11, 1, 
60, 706, 789, 34, 34, 79, 3, 
60, 731, 816, 36, 36, 91, 3, 
60, 732, 733, 1157, 1155, 1018, 2, 
60, 734, 513, 146, 146, 311, 3, 
60, 735, 842, 355, 355, 687, 3, 
60, 795, 608, 334, 332, 314, 2, 
60, 835, 553, 191, 191, 170, 2, 
60, 905, 586, 9, 0, 0, 0, 
60, 972, 420, 513, 513, 1080, 3, 
60, 1012, 414, 476, 231, 39, 2, 
70, 458, 1034, 321, 321, 1554, 4, 
70, 480, 1077, 84, 84, 388, 4, 
70, 483, 1159, 1406, 1383, 829, 1.99, 
70, 617, 831, 411, 411, 2733, 5, 
70, 638, 1070, 423, 0, 0, 0, 
70, 655, 858, 100, 99, 129, 1.95, 
70, 659, 769, 1031, 1031, 1441, 2, 
70, 693, 981, 1316, 60, 145, 3, 
70, 694, 883, 148, 148, 205, 1.99, 
70, 806, 385, 975, 974, 1598, 2, 
70, 814, 676, 28, 0, 0, 0, 
70, 831, 538, 58, 58, 148, 2.98, 
70, 851, 501, 316, 315, 418, 2, 
70, 857, 539, 101, 101, 139, 2, 
70, 873, 593, 278, 245, 73, 2, 
70, 876, 412, 93, 93, 240, 3, 
70, 892, 336, 290, 290, 783, 3, 
70, 904, 727, 158, 158, 393, 3, 
70, 925, 542, 815, 815, 1875, 3, 
70, 932, 379, 256, 256, 517, 2, 
70, 982, 369, 146, 146, 520, 3, 
70, 987, 387, 515, 515, 896, 2, 
80, 267, 1468, 194, 194, 430, 2.99, 
80, 358, 1320, 159, 159, 461, 3, 
80, 449, 1057, 443, 428, 113, 1, 
80, 528, 1046, 129, 0, 0, 0, 
80, 531, 1164, 112, 112, 330, 3, 
80, 551, 999, 70, 70, 180, 3, 
80, 558, 1143, 453, 453, 591, 2, 
80, 564, 822, 2785, 102, 342, 3, 
80, 571, 826, 52, 52, 154, 3, 
80, 607, 998, 418, 418, 943, 3, 
80, 664, 773, 630, 630, 3768, 5, 
80, 669, 841, 1367, 1367, 3668, 3, 
80, 689, 718, 648, 0, 0, 0, 
80, 691, 766, 923, 923, 4348, 4, 
80, 693, 589, 205, 205, 339, 2, 
80, 743, 821, 117, 117, 98, 2, 
80, 764, 593, 103, 103, 451, 4, 
80, 800, 499, 118, 118, 336, 3, 
80, 822, 575, 1959, 1959, 2707, 2, 
80, 828, 580, 28, 0, 0, 0, 
80, 836, 412, 142, 142, 379, 3, 
80, 852, 364, 614, 84, 196, 2, 
80, 858, 304, 255, 255, 759, 3, 
80, 860, 542, 436, 436, 573, 2, 
80, 864, 508, 235, 235, 2122, 5, 
80, 898, 623, 2077, 2075, 455, 1, 
80, 933, 426, 678, 678, 6640, 5, 
80, 973, 310, 466, 466, 1892, 3, 
80, 976, 475, 1077, 1076, 728, 1, 
80, 978, 446, 291, 1, 15, 5, 
80, 994, 465, 82, 82, 141, 1.96, 
90, 370, 1209, 248, 246, 343, 1.99, 
90, 413, 1228, 702, 702, 1959, 3, 
90, 417, 1329, 1412, 195, 328, 2, 
90, 475, 1237, 336, 336, 751, 3, 
90, 543, 928, 200, 200, 639, 3, 
90, 558, 1160, 360, 0, 0, 0, 
90, 568, 1128, 21, 21, 43, 2.9, 
90, 569, 1100, 348, 348, 1128, 3, 
90, 578, 973, 134, 134, 143, 2, 
90, 624, 861, 1412, 1412, 2867, 3, 
90, 644, 711, 99, 99, 136, 1.99, 
90, 696, 705, 161, 159, 85, 1, 
90, 755, 662, 364, 364, 545, 2, 
90, 789, 663, 456, 456, 618, 2, 
90, 799, 390, 690, 690, 1880, 3, 
90, 813, 423, 101, 100, 57, 1, 
90, 813, 664, 147, 147, 157, 1.99, 
90, 821, 656, 55, 55, 82, 1.96, 
90, 864, 601, 139, 134, 45, 1, 
90, 892, 654, 1315, 1315, 2122, 2, 
90, 917, 623, 414, 414, 3021, 5, 
90, 995, 479, 718, 718, 375, 1, 
100, 318, 1316, 110, 110, 750, 4, 
100, 326, 1391, 94, 94, 183, 2, 
100, 334, 1376, 351, 351, 1215, 3, 
100, 544, 1093, 212, 212, 250, 2, 
100, 605, 1037, 32, 27, 2, 2, 
100, 763, 520, 156, 0, 0, 0, 
100, 772, 695, 148, 148, 196, 1.97, 
100, 800, 555, 484, 484, 993, 3, 
100, 810, 403, 849, 845, 411, 1, 
100, 813, 595, 535, 523, 295, 1, 
100, 820, 574, 503, 500, 116, 2, 
100, 823, 430, 1321, 1319, 624, 1, 
100, 831, 530, 752, 752, 954, 2, 
100, 853, 524, 258, 258, 344, 2, 
100, 879, 377, 294, 294, 506, 2, 
100, 879, 541, 245, 245, 714, 3, 
100, 909, 637, 186, 186, 939, 5, 
100, 916, 451, 604, 604, 657, 1, 
100, 1000, 432, 759, 758, 532, 1, 
110, 273, 1422, 100, 100, 266, 2, 
110, 301, 1416, 124, 124, 271, 2, 
110, 389, 1199, 347, 347, 751, 2, 
110, 470, 1128, 628, 628, 1858, 3, 
110, 517, 964, 490, 490, 2078, 3, 
110, 534, 1238, 1217, 1217, 7385, 4, 
110, 535, 956, 48, 48, 208, 3, 
110, 702, 592, 310, 310, 600, 2, 
110, 703, 793, 1011, 1011, 1682, 2, 
110, 715, 758, 272, 271, 38, 3, 
110, 716, 607, 962, 962, 2043, 3, 
110, 721, 532, 700, 700, 1473, 2, 
110, 737, 470, 973, 973, 6794, 5, 
110, 750, 693, 26, 0, 0, 0, 
110, 773, 555, 767, 767, 5372, 5, 
110, 782, 602, 162, 162, 547, 3, 
110, 790, 502, 331, 331, 246, 1, 
110, 792, 574, 87, 87, 141, 2, 
110, 801, 682, 456, 456, 308, 1, 
110, 803, 486, 31, 31, 82, 3, 
110, 808, 685, 171, 0, 0, 0, 
110, 821, 433, 361, 361, 878, 3, 
110, 830, 364, 971, 971, 4115, 3, 
110, 832, 398, 150, 150, 430, 2, 
110, 1023, 365, 770, 763, 651, 3, 
120, 361, 1362, 73, 16, 59, 3, 
120, 432, 1258, 255, 255, 827, 3, 
120, 555, 964, 342, 0, 0, 0, 
120, 560, 873, 463, 463, 623, 2, 
120, 599, 810, 205, 205, 258, 1.98, 
120, 604, 1105, 4, 4, 3, 1.25, 
120, 632, 876, 228, 228, 234, 3, 
120, 636, 819, 799, 791, 1279, 3, 
120, 684, 705, 308, 303, 863, 3, 
120, 698, 696, 461, 461, 606, 2, 
120, 753, 782, 615, 615, 799, 2, 
120, 799, 427, 44, 44, 75, 2, 
120, 835, 602, 728, 682, 144, 1, 
120, 874, 615, 32, 32, 73, 2, 
120, 892, 416, 39, 39, 45, 2, 
120, 895, 457, 9, 9, 15, 2, 
120, 901, 406, 300, 300, 950, 3, 
120, 909, 472, 525, 525, 1010, 2, 
120, 951, 389, 82, 82, 309, 3, 
120, 960, 309, 181, 180, 359, 3, 
120, 1015, 450, 159, 159, 518, 3, 
130, 420, 1212, 704, 0, 0, 0, 
130, 499, 1212, 121, 121, 399, 3, 
130, 535, 1023, 275, 275, 1537, 4.98, 
130, 547, 957, 222, 207, 58, 1, 
130, 576, 1043, 246, 246, 1269, 3.99, 
130, 581, 830, 234, 234, 1185, 4, 
130, 586, 925, 241, 241, 323, 2, 
130, 587, 1126, 144, 144, 291, 1.99, 
130, 591, 1147, 354, 354, 1405, 3, 
130, 613, 856, 391, 391, 516, 3, 
130, 669, 665, 208, 208, 340, 2, 
130, 671, 653, 254, 254, 733, 3, 
130, 675, 808, 279, 279, 377, 2, 
130, 786, 524, 9, 9, 25, 3, 
130, 791, 716, 116, 0, 0, 0, 
130, 822, 626, 714, 714, 1800, 2.98, 
130, 859, 398, 662, 662, 976, 2, 
130, 859, 592, 98, 98, 396, 3, 
130, 870, 587, 190, 189, 111, 1, 
130, 928, 415, 537, 483, 268, 2, 
130, 962, 285, 19, 19, 60, 3, 
130, 970, 447, 270, 270, 342, 2, 
130, 971, 378, 226, 226, 829, 3, 
130, 999, 459, 1311, 1311, 1830, 2, 
130, 1026, 419, 23, 23, 37, 2, 
