LandisData "Dynamic Input Data"
>>Curent Climate for ISRO 5/30/18
>>YEAR	ECOREGION	SPECIES	PEST/10	ANPPMAX	MAXBIO
0	eco1	BA	0.057	468	14936
0	eco1	BF	0.0755	700	8885
0	eco1	BS	0.0725	771	14570
0	eco1	EWP	0.0256	599	26900
0	eco1	JP	0.0715	259	4145
0	eco1	NWC	0.0595	459	25309
0	eco1	PB	0.0798	500	12255
0	eco1	QA	0.0576	610	11954
0	eco1	RM	0.0045	252	8935
0	eco1	RO	0.0329	560	15558
0	eco1	S	0.047	401	6095
0	eco1	SM	0.0157	295	12541
0	eco1	WS	0.0728	817	15443
0	eco1	YB	0.0377	494	11324
0	eco2	BA	0.0582	490	15615
0	eco2	BF	0.0773	753	9557
0	eco2	BS	0.0737	871	16459
0	eco2	EWP	0.027	649	29155
0	eco2	JP	0.0715	259	4145
0	eco2	NWC	0.0599	473	26125
0	eco2	PB	0.0822	538	13170
0	eco2	QA	0.0616	733	14357
0	eco2	RM	0.0045	252	8935
0	eco2	RO	0.0347	635	17649
0	eco2	S	0.049	450	7237
0	eco2	SM	0.0157	295	12541
0	eco2	WS	0.0738	951	17974
0	eco2	YB	0.0389	528	12090
0	eco3	BA	0.0582	490	15637
0	eco3	BF	0.0796	776	9855
0	eco3	BS	0.0764	912	17235
0	eco3	EWP	0.0277	666	29883
0	eco3	JP	0.0715	259	4145
0	eco3	NWC	0.0599	473	26125
0	eco3	PB	0.0824	540	13226
0	eco3	QA	0.0638	795	15582
0	eco3	RM	0.0045	252	8935
0	eco3	RO	0.0352	653	18151
0	eco3	S	0.049	464	7544
0	eco3	SM	0.0157	295	12541
0	eco3	WS	0.0767	1033	19532
0	eco3	YB	0.039	530	12127
20	eco1	BA	0.035	385	12282
20	eco1	BF	0.074	548	6960
20	eco1	BS	0.084	623	11775
20	eco1	EWP	0.007	464	20834
20	eco1	JP	0.058	181	2896
20	eco1	NWC	0.036	403	22246
20	eco1	PB	0.083	395	9678
20	eco1	QA	0.051	433	8487
20	eco1	RM	0.001	235	8343
20	eco1	RO	0.019	420	11676
20	eco1	S	0.033	298	3508
20	eco1	SM	0.001	279	11858
20	eco1	WS	0.084	673	12720
20	eco1	YB	0.011	396	9068
20	eco2	BA	0.035	462	14738
20	eco2	BF	0.074	570	7239
20	eco2	BS	0.084	659	12455
20	eco2	EWP	0.007	528	23707
20	eco2	JP	0.058	181	2896
20	eco2	NWC	0.036	452	24950
20	eco2	PB	0.083	489	11981
20	eco2	QA	0.052	602	11799
20	eco2	RM	0.001	235	8343
20	eco2	RO	0.019	541	15040
20	eco2	S	0.034	390	5769
20	eco2	SM	0.001	279	11858
20	eco2	WS	0.084	740	13986
20	eco2	YB	0.011	489	11198
20	eco3	BA	0.035	467	14897
20	eco3	BF	0.074	725	9208
20	eco3	BS	0.084	860	16254
20	eco3	EWP	0.007	618	27748
20	eco3	JP	0.058	181	2896
20	eco3	NWC	0.036	452	24950
20	eco3	PB	0.083	512	12544
20	eco3	QA	0.052	757	14837
20	eco3	RM	0.001	235	8343
20	eco3	RO	0.019	621	17264
20	eco3	S	0.034	436	6820
