Time,InitRow,InitColumn,TotalSites,DamagedSites,CohortsKilled,MeanSeverity,
10, 348, 1396, 171, 155, 32, 3, 
10, 410, 1230, 524, 0, 0, 0, 
10, 416, 1214, 654, 426, 4, 2, 
10, 501, 1177, 1107, 1107, 3974, 4, 
10, 522, 1004, 233, 121, 4, 2, 
10, 524, 1207, 610, 0, 0, 0, 
10, 543, 1066, 108, 5, 2, 3, 
10, 602, 952, 842, 356, 2, 2, 
10, 605, 815, 153, 114, 2, 2, 
10, 616, 758, 457, 457, 4384, 5, 
10, 628, 875, 260, 257, 74, 3, 
10, 639, 817, 204, 162, 1, 2, 
10, 642, 1046, 105, 100, 20, 3, 
10, 683, 591, 1192, 953, 8, 2, 
10, 694, 935, 411, 0, 0, 0, 
10, 717, 756, 173, 172, 79, 3, 
10, 724, 703, 1804, 1667, 25, 2, 
10, 748, 444, 496, 416, 15, 2, 
10, 791, 545, 90, 0, 0, 0, 
10, 805, 607, 188, 182, 14, 1.95, 
10, 811, 563, 200, 174, 9, 2, 
10, 824, 598, 942, 942, 767, 3, 
10, 866, 393, 99, 0, 0, 0, 
10, 868, 591, 104, 0, 0, 0, 
10, 953, 606, 412, 409, 118, 3, 
10, 971, 457, 257, 165, 2, 2, 
10, 1002, 430, 952, 944, 415, 3, 
20, 325, 1306, 354, 353, 446, 3, 
20, 355, 1260, 422, 422, 1958, 4, 
20, 409, 1259, 787, 753, 40, 2, 
20, 489, 1127, 68, 66, 6, 2, 
20, 537, 1004, 799, 799, 906, 3, 
20, 542, 915, 129, 129, 597, 4, 
20, 545, 1077, 289, 0, 0, 0, 
20, 571, 1178, 672, 664, 32, 2, 
20, 666, 697, 170, 137, 11, 2, 
20, 666, 1042, 898, 897, 554, 3, 
20, 700, 860, 344, 343, 39, 2, 
20, 712, 567, 517, 517, 108, 2, 
20, 740, 632, 201, 0, 0, 0, 
20, 758, 733, 158, 158, 275, 3, 
20, 768, 620, 489, 489, 503, 3, 
20, 786, 581, 55, 55, 47, 3, 
20, 793, 505, 936, 0, 0, 0, 
20, 825, 579, 652, 652, 755, 3, 
20, 850, 438, 704, 704, 560, 3, 
20, 855, 555, 82, 82, 109, 3, 
20, 879, 537, 554, 554, 6114, 5, 
20, 887, 737, 338, 328, 284, 3, 
20, 888, 518, 490, 0, 0, 0, 
20, 890, 746, 12, 0, 0, 0, 
20, 926, 567, 29, 29, 32, 3, 
20, 950, 375, 555, 481, 83, 2, 
20, 978, 337, 38, 37, 9, 3, 
20, 978, 508, 683, 683, 3523, 4, 
20, 980, 520, 28, 27, 35, 3, 
20, 1007, 358, 430, 430, 683, 3, 
30, 380, 1204, 263, 263, 440, 3, 
30, 391, 1232, 1229, 1229, 1829, 3, 
30, 418, 1104, 44, 0, 0, 0, 
30, 451, 1029, 240, 5, 41, 5, 
30, 451, 1253, 8, 0, 0, 0, 
30, 508, 1079, 320, 320, 606, 3, 
30, 636, 710, 105, 0, 0, 0, 
30, 650, 637, 116, 116, 242, 3, 
30, 658, 743, 277, 277, 508, 3, 
30, 658, 1025, 307, 230, 5, 2, 
30, 670, 637, 281, 281, 542, 3, 
30, 684, 732, 72, 72, 20, 2, 
30, 689, 557, 254, 229, 37, 2, 
30, 753, 705, 355, 355, 162, 2, 
30, 799, 426, 33, 32, 11, 2, 
30, 822, 650, 368, 368, 603, 3, 
30, 834, 600, 145, 111, 3, 2, 
30, 840, 577, 12, 12, 27, 3, 
30, 845, 478, 125, 1, 4, 4, 
30, 855, 445, 613, 557, 100, 2, 
30, 936, 342, 738, 738, 1146, 3, 
30, 959, 518, 33, 33, 61, 3, 
30, 982, 340, 34, 34, 56, 3, 
40, 329, 1383, 8, 5, 2, 2, 
40, 343, 1331, 812, 797, 166, 2, 
40, 367, 1230, 193, 193, 237, 3, 
40, 368, 1220, 256, 241, 51, 2, 
40, 381, 1260, 327, 327, 552, 3, 
40, 381, 1283, 1132, 1129, 139, 2, 
40, 444, 1073, 640, 632, 130, 2, 
40, 467, 1167, 406, 406, 605, 3, 
40, 512, 1099, 261, 252, 16, 1, 
40, 538, 929, 216, 216, 55, 2, 
40, 539, 1237, 171, 171, 301, 3, 
40, 545, 974, 964, 953, 145, 1.96, 
40, 552, 984, 251, 0, 0, 0, 
40, 649, 730, 497, 497, 706, 3, 
40, 739, 812, 697, 697, 2620, 4, 
40, 755, 769, 492, 491, 867, 3, 
40, 767, 404, 54, 0, 0, 0, 
40, 782, 489, 708, 708, 1369, 3, 
40, 796, 384, 136, 134, 53, 2, 
40, 806, 487, 277, 275, 158, 2, 
40, 814, 446, 110, 97, 47, 2, 
