Time, Ecoregion, NumSites,LiveB, AG_NPP, LitterB, ExternalGrowthReduction
0, eco2, 51531, 10587.31, 1.0, 469.7, 0.0
0, eco3, 43338, 9796.31, 1.3, 455.6, 0.0
0, eco1, 93059, 9317.09, 0.5, 537.3, 0.0
1, eco2, 51531, 10686.94, 417.0, 471.4, 0.0
1, eco3, 43338, 9939.33, 454.0, 459.9, 0.0
1, eco1, 93059, 9413.14, 391.8, 540.4, 0.0
2, eco2, 51531, 10710.44, 415.3, 472.3, 0.0
2, eco3, 43338, 10029.19, 455.1, 463.3, 0.0
2, eco1, 93059, 9443.71, 390.7, 542.6, 0.0
3, eco2, 51531, 10725.10, 413.8, 472.6, 0.0
3, eco3, 43338, 10102.37, 456.0, 466.1, 0.0
3, eco1, 93059, 9468.86, 389.6, 544.2, 0.0
4, eco2, 51531, 10729.60, 412.4, 472.6, 0.0
4, eco3, 43338, 10162.77, 457.3, 468.8, 0.0
4, eco1, 93059, 9483.94, 388.7, 545.3, 0.0
5, eco2, 51531, 10726.58, 411.2, 472.5, 0.0
5, eco3, 43338, 10217.98, 458.9, 471.4, 0.0
5, eco1, 93059, 9492.80, 387.6, 546.0, 0.0
6, eco2, 51531, 10709.49, 410.0, 472.2, 0.0
6, eco3, 43338, 10266.28, 460.5, 474.0, 0.0
6, eco1, 93059, 9493.19, 386.5, 546.4, 0.0
7, eco2, 51531, 10691.03, 408.7, 471.9, 0.0
7, eco3, 43338, 10311.35, 461.8, 476.5, 0.0
7, eco1, 93059, 9490.30, 385.3, 546.7, 0.0
8, eco2, 51531, 10663.27, 407.4, 471.6, 0.0
8, eco3, 43338, 10349.18, 463.2, 479.1, 0.0
8, eco1, 93059, 9480.50, 384.1, 546.7, 0.0
9, eco2, 51531, 10637.35, 406.2, 471.4, 0.0
9, eco3, 43338, 10386.16, 464.4, 481.6, 0.0
9, eco1, 93059, 9470.37, 382.5, 546.5, 0.0
10, eco2, 51531, 10438.12, 400.5, 474.0, 0.0
10, eco3, 43338, 10343.00, 464.6, 485.2, 0.0
10, eco1, 93059, 9403.28, 380.7, 546.9, 0.0
11, eco2, 51531, 10400.11, 399.5, 472.0, 0.0
11, eco3, 43338, 10367.77, 465.7, 487.2, 0.0
11, eco1, 93059, 9390.41, 379.2, 546.2, 0.0
12, eco2, 51531, 10356.91, 398.2, 470.5, 0.0
12, eco3, 43338, 10382.49, 466.5, 489.2, 0.0
12, eco1, 93059, 9366.65, 377.8, 545.6, 0.0
13, eco2, 51531, 10304.72, 396.7, 469.3, 0.0
13, eco3, 43338, 10391.27, 467.0, 491.2, 0.0
13, eco1, 93059, 9340.72, 376.0, 544.8, 0.0
14, eco2, 51531, 10250.22, 394.3, 468.0, 0.0
14, eco3, 43338, 10397.06, 466.9, 493.0, 0.0
14, eco1, 93059, 9312.82, 374.2, 544.0, 0.0
15, eco2, 51531, 10201.64, 393.2, 467.0, 0.0
15, eco3, 43338, 10414.48, 467.7, 495.0, 0.0
15, eco1, 93059, 9292.28, 372.6, 543.2, 0.0
16, eco2, 51531, 10151.37, 391.5, 466.2, 0.0
16, eco3, 43338, 10426.96, 467.9, 496.8, 0.0
16, eco1, 93059, 9271.22, 370.4, 542.2, 0.0
17, eco2, 51531, 10103.47, 390.3, 465.6, 0.0
17, eco3, 43338, 10434.23, 468.6, 498.8, 0.0
17, eco1, 93059, 9243.73, 368.2, 541.0, 0.0
