Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
1, ABBA, 0, 0, 0, 1366, 
1, ACRU, 0, 0, 10, 376, 
1, ACSA3, 0, 0, 4, 17, 
1, ACSP2, 0, 0, 3, 537, 
1, ALIN2, 0, 0, 0, 136, 
1, BEAL2, 0, 0, 1, 657, 
1, BEPA, 0, 0, 10, 2795, 
1, CRDO2, 0, 0, 0, 171, 
1, FRNI, 0, 0, 0, 32, 
1, LALA, 0, 0, 0, 224, 
1, PIGL, 0, 0, 0, 2058, 
1, PIMA, 0, 0, 0, 475, 
1, PIBA2, 0, 0, 0, 179, 
1, PIRE, 0, 0, 0, 13, 
1, PIST, 0, 0, 0, 262, 
1, POBA2, 0, 0, 2, 306, 
1, POGR4, 0, 0, 0, 777, 
1, POTR5, 0, 0, 53, 2875, 
1, PRVI, 0, 0, 0, 219, 
1, QURU, 0, 0, 0, 8, 
1, SODE3, 0, 0, 10, 1920, 
1, THOC2, 0, 0, 1, 2402, 
1, Shrub, 0, 0, 83, 4145, 
2, ABBA, 0, 0, 0, 892, 
2, ACRU, 0, 0, 7, 87, 
2, ACSA3, 0, 0, 1, 71, 
2, ACSP2, 0, 0, 2, 142, 
2, ALIN2, 0, 0, 0, 872, 
2, BEAL2, 0, 0, 0, 366, 
2, BEPA, 0, 0, 11, 1047, 
2, CRDO2, 0, 0, 0, 208, 
2, FRNI, 0, 0, 0, 54, 
2, LALA, 0, 0, 0, 345, 
2, PIGL, 0, 0, 0, 1170, 
2, PIMA, 0, 0, 0, 879, 
2, PIBA2, 0, 0, 0, 96, 
2, PIRE, 0, 0, 0, 7, 
2, PIST, 0, 0, 0, 74, 
2, POBA2, 0, 0, 0, 150, 
2, POGR4, 0, 0, 2, 218, 
2, POTR5, 0, 0, 15, 1026, 
2, PRVI, 0, 0, 0, 55, 
2, QURU, 0, 0, 0, 3, 
2, SODE3, 0, 0, 10, 1134, 
2, THOC2, 0, 0, 1, 1148, 
2, Shrub, 0, 0, 73, 2682, 
3, ABBA, 0, 0, 0, 991, 
3, ACRU, 0, 0, 14, 145, 
3, ACSA3, 0, 0, 12, 8, 
3, ACSP2, 0, 0, 0, 222, 
3, ALIN2, 0, 0, 0, 896, 
3, BEAL2, 0, 0, 1, 415, 
3, BEPA, 0, 0, 15, 1222, 
3, CRDO2, 0, 0, 0, 220, 
3, FRNI, 0, 0, 0, 56, 
3, LALA, 0, 0, 0, 317, 
3, PIGL, 0, 0, 0, 1358, 
3, PIMA, 0, 0, 0, 813, 
3, PIBA2, 0, 0, 0, 107, 
3, PIRE, 0, 0, 0, 13, 
3, PIST, 0, 0, 0, 108, 
3, POBA2, 0, 0, 1, 164, 
3, POGR4, 0, 0, 0, 253, 
3, POTR5, 0, 0, 22, 1256, 
3, PRVI, 0, 0, 2, 97, 
3, QURU, 0, 0, 1, 2, 
3, SODE3, 0, 0, 14, 1353, 
3, THOC2, 0, 0, 17, 1332, 
3, Shrub, 0, 0, 71, 2898, 
4, ABBA, 0, 0, 0, 679, 
4, ACRU, 0, 0, 7, 131, 
4, ACSA3, 0, 0, 4, 9, 
4, ACSP2, 0, 0, 1, 177, 
4, ALIN2, 0, 0, 0, 793, 
