Time,NEEC,SOMTC,AGB,AG_NPPC,MineralN,C_DeadWood,
0, 0, 23572.6, 11451.9, 0, 2, 125.8, 
1, 29, 23506.6, 11545.2, 154.1, 0.26, 74, 
2, 60.7, 23422, 11525.5, 107.9, 0.2, 73, 
3, 20.1, 23366.8, 11528.1, 131.2, 0.23, 78.8, 
4, 20.9, 23315.6, 11529.1, 146.5, 0.22, 88, 
5, 28.1, 23278.4, 11510.4, 145.3, 0.25, 96.6, 
6, -14.2, 23259.2, 11517.6, 185.5, 0.25, 106.4, 
7, -25, 23250.8, 11550.2, 213, 0.24, 111, 
8, 34, 23237.9, 11553.6, 186.2, 0.29, 109.9, 
9, 39.5, 23229, 11537, 162.4, 0.29, 108.3, 
10, -15, 23226.2, 11523.3, 200.7, 0.22, 117.5, 
11, 6.7, 23235.7, 11497.9, 166.4, 0.24, 119.5, 
12, -29.4, 23236.6, 11560, 237.6, 0.32, 122.5, 
13, -33.6, 23237, 11577.2, 263.1, 0.27, 123.9, 
14, -41.6, 23244.4, 11667.3, 280.4, 0.32, 118.2, 
15, -23.8, 23247.5, 11668.5, 238.1, 0.28, 122.1, 
16, 26, 23248.8, 11622.7, 171.4, 0.26, 125.4, 
17, -26.6, 23259.3, 11648.1, 226.4, 0.28, 125.1, 
18, -47.1, 23272.9, 11693, 252.6, 0.25, 122.8, 
19, 7.6, 23278.7, 11697.3, 197.2, 0.26, 118.5, 
20, 21.9, 23270.4, 11688.3, 191.6, 0.31, 120.8, 
21, -19.8, 23273.5, 11682.4, 212.4, 0.26, 125.5, 
