Time,SpeciesName,ClimateRegion,NumberAttempts,AvgTempMult,AvgMinJanTempMult,AvgSoilMoistureMult,AvgDryDaysMult,AvgProbEst,DryDays,BeginGDD,EndGDD,
5, ABBA, eco1, 19041, 1, 1, 1, 0.33, 0.13, 24.23, 118.67, 269.94, 
5, ACRU, eco1, 17537, 0.15, 1, 1, 0.49, 0.07, 23.7, 118.67, 269.97, 
5, ACSA3, eco1, 19243, 0.46, 1, 1, 0.23, 0.02, 24.75, 118.7, 269.98, 
5, ACSP2, eco1, 18908, 0.15, 1, 1, 0.48, 0.08, 23.9, 118.71, 269.94, 
5, ALIN2, eco1, 10132, 0.97, 1, 1, 0.47, 0.46, 20.85, 118.75, 269.98, 
5, BEAL2, eco1, 19335, 0.78, 1, 1, 0.34, 0.14, 24.54, 118.72, 269.95, 
5, BEPA, eco1, 15301, 0.92, 1, 1, 0.61, 0.29, 22.68, 118.7, 269.94, 
5, CRDO2, eco1, 19109, 0.86, 1, 1, 0.31, 0.27, 24.2, 118.7, 269.95, 
5, FRNI, eco1, 18924, 0.94, 1, 1, 0.25, 0.24, 24.18, 118.63, 269.96, 
5, LALA, eco1, 9929, 1, 1, 1, 0.61, 0.42, 21.18, 118.76, 269.96, 
5, PIGL, eco1, 17723, 0.78, 1, 1, 0.53, 0.28, 23.38, 118.66, 269.96, 
5, PIMA, eco1, 10025, 0.78, 1, 1, 0.62, 0.49, 20.89, 118.75, 269.98, 
5, PIBA2, eco1, 10199, 0.99, 1, 1, 0.78, 0.32, 20.77, 118.73, 269.97, 
5, PIRE, eco1, 17429, 0.96, 1, 1, 0.75, 0.49, 23.57, 118.67, 269.97, 
5, PIST, eco1, 15307, 0.59, 1, 1, 0.74, 0.38, 22.6, 118.68, 269.94, 
5, POBA2, eco1, 15090, 1, 1, 1, 0.59, 0.29, 22.59, 118.7, 269.95, 
5, POGR4, eco1, 17542, 0.59, 1, 1, 0.62, 0.33, 23.71, 118.7, 269.94, 
5, POTR5, eco1, 15320, 0.98, 1, 1, 0.59, 0.29, 22.62, 118.69, 269.96, 
5, PRVI, eco1, 17726, 0.22, 1, 1, 0.63, 0.14, 23.68, 118.66, 269.96, 
5, QURU, eco1, 19075, 0.38, 1, 1, 0.4, 0.14, 24.35, 118.68, 269.94, 
5, SODE3, eco1, 18789, 0.92, 1, 1, 0.63, 0.4, 23.99, 118.67, 269.94, 
5, THOC2, eco1, 15145, 0.97, 1, 1, 0.66, 0.48, 22.58, 118.66, 269.95, 
5, Shrub, eco1, 19100, 0.84, 1, 1, 0.91, 0.83, 24.15, 118.65, 269.96, 
10, ABBA, eco1, 16892, 0.99, 1, 1, 0.72, 0.49, 11.33, 117.87, 276.04, 
10, ACRU, eco1, 14777, 0.08, 1, 1, 0.82, 0.06, 10.83, 117.88, 276.05, 
10, ACSA3, eco1, 18069, 0.3, 1, 1, 0.33, 0.06, 11.64, 117.85, 276.06, 
10, ACSP2, eco1, 16812, 0.09, 1, 1, 0.82, 0.06, 11.22, 117.87, 276.05, 
10, ALIN2, eco1, 7881, 0.94, 1, 1, 0.5, 0.48, 10.11, 117.95, 276.02, 
