Time,Month,ClimateRegionName,ClimateRegionIndex,NumSites,Precipitation,AirTemp,AvgTotalNPP_C,AvgHeteroRespiration,AvgSoilRespiration,avgNEE,Ndep,StreamN,SoilWaterContent,AnaerobicEffect,
5, 7, eco1, 1, 140433, 7.7, 16.3, 48.24, 33.92, 40.06, -14.32, 0.06, 0.01, 13.89, 0.71, 
5, 8, eco1, 1, 140433, 3.7, 18.3, 37.29, 42.8, 45.79, 5.51, 0.06, 0, 10.83, 0.82, 
5, 9, eco1, 1, 140433, 7.5, 13.2, 39.37, 25.81, 31.43, -13.57, 0.06, 0, 13.17, 0.6, 
5, 10, eco1, 1, 140433, 5.5, 6.4, 23.14, 11.23, 14.43, -11.92, 0.06, 0, 13.05, 0.27, 
5, 11, eco1, 1, 140433, 4.8, -0.9, 0.99, 18.16, 16.07, 17.18, 0.06, 0, 11.57, 1, 
5, 12, eco1, 1, 140433, 4.3, -4.1, 0.65, 15.03, 13.26, 14.37, 0.06, 0, 11.24, 1, 
5, 1, eco1, 1, 140433, 2.9, -10, 0.28, 10.5, 9.22, 10.22, 0.06, 0, 10.7, 1, 
5, 2, eco1, 1, 140433, 2.7, -12, 0.21, 9.35, 8.19, 9.14, 0.06, 0, 10.28, 1, 
5, 3, eco1, 1, 140433, 4.5, -4.8, 0.53, 14.44, 12.65, 13.91, 0.06, 0, 9.94, 1, 
5, 4, eco1, 1, 140433, 4.7, 2, 3.46, 5.65, 3.65, 2.19, 0.06, 0, 16.22, 0.01, 
5, 5, eco1, 1, 140433, 10.1, 8.5, 9.12, 8.43, 6.7, -0.69, 0.06, 0, 25.26, 0.02, 
5, 6, eco1, 1, 140433, 4.4, 11.9, 28.16, 23.46, 26.35, -4.7, 0.06, 0.01, 15.02, 0.56, 
10, 7, eco1, 1, 140433, 6.7, 16, 71.24, 42.1, 53.31, -29.14, 0.06, 0, 12.75, 0.78, 
10, 8, eco1, 1, 140433, 3.8, 16.8, 80.04, 45.48, 58.77, -34.56, 0.06, 0, 11.22, 0.8, 
10, 9, eco1, 1, 140433, 8.8, 12.6, 40.45, 28.88, 33.22, -11.57, 0.06, 0.01, 13.58, 0.56, 
10, 10, eco1, 1, 140433, 4.5, 6.7, 26.01, 16.84, 19.43, -9.17, 0.06, 0, 12.37, 0.39, 
10, 11, eco1, 1, 140433, 6.3, -0.7, 1.1, 21.17, 18.22, 20.07, 0.06, 0, 11.34, 1, 
10, 12, eco1, 1, 140433, 7.3, -10.9, 0.28, 11.43, 9.78, 11.15, 0.06, 0, 10.77, 1, 
10, 1, eco1, 1, 140433, 4.1, -8.8, 0.35, 12.97, 11.08, 12.62, 0.06, 0, 10.33, 1, 
10, 2, eco1, 1, 140433, 2.1, -10.1, 0.28, 11.97, 10.21, 11.69, 0.06, 0, 9.97, 1, 
10, 3, eco1, 1, 140433, 2.7, -5.5, 0.52, 15.8, 13.48, 15.28, 0.06, 0, 9.69, 1, 
10, 4, eco1, 1, 140433, 7.7, 3.3, 4.2, 8.21, 5.17, 4.01, 0.06, 0, 18.38, 0.01, 
10, 5, eco1, 1, 140433, 7, 6.5, 7.5, 9.92, 7.03, 2.42, 0.06, 0, 24.51, 0.01, 
10, 6, eco1, 1, 140433, 10.9, 12.9, 27.63, 23.57, 24.13, -4.05, 0.06, 0.03, 21.12, 0.36, 
15, 7, eco1, 1, 140433, 12.2, 16.4, 72.1, 41.11, 51.21, -30.99, 0.06, 0.02, 14.71, 0.67, 
15, 8, eco1, 1, 140433, 4.9, 17.5, 90.37, 49.71, 64.43, -40.67, 0.06, 0, 11.58, 0.81, 
15, 9, eco1, 1, 140433, 6.6, 14.7, 66.32, 38.04, 46.92, -28.28, 0.06, 0, 12.73, 0.64, 
15, 10, eco1, 1, 140433, 8.5, 8.6, 32.33, 18.13, 21.24, -14.2, 0.06, 0, 14.51, 0.26, 
15, 11, eco1, 1, 140433, 5.4, 0.7, 1.49, 24.1, 20.52, 22.61, 0.06, 0, 12.27, 1, 
15, 12, eco1, 1, 140433, 7.8, -8.3, 0.45, 13.99, 11.84, 13.54, 0.06, 0, 11.39, 1, 
15, 1, eco1, 1, 140433, 5.6, -5.7, 0.61, 16.35, 13.83, 15.74, 0.06, 0, 10.83, 1, 
15, 2, eco1, 1, 140433, 3.5, -6.1, 0.56, 15.94, 13.47, 15.38, 0.06, 0, 10.38, 1, 
15, 3, eco1, 1, 140433, 4.4, -1.6, 1.15, 20.76, 17.61, 19.62, 0.06, 0, 12.68, 1, 
15, 4, eco1, 1, 140433, 10, 2.9, 3.95, 9.28, 5.86, 5.33, 0.06, 0, 20.34, 0.01, 
15, 5, eco1, 1, 140433, 9.1, 7.4, 8.13, 12.14, 8.61, 4, 0.06, 0.01, 27.74, 0.01, 
15, 6, eco1, 1, 140433, 7.4, 13.3, 37.06, 29.13, 31.24, -7.93, 0.06, 0.03, 19.45, 0.46, 
20, 7, eco1, 1, 140433, 8.1, 16.6, 58.93, 42.1, 48.21, -16.83, 0.06, 0.02, 15.4, 0.68, 
20, 8, eco1, 1, 140433, 8.2, 16.7, 86.17, 45.04, 59.4, -41.13, 0.06, 0, 13.74, 0.76, 
20, 9, eco1, 1, 140433, 12.3, 13.2, 42.22, 28.66, 32.64, -13.56, 0.06, 0.02, 16.72, 0.45, 
20, 10, eco1, 1, 140433, 12.6, 4.7, 11.45, 10.22, 8.96, -1.24, 0.06, 0, 19.87, 0.01, 
