Time,TotalSites,TotalPopulation,PopulationDensity,TotalForage,MeanForage,TotalK,TotalEffectivePopulation,TotalSitesDamaged,AverageBiomassRemoved,AverageBiomassKilled,TotalCohortsKilled,BDI,
1, 140433, 750, 1.48350696298828, 5319751, 10, 2286, 750, 139719, 3, 3, 1313, 0.328069415279023, 
2, 140433, 850, 1.68130789138672, 5364979, 10, 2305, 850, 139722, 3, 4, 1592, 0.368677677955496, 
3, 140433, 900, 1.78020835558594, 5359634, 10, 2303, 900, 139724, 4, 4, 1576, 0.390753622355556, 
4, 140433, 1000, 1.97800928398438, 5352820, 10, 2300, 1000, 139727, 4, 4, 1810, 0.434723528906259, 
5, 140433, 900, 1.78020835558594, 5336133, 10, 2293, 900, 139729, 4, 4, 1615, 0.392474550390704, 
6, 140433, 750, 1.48350696298828, 6131272, 12, 2634, 750, 139776, 3, 3, 1258, 0.284646905242501, 
7, 140433, 540, 1.06812501335156, 5843323, 11, 2511, 540, 139775, 2, 2, 849, 0.215044829799756, 
8, 140433, 385, 0.761533574333984, 5667106, 11, 2435, 385, 139776, 1, 1, 288, 0.158086402477737, 
9, 140433, 450, 0.890104177792969, 5535111, 10, 2378, 450, 139777, 2, 2, 608, 0.189182547558667, 
10, 140433, 650, 1.28570603458984, 5531662, 10, 2377, 650, 139777, 2, 3, 1331, 0.273434494009215, 
11, 140433, 530, 1.04834492051172, 6616048, 13, 2843, 530, 139719, 2, 2, 618, 0.186411827725555, 
12, 140433, 510, 1.00878473483203, 6519958, 12, 2801, 510, 139725, 2, 2, 532, 0.182020927128672, 
13, 140433, 515, 1.01867478125195, 6438147, 12, 2766, 515, 139725, 2, 2, 500, 0.186141136572371, 
14, 140433, 750, 1.48350696298828, 6222942, 12, 2674, 750, 139725, 3, 3, 1166, 0.280453778936072, 
15, 140433, 975, 1.92855905188477, 5826302, 11, 2503, 975, 139725, 4, 4, 1975, 0.389410710258411, 
16, 140433, 1050, 2.07690974818359, 6918089, 13, 2972, 1050, 139182, 4, 5, 1645, 0.353182620229373, 
17, 140433, 1250, 2.47251160498047, 6444939, 12, 2769, 1250, 139182, 5, 6, 2256, 0.451323061397478, 
18, 140433, 1300, 2.57141206917969, 5936265, 11, 2551, 1300, 139182, 5, 6, 2584, 0.509596185480264, 
19, 140433, 1600, 3.164814854375, 5376949, 10, 2310, 1600, 139185, 7, 8, 3556, 0.692437142327368, 
20, 140433, 1500, 2.96701392597656, 4818338, 9, 2070, 1500, 139186, 6, 8, 3716, 0.724419665038028, 
21, 140433, 2060, 4.07469912500781, 6487570, 12, 2787, 2060, 139161, 9, 10, 3889, 0.738892929093636, 
