siteID,seas,yr,Criteria1,Criteria2,Criteria3,Ca,Mg,K,Na,NH4,NO3,Cl,SO4,pH,conduc,svol,ppt,fullChemLab,daysSample,startDate,endDate
MI97,10,1985,25,25,100,.180,.030,.025,.018,.620,2.510,.060,2.630,4.350,27.000,3553.700,5.234,1,28,"Oct  1 1985 12:00AM","Oct 29 1985 12:00AM"
MI97,11,1985,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,35,"Oct 29 1985 12:00AM","Dec  3 1985 12:00AM"
MI97,12,1985,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Dec  3 1985 12:00AM","Dec 31 1985 12:00AM"
MI97,5,1985,0,37,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,5.303,0,13,"May 22 1985 12:00AM","Jun  4 1985 12:00AM"
MI97,6,1985,0,100,0,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,6.108,0,28,"Jun  4 1985 12:00AM","Jul  2 1985 12:00AM"
MI97,7,1985,25,100,0,.480,.167,.064,.230,.080,.950,.400,1.350,4.760,16.800,12.200,7.717,1,28,"Jul  2 1985 12:00AM","Jul 30 1985 12:00AM"
MI97,8,1985,40,100,26,.083,.023,.020,.019,.139,.973,.046,1.100,4.683,12.515,1209.000,6.863,2,35,"Jul 30 1985 12:00AM","Sep  3 1985 12:00AM"
MI97,9,1985,100,100,100,.143,.035,.011,.020,.114,.372,.041,1.203,4.913,8.538,4319.800,6.260,4,28,"Sep  3 1985 12:00AM","Oct  1 1985 12:00AM"
MI97,1,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,35,"Dec 31 1985 12:00AM","Feb  4 1986 12:00AM"
MI97,10,1986,20,40,86,.040,.013,.016,.087,.060,.720,.100,.950,4.660,11.700,2153.800,3.556,1,35,"Sep 30 1986 12:00AM","Nov  4 1986 12:00AM"
MI97,11,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Nov  4 1986 12:00AM","Dec  2 1986 12:00AM"
MI97,12,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Dec  2 1986 12:00AM","Dec 30 1986 12:00AM"
MI97,2,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Feb  4 1986 12:00AM","Mar  4 1986 12:00AM"
MI97,3,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Mar  4 1986 12:00AM","Apr  1 1986 12:00AM"
MI97,4,1986,0,0,-9,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,-9.000,.000,-9.000,0,28,"Apr  1 1986 12:00AM","Apr 29 1986 12:00AM"
