TIMESTEP,MEAN(C),VARIANCE(C^2),STD_DEV(C)
1979-01-01T00:00:00Z,-21.08333,1.6915517,1.3005967
1979-01-02T00:00:00Z,-23.16111,1.6325479,1.277712
1979-01-03T00:00:00Z,-19.25513,1.0130769,1.0065172
1979-01-04T00:00:00Z,-23.60897,0.95278513,0.9761071
1979-01-05T00:00:00Z,-21.15427,1.1019644,1.0497448
1979-01-06T00:00:00Z,-18.78248,1.0923843,1.0451719
1979-01-07T00:00:00Z,-19.9688,0.6160227,0.78487116
1979-01-08T00:00:00Z,-20.64829,0.76620394,0.87533075
1979-01-09T00:00:00Z,-20.98076,0.44732097,0.66882056
1979-01-10T00:00:00Z,-23.18676,0.36493075,0.604095
1979-01-11T00:00:00Z,-24.80984,0.2998379,0.5475746
1979-01-12T00:00:00Z,-22.54401,0.43194667,0.6572265
1979-01-13T00:00:00Z,-23.14658,1.2030916,1.0968554
1979-01-14T00:00:00Z,-24.73717,0.7445756,0.8628879
1979-01-15T00:00:00Z,-26.01496,0.1947097,0.4412592
1979-01-16T00:00:00Z,-29.19274,0.21781315,0.46670455
1979-01-17T00:00:00Z,-20.53718,0.64164454,0.8010272
1979-01-18T00:00:00Z,-23.00727,0.33436486,0.5782429
1979-01-19T00:00:00Z,-18.7329,0.65022254,0.80636376
1979-01-20T00:00:00Z,-12.36112,0.7896169,0.88860387
1979-01-21T00:00:00Z,-9.3252,0.34791481,0.58984303
1979-01-22T00:00:00Z,-14.81153,0.25997347,0.50987595
1979-01-23T00:00:00Z,-16.22352,0.28351605,0.53246224
1979-01-24T00:00:00Z,-19.09188,1.2490067,1.1175897
1979-01-25T00:00:00Z,-22.02265,0.8954524,0.94628346
1979-01-26T00:00:00Z,-19.42179,0.5565252,0.7460062
1979-01-27T00:00:00Z,-11.45853,0.69165045,0.83165526
1979-01-28T00:00:00Z,-10.75257,0.36990717,0.60819995
1979-01-29T00:00:00Z,-12.4654,0.371313,0.60935456
1979-01-30T00:00:00Z,-13.22693,0.44782493,0.6691972
1979-01-31T00:00:00Z,-14.28333,0.17534482,0.41874197
1979-02-01T00:00:00Z,-18.67478,0.15757,0.39695087
1979-02-02T00:00:00Z,-15.92094,0.21397583,0.46257523
1979-02-03T00:00:00Z,-14.48163,0.4954568,0.7038869
1979-02-04T00:00:00Z,-21.56368,0.40084586,0.6331239
1979-02-05T00:00:00Z,-24.39017,0.23897584,0.48885155
1979-02-06T00:00:00Z,-19.70128,0.2676923,0.5173899
1979-02-07T00:00:00Z,-21.54658,0.39153993,0.6257315
1979-02-08T00:00:00Z,-25.45257,0.41870028,0.6470705
1979-02-09T00:00:00Z,-24.24573,0.34437814,0.5868374
1979-02-10T00:00:00Z,-26.57137,0.3108326,0.5575236
1979-02-11T00:00:00Z,-20.55941,0.1581005,0.39761853
1979-02-12T00:00:00Z,-19.67051,0.24181698,0.4917489
1979-02-13T00:00:00Z,-21.15,0.22534482,0.47470498
1979-02-14T00:00:00Z,-17.5765,0.24437813,0.49434617
1979-02-15T00:00:00Z,-16.94742,0.1942175,0.44070116
1979-02-16T00:00:00Z,-26.11666,0.23603448,0.4858338
1979-02-17T00:00:00Z,-28.60299,0.24302977,0.49298048
1979-02-18T00:00:00Z,-29.01838,0.25321543,0.5032052
1979-02-19T00:00:00Z,-21.02265,0.32752135,0.57229483
1979-02-20T00:00:00Z,-14.82862,0.30393603,0.5513039
1979-02-21T00:00:00Z,-11.53974,0.3574801,0.5978964
1979-02-22T00:00:00Z,-11.1782,0.16704243,0.40870824
1979-02-23T00:00:00Z,-9.6859,0.29766577,0.54558754
1979-02-24T00:00:00Z,-19.7671,0.19522251,0.44183993
1979-02-25T00:00:00Z,-21.66282,0.2523342,0.5023288
1979-02-26T00:00:00Z,-17.83803,0.30830386,0.5552512
1979-02-27T00:00:00Z,-14.37736,0.36114207,0.60095096
1979-02-28T00:00:00Z,-8.256,0.14418803,0.379721
1979-03-01T00:00:00Z,-9.42692,0.13454907,0.3668093
1979-03-02T00:00:00Z,-7.10898,0.25450927,0.5044891
1979-03-03T00:00:00Z,-1.256,0.19815356,0.44514441
1979-03-04T00:00:00Z,-3.41837,0.20562923,0.4534636
1979-03-05T00:00:00Z,-7.756,0.73194665,0.8555388
1979-03-06T00:00:00Z,-10.1201,0.5129767,0.71622396
1979-03-07T00:00:00Z,-8.8953,0.2416372,0.49156606
1979-03-08T00:00:00Z,-8.9124,0.1982287,0.44522882
1979-03-09T00:00:00Z,-7.67307,0.7297215,0.8542374
1979-03-10T00:00:00Z,-13.15684,0.43615973,0.66042393
1979-03-11T00:00:00Z,-13.86027,0.31782493,0.5637596
1979-03-12T00:00:00Z,-11.6594,0.434135,0.65888923
1979-03-13T00:00:00Z,-6.72608,0.16545682,0.40676385
1979-03-14T00:00:00Z,-12.86368,0.15825965,0.39781862
1979-03-15T00:00:00Z,-17.37736,0.16303861,0.4037804
1979-03-16T00:00:00Z,-14.32178,0.29307693,0.5413658
1979-03-17T00:00:00Z,-7.45768,0.45502654,0.67455655
1979-03-18T00:00:00Z,-0.16025,0.26679045,0.51651764
1979-03-19T00:00:00Z,2.62777,0.25208813,0.5020838
1979-03-20T00:00:00Z,0.28417,0.6865797,0.82860106
1979-03-21T00:00:00Z,0.13033,0.23952402,0.48941192
1979-03-22T00:00:00Z,0.04147,0.17251253,0.41534626
1979-03-23T00:00:00Z,-4.12607,0.12787062,0.35759002
1979-03-24T00:00:00Z,-10.61924,0.16645889,0.40799373
1979-03-25T00:00:00Z,-16.2278,0.1579502,0.39742947
1979-03-26T00:00:00Z,-10.96284,0.115954906,0.3405215
