Species,Funct,N,GDD,GDD,Min,Max,Leaf,Epi-,Leaf,FRoot,Wood,CRoot,Leaf,FRoot,Wood,CRoot,Littr
>>,ional,Fixer,Min,Max,Jan,Drought,Long,cormic,Lign%,Lign%,Lign%,Lign%,CN,CN,CN,CN,CN
>>,Type,,Temp,,,,,,,,,,,,,,
BalsamFir,5,N,560,2386,-25,0.165,3,N,0.252,0.225,0.312,0.204,35.5,43,482,84,74
BoxElder,1,N,1260,6600,-18,0.23,1,N,0.183,0.334,0.125,0.312,28.2,26,248,50,55
RedMaple,1,N,1260,6600,-18,0.23,1,N,0.183,0.334,0.125,0.312,28.2,26,248,50,55
SugarMaple,1,N,1222,3100,-18,0.072,1,N,0.175,0.334,0.125,0.312,25.1,26,388,50,55
MtnMaple,1,N,1260,6600,-18,0.23,1,N,0.183,0.334,0.125,0.312,28.2,26,600,50,55
YellowBirch,1,N,1100,2500,-18,0.18,1,N,0.219,0.27,0.2018,0.251,21,26,365,50,65
PaperBirch,4,N,484,2036,-28,0.28,1,N,0.201,0.27,0.2018,0.251,23.3,26,384,50,65
Hackberry,1,N,1260,6600,-18,0.23,1,N,0.175,0.27,0.2,0.251,18.1,25,145,49,65
WhiteAsh,1,N,1398,5993,-12,0.28,1,N,0.144,0.27,0.2018,0.251,22.9,26,189,50,65
BlackAsh,1,N,1000,2261,-18,0.0198,1,N,0.144,0.27,0.2018,0.251,22.9,26,189,50,65
GreenAsh,1,N,1050,5482,-23,0.114,1,N,0.144,0.27,0.2018,0.251,22.9,26,189,50,65
Tamarack,2,N,280,2660,-29,0.267,1,N,0.297,0.225,0.312,0.204,20.7,26,600,50,74
Hophornbm,1,N,1278,5556,-18,0.28,1,N,0.211,0.27,0.2018,0.251,22.2,26,417,50,65
WhiteSpruce,5,N,280,1911,-30,0.2472,3,N,0.249,0.258,0.4,0.234,45.8,43,500,84,55
BlackSpruce,5,N,247,1911,-30,0.27,3,N,0.221,0.258,0.4,0.234,62.9,43,439,84,100
JackPine,5,N,830,2216,-30,0.411,3,N,0.266,0.225,0.4,0.204,48.7,43,600,84,55
RedPine,2,N,1100,2035,-20,0.385,3,N,0.266,0.225,0.3104,0.204,48.7,43,600,84,55
WhitePine,2,N,1100,3165,-20,0.372,3,N,0.263,0.225,0.3104,0.204,40.7,43,398,84,55
BalsmPoplar,4,N,555,2491,-30,0.267,1,N,0.261,0.225,0.2,0.204,22.2,25,336,49,65
Cottonwood,4,N,555,2491,-30,0.2403,1,N,0.261,0.346,0.2,0.318,22.2,25,271,49,65
BigTAspen,4,N,1100,3169,-18,0.2937,1,N,0.261,0.346,0.2,0.318,22.2,25,450,49,65
QuakAspen,4,N,743,2461,-30,0.267,1,N,0.256,0.346,0.2,0.318,22.2,25,336,49,65
PinCherry,1,N,560,2500,-23,0.176,1,N,0.175,0.27,0.2,0.251,18.1,25,145,49,65
BlackCherry,1,N,1200,5993,-17,0.3,1,N,0.175,0.27,0.2,0.251,18.1,25,108,49,65
Chokecherry,1,N,1200,5993,-17,0.3,1,N,0.175,0.27,0.2,0.251,18.1,25,108,49,65
WhiteOak,3,N,1200,5537,-14,0.35,1,N,0.176,0.334,0.225,0.303,18.5,58,298,113,32
NPinOak,3,N,2000,2234,-15,0.378,1,N,0.149,0.334,0.225,0.303,18.5,58,345,113,32
BurOak,3,N,1000,5153,-20,0.385,1,N,0.249,0.334,0.225,0.303,18.5,58,345,113,32
RedOak,1,N,1100,4571,-17,0.2025,1,N,0.249,0.334,0.225,0.303,18.5,58,345,113,32
Willow,4,N,555,2491,-30,0.267,1,N,0.261,0.346,0.2,0.318,22.2,25,271,49,65
WhiteCedar,2,N,1000,2138,-20,0.315,3,N,0.262,0.225,0.312,0.204,41.8,43,333,84,74
Basswood,1,N,1400,3137,-17,0.2,1,N,0.17,0.334,0.2,0.31,17.3,26,417,50,35
AmericanElm,1,N,1204,6960,-20,0.264,1,N,0.137,0.27,0.2,0.251,25.5,26,417,50,65
SlipperyElm,1,N,1204,6960,-20,0.264,1,N,0.137,0.27,0.312,0.251,25.5,26,417,50,65
