,SITE_ID,SITE_NAME,Use,Saved,Reason,DATA_START,DATA_END,Species,Functional group,Moisture1,Moisture2,Moisture3,Moisture4,Comment
1,CA-ARB,Attawapiskat River Bog,F,,no veg data,2011,2015,,,,,,,
2,CA-ARF,Attawapiskat River Fen,F,,no NEE data,2011,2015,Black spruce,Wet conifers,,,,,no veg data -- peat with scattered conifers
3,CA-Ca1,British Columbia - 1949 Douglas-fir stand,F,,,1996,2010,,,,,,,
4,CA-Ca2,British Columbia - Clearcut Douglas-fir stand (harvested winter 1999/2000),F,,,1999,2010,,,,,,,
5,CA-Ca3,British Columbia - Pole sapling Douglas-fir stand,F,,,2001,2021,,,,,,,
6,CA-Cbo,"Ontario - Mixed Deciduous, Borden Forest Site",F,,no NEE data,1994,2020,"red maple, white pine, large-tooth aspen and white ash",Temperate hardwoods,,,,,
7,CA-Cha,New Brunswick - Charlie Lake site 01 (immature balsam fir forest to be thinned in year 3),F,,no NEE data,2004,2005,,,,,,,
8,CA-LP1,British Columbia - Mountain pine beetle-attacked lodgepole pine stand ,F,,wrong species,2007,2020,,,,,,,
9,CA-Man,Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area),F,,missing most data,1994,2008,,,,,,,
10,CA-Na1,New Brunswick - 1967 Balsam Fir - Nashwaak Lake Site 01 (Mature balsam fir forest),F,,no NEE data,2003,2005,,,,,,,
11,CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",T,T,,1996,2010,Aspen,Northern hardwoods,0.25,0.7,200,0.01,
12,CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",T,T,,1997,2010,Black spruce,Wet conifers,,,,,
13,CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977",T,T,,2003,2006,Jack pine,Dry/cold pines,,,,,
14,CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989",T,T,,2001,2006,"balsam poplar (Populus balsamifera L.), jack pine, trembling aspen, and birch",Northern hardwoods,,,,,
15,CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998",T,T,,2001,2006,aspen regen with black spruce and jack pine,Northern hardwoods,,,,,
16,CA-TP1,Ontario - Turkey Point 2002 Plantation White Pine,T,T,,2002,2017,White pine,Mesic warm conifers,-0.04,0.34,5.11,64.01,
17,CA-TP2,Ontario - Turkey Point 1989 Plantation White Pine,F,,,2002,2008,,,,,,,
