"","MapCode","SpeciesName","CohortAge","CohortBiomass"
"1",79392,318,10,27.17
"2",79392,746,5,17.38
"3",79392,746,10,21.45
"4",80627,12,15,37.73
"5",80627,129,35,210.43
"6",80627,129,40,78.65
"7",80627,129,45,555.06
"8",80627,129,50,277.75
"9",80627,129,55,100.87
"10",78796,746,5,118.47
"11",78796,746,10,194.7
"12",27667,12,5,6.16
"13",27667,12,10,16.61
"14",27667,12,15,113.52
"15",27667,12,20,265.76
"16",27667,12,25,298.54
"17",27667,12,30,743.49
"18",27667,12,35,931.59
"19",27667,12,40,1053.91
"20",27667,12,45,356.84
"21",27667,375,10,32.34
"22",27667,375,55,237.71
"23",27667,746,40,188.43
"24",27667,746,45,234.41
"25",26907,12,5,16.61
"26",26907,12,10,33.22
"27",26907,12,15,43.12
"28",26907,12,20,166.1
"29",26907,12,25,387.86
"30",26907,12,30,420.86
"31",26907,12,35,837.54
"32",26907,12,40,169.18
"33",26907,129,5,7.04
"34",26907,129,15,26.95
"35",26907,129,20,54.45
"36",26907,129,45,63.8
"37",26907,129,50,169.07
"38",26907,129,70,827.64
"39",26907,241,75,102.19
"40",26128,12,5,130.35
"41",26128,12,10,81.07
"42",26128,12,15,223.3
"43",26128,12,20,319.99
"44",26128,12,25,471.24
"45",26128,12,30,1751.42
"46",26128,12,35,1231.23
"47",26128,12,40,168.63
"48",26128,12,45,662.09
"49",26128,241,25,51.59
"50",26128,241,75,36.85
"51",26128,241,80,321.64
"52",26128,241,95,424.05
"53",26128,746,40,93.28
"54",26143,12,5,52.58
"55",26143,12,10,77.22
"56",26143,12,15,70.4
"57",26143,12,20,292.71
"58",26143,12,25,356.51
"59",26143,12,30,237.38
"60",26143,12,40,143.88
"61",26143,12,55,1.76
"62",26455,12,5,86.02
"63",26455,12,10,216.92
"64",26455,12,15,305.91
"65",26455,12,20,402.6
"66",26455,12,40,55
"67",26455,12,45,82.39
"68",26455,95,60,99.55
"69",26455,95,70,198.11
"70",26455,129,5,21.78
"71",26455,129,10,15.4
"72",26455,129,15,126.72
"73",26455,129,20,48.07
"74",26455,129,25,153.23
"75",26455,129,40,326.59
"76",26455,129,45,47.85
"77",26455,129,50,116.05
"78",26455,241,80,157.96
"79",26455,746,5,17.38
"80",26455,746,10,25.96
"81",26455,746,20,171.93
"82",26455,746,50,4.07
"83",26455,746,55,176.55
"84",26455,746,60,124.52
"85",26936,371,5,20.68
"86",26920,12,10,13.53
"87",26920,12,15,28.16
"88",27275,12,5,21.45
"89",27275,12,10,47.85
"90",27275,12,15,28.16
"91",27275,12,20,195.69
"92",27275,12,25,461.67
"93",27275,12,30,719.18
"94",27275,12,35,867.02
"95",27275,12,40,535.04
"96",27275,12,45,323.18
"97",27275,12,50,424.38
"98",27275,94,50,26.95
"99",27275,94,70,654.83
"100",27275,375,40,623.37
"101",27275,375,45,257.18
"102",27275,746,45,7.26
"103",27275,746,50,258.5
"104",26923,12,5,54.45
"105",26923,12,10,101.2
"106",26923,12,15,93.5
"107",26923,12,20,154
"108",26923,12,25,276.76
"109",26923,12,35,93.17
"110",26923,12,40,479.93
"111",26923,12,45,292.6
"112",26923,12,50,434.94
"113",26923,129,30,278.74
"114",26923,129,40,37.84
"115",26923,129,45,169.4
"116",26923,129,50,212.74
"117",26923,129,55,127.27
"118",26923,241,15,21.56
"119",27839,12,5,29.81
"120",27839,12,10,50.27
"121",27839,12,15,80.85
"122",27839,12,35,12.65
"123",27839,318,20,77.55
"124",27839,375,20,105.93
"125",27839,375,25,278.19
"126",27839,375,30,291.61
"127",27839,375,45,50.38
"128",27839,746,25,131.12
"129",27839,746,40,14.63
"130",27835,12,5,8.25
"131",27835,12,10,33.55
"132",27835,12,15,28.16
"133",27835,12,20,172.81
"134",27835,12,25,93.39
"135",27835,12,35,397.54
"136",27835,12,40,175.78
"137",27835,12,45,662.09
"138",27835,12,50,250.14
"139",27835,318,5,21.45
"140",27835,318,15,57.53
"141",27835,318,35,556.49
"142",27835,318,40,349.03
"143",27835,371,5,26.07
"144",27835,371,50,162.58
"145",27835,371,60,294.69
"146",27835,375,10,39.05
"147",27835,375,15,63.25
"148",27835,375,20,105.93
"149",27835,375,25,132
"150",27835,375,30,291.61
"151",27835,375,35,313.94
"152",27835,375,45,207.57
"153",27835,375,50,99.11
"154",30356,12,45,121.44
"155",30356,12,50,442.53
"156",30356,94,60,323.07
"157",30356,318,5,37.84
"158",30356,318,10,33.66
"159",30356,318,15,195.25
"160",30356,318,25,271.26
"161",30356,318,30,193.93
"162",30356,318,35,232.87
"163",30356,318,50,66.88
"164",30356,318,60,145.75
"165",30356,318,65,469.37
"166",30356,318,70,584.1
"167",30356,318,75,962.94
"168",30356,318,80,802.12
"169",30356,543,55,71.61
"170",30356,543,60,111.76
"171",29614,94,30,179.74
"172",29614,94,40,39.6
"173",29614,94,45,100.65
"174",29614,94,65,445.5
"175",29614,371,20,82.61
"176",29614,371,50,103.62
"177",29614,375,45,519.2
"178",29614,375,50,1652.09
"179",29614,375,55,3032.15
"180",29614,375,60,1745.37
"181",29614,375,65,549.45
"182",29614,746,60,688.6
"183",29645,12,40,15.4
"184",29645,12,45,146.96
"185",29645,12,55,290.29
"186",29645,94,65,153.56
"187",29645,94,70,280.5
"188",29645,241,5,17.16
"189",29645,241,20,65.01
"190",29645,241,35,87.45
"191",29645,241,60,346.39
"192",29645,241,65,163.46
"193",29645,241,70,414.37
"194",29645,241,75,516.12
"195",29645,241,80,266.53
"196",29645,241,85,1119.25
"197",29645,241,90,1193.06
"198",29645,241,95,842.82
"199",29645,241,100,1009.03
"200",29645,318,15,48.84
"201",29645,371,60,525.8
"202",29645,371,65,1262.91
"203",29645,371,75,866.25
"204",29645,375,45,74.91
"205",29645,375,55,196.68
"206",29645,543,15,43.01
"207",29645,543,20,108.68
"208",29645,543,25,97.35
"209",29645,543,40,878.02
"210",29645,543,45,875.49
"211",29645,543,50,54.01
"212",29645,543,55,67.76
"213",29645,543,60,101.42
"214",29645,543,70,561.33
"215",29618,12,55,123.97
"216",29618,241,10,14.41
"217",29618,241,90,286.33
"218",29618,241,95,1294.26
"219",29618,241,100,660.66
"220",29618,241,105,860.75
"221",29618,318,60,151.25
"222",29618,318,65,215.6
"223",29618,371,45,275.77
"224",29618,371,50,318.45
"225",29618,371,55,240.02
"226",29618,371,60,584.76
"227",29618,371,65,485.98
"228",29618,371,70,643.5
"229",29618,371,75,3567.3
"230",29618,371,85,2228.71
"231",29328,318,10,54.45
"232",29328,318,15,48.84
"233",29328,318,50,95.04
"234",29328,318,55,262.9
"235",29328,318,60,341.55
"236",29328,318,70,815.21
"237",29328,318,75,2522.52
"238",29328,318,80,1669.14
"239",29328,318,85,1275.78
"240",29328,318,90,7576.8
"241",30400,318,20,77.55
"242",30400,318,35,323.62
"243",30400,318,50,86.02
"244",30400,318,55,733.48
"245",30400,318,60,556.93
"246",30400,318,65,355.08
"247",30400,318,70,1533.62
"248",30400,318,75,2442.77
"249",30400,318,80,1127.5
"250",30400,371,55,283.8
"251",29338,318,50,268.73
"252",29338,318,55,416.35
"253",29338,318,65,718.63
"254",29338,318,70,1854.49
"255",29338,318,75,2013.77
"256",29338,318,80,3875.74
"257",29338,318,85,1461.24
"258",29338,318,95,3432.77
"259",29338,371,65,749.54
"260",29620,12,10,23.87
"261",29620,318,15,57.53
"262",29620,318,35,253.88
"263",29620,318,40,403.37
"264",29620,318,45,526.02
"265",29620,318,55,631.51
"266",29620,318,60,385
"267",29620,318,65,311.85
"268",29620,318,70,1207.03
"269",29620,318,75,2444.31
"270",29620,318,80,1101.32
"271",29620,318,85,3902.69
"272",29620,833,55,191.95
"273",29620,833,60,241.78
"274",29620,833,75,1920.82
"275",29620,833,85,1815.33
"276",29988,12,30,207.9
"277",29988,12,35,32.01
"278",29988,318,35,275.99
"279",29988,318,40,462.33
"280",29988,318,50,1048.41
"281",29988,318,55,588.83
"282",29988,318,60,2055.02
"283",29988,318,65,1499.74
"284",29988,318,70,843.26
"285",29988,318,75,1710.06
"286",29988,371,55,182.05
"287",29988,371,60,311.85
"288",29988,371,70,1049.62
"289",29988,833,80,4792.04
"290",29988,833,90,3464.34
"291",29957,95,15,26.07
"292",29957,95,25,53.68
"293",29957,95,30,75.46
"294",29957,95,50,127.16
"295",29957,95,55,865.26
"296",29957,95,60,178.09
"297",29957,95,65,235.62
"298",29957,95,75,267.63
"299",29957,129,80,1425.82
"300",29612,12,40,108.46
"301",29612,94,60,261.8
"302",29612,241,75,50.93
"303",29612,241,90,285.01
"304",29612,241,100,1545.61
"305",29612,241,105,789.03
"306",29612,318,10,68.09
"307",29612,318,35,232.87
"308",29612,318,40,403.37
"309",29612,318,50,84.15
"310",29612,318,55,88.88
"311",29612,318,60,195.8
"312",29612,318,65,268.62
"313",29612,318,70,657.25
"314",29612,318,75,1762.97
"315",29612,318,80,871.53
"316",29612,371,50,114.95
"317",29612,833,70,558.8
"318",29612,833,80,1058.42
"319",30039,12,50,182.71
"320",30039,105,5,10.78
"321",30039,105,15,27.83
"322",30039,105,20,115.39
"323",30039,105,25,407.99
"324",30039,105,30,212.19
"325",30039,105,35,354.97
"326",30039,105,40,238.48
"327",30039,105,45,845.24
"328",30039,105,50,1159.62
"329",29644,318,5,37.84
"330",29644,318,10,67.32
"331",29644,318,35,275.99
"332",29644,318,50,178.42
"333",29644,318,65,619.3
"334",29644,318,70,353.21
"335",29644,318,75,1125.19
"336",29644,318,80,1054.02
"337",29644,318,85,3661.02
"338",29644,318,90,3301.21
"339",29616,318,20,155.98
"340",29616,318,25,101.09
"341",29616,318,30,176
"342",29616,318,50,1240.14
"343",29616,318,55,422.4
"344",29616,318,60,714.01
"345",29616,318,65,1343.21
"346",29616,318,70,1612.38
"347",29616,318,75,767.36
"348",29616,318,80,2914.45
"349",29616,318,85,1183.27
"350",28954,129,30,133.65
"351",28954,746,5,10.56
"352",28954,746,15,146.63
"353",28954,746,20,142.78
"354",28954,746,25,155.87
"355",28884,105,5,37.73
"356",28884,105,10,43.78
"357",28884,105,15,209.55
"358",28992,95,15,52.58
"359",28992,95,25,67.76
"360",28992,95,35,309.65
"361",28992,95,40,193.05
"362",28992,95,50,161.7
"363",28992,95,55,262.35
"364",28992,95,60,86.24
"365",28992,95,65,110.88
"366",28992,105,35,68.53
"367",28992,105,40,69.3
"368",28992,105,45,77.99
"369",28992,105,50,339.02
"370",28971,12,5,8.25
"371",28971,12,10,60.61
"372",28971,12,15,37.73
"373",28971,12,20,69.08
"374",28971,12,25,102.52
"375",28971,12,30,180.62
"376",28971,12,40,144.1
"377",28971,12,45,98.56
"378",28971,94,50,110.55
"379",28971,371,60,453.97
"380",28971,371,70,1858.45
"381",28971,375,45,10.89
"382",28971,375,50,152.79
"383",28971,375,55,822.47
"384",28971,375,60,1792.78
"385",28971,375,65,2701.16
"386",28971,375,75,1062.6
"387",28971,746,50,213.29
"388",29835,12,35,165.88
"389",29835,12,40,87.78
"390",29835,95,30,101.53
"391",29835,95,65,151.03
"392",29835,241,65,23.87
"393",29835,241,70,126.72
"394",29835,241,75,88
"395",29835,241,80,289.41
"396",29835,375,25,132
"397",29835,375,45,128.59
"398",29835,746,20,88.77
"399",29835,746,35,898.81
"400",29835,746,40,144.98
"401",29835,746,45,718.19
"402",29835,746,50,325.6
"403",30768,95,25,60.5
"404",30768,95,40,193.05
"405",30768,95,55,52.47
"406",30768,105,5,10.78
"407",30768,105,10,53.57
"408",30768,105,15,32.34
"409",30768,105,20,121.44
"410",30768,105,25,189.86
"411",30768,105,40,40.15
"412",30768,105,55,99.99
"413",29742,95,10,32.34
"414",29742,95,15,47.85
"415",29742,95,20,94.6
"416",29742,95,25,53.68
"417",29742,95,30,387.86
"418",29742,95,35,693.55
"419",29742,95,40,428.01
"420",29742,95,45,318.78
"421",29742,95,50,37.29
"422",29740,318,5,21.45
"423",29740,318,10,95.26
"424",29740,318,15,115.17
"425",29740,318,60,761.31
"426",29740,318,65,1177.66
