Plot Code,Plot Species Counter,Plant Symbol,Scientific Name,Common Name,Family,Specimen Number,Used PLANTS,Source,Within Plot,Stratum Sort,Stratum,Diagnostic,Range Cover,Real Cover,Other Measure1,DBH,Update,User
ISRO.001,1,PIGL,Picea glauca (Moench) Voss,white spruce,Pinaceae,,TRUE,SY,TRUE,2,T2,TRUE,03,15,13,"10,16,10,10,10,10,14,20,12,10,11,11,12,11,11,11,11,11,12,11,11",2/9/1998,cr
ISRO.001,2,ABBA,Abies balsamea (L.) P. Mill.,balsam fir,Pinaceae,,TRUE,SY,TRUE,2,T2,TRUE,03,15,10,"13,11,10,11,10,11,11,11,13,11,10,12,11,12,11,16,10,11,10,10,10,10,10,10,10",2/9/1998,cr
ISRO.001,3,BEPA,Betula papyrifera Marsh.,paper birch,Betulaceae,,TRUE,SY,TRUE,2,T2,TRUE,03,15,,"10,12,11,11,10,10,11,11,11,10,10,11,11",2/9/1998,cr
ISRO.001,4,SODE3,Sorbus decora (Sarg.) Schneid.,northern mountainash,Rosaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,5,AMELA,Amelanchier Medik.,serviceberry,Rosaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,6,MACA4,Maianthemum canadense Desf.,Canada beadruby,Liliaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,7,CHUM,Chimaphila umbellata (L.) W. Bart.,pipsissewa,Pyrolaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,8,GELI2,Geocaulon lividum (Richards.) Fern.,false toadflax,Santalaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,9,MOUN3,Monotropa uniflora L.,Indianpipe,Monotropaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,10,PYAS,Pyrola asarifolia Michx.,liverleaf wintergreen,Pyrolaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,11,CLBO3,Clintonia borealis (Ait.) Raf.,yellow bluebeadlily,Liliaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,12,POA,Poa L.,bluegrass,Poaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,13,GAPR2,Gaultheria procumbens L.,eastern teaberry,Ericaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,14,POVI7,Polypodium virginianum L.,rock polypody,Polypodiaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,15,GYDR,Gymnocarpium dryopteris (L.) Newman,western oakfern,Dryopteridaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,16,TACA7,Taxus canadensis Marsh.,Canada yew,Taxaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,17,VIED,Viburnum edule (Michx.) Raf.,mooseberry viburnum,Caprifoliaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,18,RUID,Rubus idaeus L.,American red raspberry,Rosaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,19,TRBO2,Trientalis borealis Raf.,American starflower,Primulaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,20,ARUV,Arctostaphylos uva-ursi (L.) Spreng.,"kinnikinnick, bear-berry",Ericaceae,,TRUE,SY,TRUE,6,S3,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,21,ASMA2,Aster macrophyllus L.,bigleaf aster,Asteraceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,22,CYFR2,Cystopteris fragilis (L.) Bernh.,brittle bladderfern,Dryopteridaceae,,TRUE,SY,TRUE,7,H,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,23,MOSS,mosses,mosses,,,TRUE,SY,TRUE,8,N,FALSE,01,0.5,,,1/16/1998,cr
ISRO.001,24,USNEA2,Usnea Dill. ex Adans.,beard lichen,Parmeliaceae,,TRUE,SY,TRUE,8,N,FALSE,01,0.5,,,2/9/1998,cr
ISRO.001,25,UMBIL2,Umbilicaria Hoffm.,navel lichen,Umbilicariaceae,,TRUE,SY,TRUE,8,N,FALSE,01,0.5,,,2/9/1998,cr
ISRO.001,26,CLADI3,Cladina (Nyl.) Nyl.,reindeer lichen,Cladoniaceae,,TRUE,SY,TRUE,8,N,FALSE,01,0.5,,,2/9/1998,cr
ISRO.001,27,ACMI2,Achillea millefolium L.,common yarrow,Asteraceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,28,STLAR,Streptopus lanceolatus var. roseus (Michx.) Reveal,,Liliaceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,29,ARNU2,Aralia nudicaulis L.,wild sarsaparilla,Araliaceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,30,COCA13,Cornus canadensis L.,bunchberry dogwood,Cornaceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,31,GOOB2,Goodyera oblongifolia Raf.,western rattlesnake plantain,Orchidaceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,32,LYCOP2,Lycopodium L.,clubmoss,Lycopodiaceae,,TRUE,SY,FALSE,7,H,FALSE,,,,,1/16/1998,cr
ISRO.001,46,ABBA,Abies balsamea (L.) P. Mill.,balsam fir,Pinaceae,,TRUE,SY,TRUE,5,S2,FALSE,02,2.5,,,3/2/1998,cr
ISRO.002,1,PHOP,Physocarpus opulifolius (L.) Maxim.,common ninebark,Rosaceae,,TRUE,SY,TRUE,5,S2,TRUE,01,0.5,,,2/9/1998,cr
ISRO.002,2,ALVI5,Alnus viridis (Vill.) Lam. & DC.,sitka alder,Betulaceae,,TRUE,SY,TRUE,5,S2,FALSE,01,0.5,,,2/9/1998,cr
ISRO.002,3,CARO2,Campanula rotundifolia L.,bluebell bellflower,Campanulaceae,,TRUE,SY,TRUE,7,H,TRUE,01,0.5,,,2/9/1998,cr
ISRO.002,4,ACMI2,Achillea millefolium L.,common yarrow,Asteraceae,,TRUE,SY,TRUE,7,H,TRUE,01,0.5,,,2/9/1998,cr
